position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.50000, 2.25000, true
0.03000, -0.60000, -12.00000, 0.00000, -3.14157, 0.05000, 2.53000, 2.25000, true
0.09000, -1.20000, -12.00000, 0.00000, -3.14142, 0.05000, 2.59000, 2.25001, true
0.18000, -1.80000, -12.00000, 0.00000, -3.14091, 0.05000, 2.68000, 2.25004, true
0.30000, -2.40000, -12.00000, 0.00000, -3.13972, 0.05000, 2.80000, 2.25019, true
0.45000, -3.00000, -12.00000, 0.00000, -3.13744, 0.05000, 2.95000, 2.25063, true
0.63000, -3.60000, -12.00000, 0.00000, -3.13360, 0.05000, 3.13000, 2.25171, true
0.84000, -4.20000, -12.00000, 0.00000, -3.12767, 0.05000, 3.33998, 2.25398, true
1.08000, -4.80000, -12.00000, 0.00000, -3.11912, 0.05000, 3.57994, 2.25831, true
1.35000, -5.40000, -12.00000, 0.00000, -3.10737, 0.05000, 3.84983, 2.26591, true
1.65000, -6.00000, -12.00000, 0.00000, -3.09192, 0.05000, 4.14957, 2.27844, true
1.98000, -6.60000, -12.00000, 0.00000, -3.07229, 0.05000, 4.47899, 2.29798, true
2.34000, -7.20000, -12.00000, 0.00000, -3.04814, 0.05000, 4.83779, 2.32717, true
2.73000, -7.80000, -12.00000, 0.00000, -3.01929, 0.05000, 5.22552, 2.36907, true
3.15000, -8.40000, -12.00000, 0.00000, -2.98580, 0.05000, 5.64146, 2.42721, true
3.60000, -9.00000, -12.00000, 0.00000, -2.94804, 0.05000, 6.08459, 2.50536, true
4.08000, -9.60000, -12.00000, 0.00000, -2.90678, 0.05000, 6.55360, 2.60736, true
4.58000, -10.00000, 0.00000, 0.00000, -2.86404, 0.05000, 7.03723, 2.73408, true
5.08000, -10.00000, 0.00000, 0.00000, -2.82285, 0.05000, 7.51511, 2.88103, true
5.58000, -10.00000, 0.00000, 0.00000, -2.78434, 0.05000, 7.98675, 3.04695, true
6.08000, -10.00000, 0.00000, 0.00000, -2.74946, 0.05000, 8.45197, 3.23008, true
6.58000, -10.00000, 0.00000, 0.00000, -2.71891, 0.05000, 8.91096, 3.42837, true
7.08000, -10.00000, 0.00000, 0.00000, -2.69320, 0.05000, 9.36418, 3.63950, true
7.58000, -10.00000, 0.00000, 0.00000, -2.67265, 0.05000, 9.81239, 3.86107, true
8.08000, -10.00000, 0.00000, 0.00000, -2.65746, 0.05000, 10.25658, 4.09062, true
8.58000, -10.00000, 0.00000, 0.00000, -2.64774, 0.05000, 10.69787, 4.32569, true
9.08000, -10.00000, 0.00000, 0.00000, -2.64355, 0.05000, 11.13752, 4.56382, true
9.58000, -10.00000, 0.00000, 0.00000, -2.64490, 0.05000, 11.57684, 4.80258, true
10.08000, -10.00000, 0.00000, 0.00000, -2.65180, 0.05000, 12.01713, 5.03952, true
10.58000, -10.00000, 0.00000, 0.00000, -2.66419, 0.05000, 12.45968, 5.27221, true
11.08000, -10.00000, 0.00000, 0.00000, -2.68202, 0.05000, 12.90570, 5.49817, true
11.58000, -10.00000, 0.00000, 0.00000, -2.70512, 0.05000, 13.35625, 5.71496, true
12.08000, -10.00000, 0.00000, 0.00000, -2.73324, 0.05000, 13.81220, 5.92012, true
12.58000, -10.00000, 0.00000, 0.00000, -2.76598, 0.05000, 14.27419, 6.11129, true
13.08000, -10.00000, 0.00000, 0.00000, -2.80273, 0.05000, 14.74254, 6.28627, true
13.58000, -10.00000, 0.00000, 0.00000, -2.84267, 0.05000, 15.21727, 6.44312, true
14.08000, -10.00000, 0.00000, 0.00000, -2.88478, 0.05000, 15.69803, 6.58033, true
14.58000, -10.00000, 0.00000, 0.00000, -2.92780, 0.05000, 16.18421, 6.69690, true
15.08000, -10.00000, 0.00000, 0.00000, -2.97036, 0.05000, 16.67495, 6.79251, true
15.58000, -10.00000, 0.00000, 0.00000, -3.01104, 0.05000, 17.16925, 6.86755, true
16.08000, -10.00000, 0.00000, 0.00000, -3.04842, 0.05000, 17.66612, 6.92320, true
16.58000, -10.00000, 0.00000, 0.00000, -3.08117, 0.05000, 18.16464, 6.96134, true
17.08000, -10.00000, 0.00000, 0.00000, -3.10803, 0.05000, 18.66408, 6.98456, true
17.58000, -10.00000, 0.00000, 0.00000, -3.12780, 0.05000, 19.16394, 6.99607, true
18.08000, -10.00000, 0.00000, 0.00000, -3.13925, 0.05000, 19.66393, 6.99974, true
18.58000, -10.00000, 0.00000, 0.00000, 3.13924, 0.05000, 20.16392, 6.99987, true
18.08000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 20.00000, 7.00000, true
18.58000, -10.00000, 0.00000, 0.00000, 3.13924, 0.05000, 20.16392, 6.99987, true
19.08000, -10.00000, 0.00000, 0.00000, 3.10341, 0.05000, 20.66383, 6.99156, true
19.58000, -10.00000, 0.00000, 0.00000, 3.01833, 0.05000, 21.16224, 6.95362, true
20.05000, -9.40000, 12.00000, 0.00000, 2.87467, 0.05000, 21.62349, 6.86547, true
20.49000, -8.80000, 12.00000, 0.00000, 2.66049, 0.05000, 22.03342, 6.70796, true
20.90000, -8.20000, 12.00000, 0.00000, 2.39293, 0.05000, 22.36824, 6.47345, true
21.28000, -7.60000, 12.00000, 0.00000, 2.13699, 0.05000, 22.61001, 6.18165, true
21.63000, -7.00000, 12.00000, 0.00000, 1.94388, 0.05000, 22.76677, 5.86932, true
21.95000, -6.40000, 12.00000, 0.00000, 1.81407, 0.05000, 22.86269, 5.56427, true
22.24000, -5.80000, 12.00000, 0.00000, 1.72938, 0.05000, 22.91989, 5.28006, true
22.50000, -5.20000, 12.00000, 0.00000, 1.67429, 0.05000, 22.95349, 5.02227, true
22.73000, -4.60000, 12.00000, 0.00000, 1.63866, 0.05000, 22.97296, 4.79311, true
22.93000, -4.00000, 12.00000, 0.00000, 1.61609, 0.05000, 22.98415, 4.59343, true
23.10000, -3.40000, 12.00000, 0.00000, 1.60237, 0.05000, 22.99061, 4.42355, true
23.24000, -2.80000, 12.00000, 0.00000, 1.59459, 0.05000, 22.99445, 4.28360, true
23.35000, -2.20000, 12.00000, 0.00000, 1.59063, 0.05000, 22.99683, 4.17363, true
23.43000, -1.60000, 12.00000, 0.00000, 1.58895, 0.05000, 22.99834, 4.09364, true
23.48000, -1.00000, 12.00000, 0.00000, 1.58840, 0.05000, 22.99924, 4.04365, true
23.50000, -0.40000, 12.00000, 0.00000, 1.58829, 0.05000, 22.99959, 4.02366, true
23.49000, 0.00000, 0.00000, 0.00000, 1.58834, 0.05000, 22.99941, 4.03365, true
23.49000, 0.00000, 0.00000, 0.00000, 1.58834, 0.05000, 22.99941, 4.03365, true
23.49000, 0.00000, 0.00000, 0.00000, 1.58834, 0.05000, 22.99941, 4.03365, false
23.52000, 0.60000, 12.00000, 0.00000, 1.58825, 0.05000, 22.99994, 4.00366, false
23.58000, 1.20000, 12.00000, 0.00000, 1.58783, 0.05000, 22.99902, 4.05633, false
23.67000, 1.80000, 12.00000, 0.00000, 1.58550, 0.05000, 22.99758, 4.14632, false
23.79000, 2.40000, 12.00000, 0.00000, 1.57958, 0.05000, 22.99614, 4.26631, false
23.94000, 3.00000, 12.00000, 0.00000, 1.56832, 0.05000, 22.99562, 4.41631, false
24.12000, 3.60000, 12.00000, 0.00000, 1.55037, 0.05000, 22.99762, 4.59630, false
24.33000, 4.20000, 12.00000, 0.00000, 1.52515, 0.05000, 23.00449, 4.80618, false
24.57000, 4.80000, 12.00000, 0.00000, 1.49336, 0.05000, 23.01922, 5.04572, false
24.84000, 5.40000, 12.00000, 0.00000, 1.45735, 0.05000, 23.04498, 5.31447, false
25.14000, 6.00000, 12.00000, 0.00000, 1.42122, 0.05000, 23.08447, 5.61184, false
25.47000, 6.60000, 12.00000, 0.00000, 1.39055, 0.05000, 23.13895, 5.93730, false
25.83000, 7.20000, 12.00000, 0.00000, 1.37165, 0.05000, 23.20732, 6.29074, false
26.22000, 7.80000, 12.00000, 0.00000, 1.37066, 0.05000, 23.28532, 6.67286, false
26.61013, 7.80267, 0.00000, 0.00000, 1.39003, 0.05000, 23.35980, 7.05582, false
26.97027, 7.20267, -12.00000, 0.00000, 1.42378, 0.05000, 23.41895, 7.41104, false
27.30040, 6.60267, -12.00000, 0.00000, 1.46431, 0.05000, 23.46087, 7.73848, false
27.60053, 6.00267, -12.00000, 0.00000, 1.50459, 0.05000, 23.48677, 8.03747, false
27.87067, 5.40267, -12.00000, 0.00000, 1.53923, 0.05000, 23.49988, 8.30727, false
28.11080, 4.80267, -12.00000, 0.00000, 1.56505, 0.05000, 23.50423, 8.54736, false
28.32093, 4.20267, -12.00000, 0.00000, 1.58099, 0.05000, 23.50363, 8.75749, false
28.50107, 3.60267, -12.00000, 0.00000, 1.58773, 0.05000, 23.50108, 8.93761, false
28.65120, 3.00267, -12.00000, 0.00000, 1.58825, 0.05000, 23.50000, 9.00000, false
28.77133, 2.40267, -12.00000, 0.00000, 1.58825, 0.05000, 23.50000, 9.00000, false
28.86147, 1.80267, -12.00000, 0.00000, 1.58825, 0.05000, 23.50000, 9.00000, false
28.92160, 1.20267, -12.00000, 0.00000, 1.58825, 0.05000, 23.50000, 9.00000, false
28.95173, 0.60267, -12.00000, 0.00000, 1.58825, 0.05000, 23.50000, 9.00000, false
28.95187, 0.00000, 0.00000, 0.00000, 1.58825, 0.05000, 23.50000, 9.00000, false
28.95187, 0.00000, 0.00000, 0.00000, 1.58825, 0.05000, 23.50000, 9.00000, false
