position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.50000, 3.34020, true
-0.02998, -0.59958, -11.99160, -239.83191, -3.14157, 0.05000, 2.52998, 3.34020, true
-0.08981, -1.19666, -11.94165, 0.99898, -3.14142, 0.05000, 2.58981, 3.34021, true
-0.17926, -1.78887, -11.84409, 1.95114, -3.14091, 0.05000, 2.67926, 3.34024, true
-0.29796, -2.37404, -11.70339, 2.81402, -3.13972, 0.05000, 2.79796, 3.34039, true
-0.44547, -2.95032, -11.52576, 3.55267, -3.13744, 0.05000, 2.94547, 3.34082, true
-0.62129, -3.51626, -11.31871, 4.14082, -3.13360, 0.05000, 3.12128, 3.34187, true
-0.82483, -4.07080, -11.09076, 4.55911, -3.12767, 0.05000, 3.32481, 3.34407, true
-1.05549, -4.61336, -10.85126, 4.79004, -3.11912, 0.05000, 3.55544, 3.34823, true
-1.31269, -5.14390, -10.61076, 4.80993, -3.10737, 0.05000, 3.81253, 3.35548, true
-1.59584, -5.66299, -10.38181, 4.57902, -3.09192, 0.05000, 4.09544, 3.36729, true
-1.90444, -6.17200, -10.18020, 4.03228, -3.07229, 0.05000, 4.40350, 3.38557, true
-2.23810, -6.67332, -10.02643, 3.07541, -3.04814, 0.05000, 4.73606, 3.41261, true
-2.59664, -7.17066, -9.94677, 1.59316, -3.01929, 0.05000, 5.09252, 3.45113, true
-2.98010, -7.66930, -9.97281, -0.52091, -2.98580, 0.05000, 5.47230, 3.50420, true
-3.38891, -8.17621, -10.13818, -3.30728, -2.94804, 0.05000, 5.87489, 3.57520, true
-3.82390, -8.69977, -10.47132, -6.66296, -2.90678, 0.05000, 6.29995, 3.66764, true
-4.27727, -9.06746, -7.35372, 62.35202, -2.86404, 0.05000, 6.73851, 3.78256, true
-4.73233, -9.10115, -0.67371, 133.60025, -2.82285, 0.05000, 7.17347, 3.91632, true
-5.19033, -9.15988, -1.17475, -10.02074, -2.78434, 0.05000, 7.60551, 4.06831, true
-5.65228, -9.23901, -1.58245, -8.15408, -2.74946, 0.05000, 8.03534, 4.23753, true
-6.11896, -9.33359, -1.89169, -6.18475, -2.71891, 0.05000, 8.46375, 4.42262, true
-6.59091, -9.43909, -2.11001, -4.36635, -2.69320, 0.05000, 8.89156, 4.62193, true
-7.06850, -9.55174, -2.25305, -2.86089, -2.67265, 0.05000, 9.31969, 4.83358, true
-7.55193, -9.66872, -2.33953, -1.72954, -2.65746, 0.05000, 9.74916, 5.05553, true
-8.04134, -9.78808, -2.38718, -0.95304, -2.64774, 0.05000, 10.18110, 5.28563, true
-8.53677, -9.90859, -2.41024, -0.46125, -2.64355, 0.05000, 10.61673, 5.52158, true
-9.03824, -10.02950, -2.41815, -0.15821, -2.64490, 0.05000, 11.05734, 5.76105, true
-9.54575, -10.15025, -2.41504, 0.06229, -2.65180, 0.05000, 11.50425, 6.00155, true
-10.05927, -10.27023, -2.39958, 0.30921, -2.66419, 0.05000, 11.95877, 6.24052, true
-10.57869, -10.38848, -2.36505, 0.69055, -2.68202, 0.05000, 12.42212, 6.47526, true
-11.10386, -10.50346, -2.29963, 1.30843, -2.70512, 0.05000, 12.89537, 6.70295, true
-11.63450, -10.61282, -2.18722, 2.24816, -2.73324, 0.05000, 13.37929, 6.92068, true
-12.17017, -10.71329, -2.00932, 3.55805, -2.76598, 0.05000, 13.87425, 7.12548, true
-12.71020, -10.80070, -1.74825, 5.22137, -2.80273, 0.05000, 14.38014, 7.31447, true
-13.25372, -10.87029, -1.39178, 7.12934, -2.84267, 0.05000, 14.89622, 7.48498, true
-13.79958, -10.91720, -0.93814, 9.07285, -2.88478, 0.05000, 15.42112, 7.63477, true
-14.34644, -10.93717, -0.39950, 10.77284, -2.92780, 0.05000, 15.95291, 7.76228, true
-14.89280, -10.92726, 0.19830, 11.95605, -2.97036, 0.05000, 16.48918, 7.86676, true
-15.43711, -10.88621, 0.82104, 12.45478, -3.01104, 0.05000, 17.02733, 7.94848, true
-15.97783, -10.81444, 1.43525, 12.28421, -3.04842, 0.05000, 17.56469, 8.00867, true
-16.51351, -10.71354, 2.01805, 11.65587, -3.08117, 0.05000, 18.09880, 8.04955, true
-17.04278, -10.58533, 2.56416, 10.92222, -3.10803, 0.05000, 18.62750, 8.07414, true
-17.56432, -10.43090, 3.08861, 10.48911, -3.12780, 0.05000, 19.14890, 8.08617, true
