position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 4.292, 0.020, 25.000, 4.200
0.003, 0.160, 8.000, 0.000, 4.292, 0.020, 24.999, 4.197
0.010, 0.320, 8.000, 0.000, 4.292, 0.020, 24.996, 4.191
0.019, 0.480, 8.000, 0.000, 4.292, 0.020, 24.992, 4.182
0.032, 0.640, 8.000, 0.000, 4.292, 0.020, 24.987, 4.171
0.048, 0.800, 8.000, 0.000, 4.292, 0.020, 24.980, 4.156
0.067, 0.960, 8.000, 0.000, 4.291, 0.020, 24.973, 4.139
0.090, 1.120, 8.000, 0.000, 4.291, 0.020, 24.963, 4.118
0.115, 1.280, 8.000, 0.000, 4.290, 0.020, 24.953, 4.095
0.144, 1.440, 8.000, 0.000, 4.288, 0.020, 24.941, 4.069
0.176, 1.600, 8.000, 0.000, 4.287, 0.020, 24.928, 4.039
0.211, 1.760, 8.000, 0.000, 4.284, 0.020, 24.913, 4.007
0.250, 1.920, 8.000, 0.000, 4.281, 0.020, 24.897, 3.972
0.291, 2.080, 8.000, 0.000, 4.278, 0.020, 24.880, 3.935
0.336, 2.240, 8.000, 0.000, 4.273, 0.020, 24.861, 3.894
0.384, 2.400, 8.000, 0.000, 4.267, 0.020, 24.840, 3.851
0.435, 2.560, 8.000, 0.000, 4.260, 0.020, 24.818, 3.805
0.490, 2.720, 8.000, 0.000, 4.252, 0.020, 24.794, 3.756
0.547, 2.880, 8.000, 0.000, 4.242, 0.020, 24.768, 3.704
0.608, 3.040, 8.000, 0.000, 4.231, 0.020, 24.741, 3.650
0.672, 3.200, 8.000, 0.000, 4.217, 0.020, 24.711, 3.594
0.739, 3.360, 8.000, 0.000, 4.201, 0.020, 24.678, 3.535
0.810, 3.520, 8.000, 0.000, 4.182, 0.020, 24.643, 3.474
0.883, 3.680, 8.000, 0.000, 4.161, 0.020, 24.605, 3.411
0.960, 3.840, 8.000, 0.000, 4.136, 0.020, 24.564, 3.346
1.040, 4.000, 0.000, 0.000, 4.108, 0.020, 24.520, 3.279
1.120, 4.000, 0.000, 0.000, 4.076, 0.020, 24.473, 3.214
1.200, 4.000, 0.000, 0.000, 4.042, 0.020, 24.425, 3.151
1.280, 4.000, 0.000, 0.000, 4.005, 0.020, 24.374, 3.089
1.360, 4.000, 0.000, 0.000, 3.964, 0.020, 24.320, 3.029
1.440, 4.000, 0.000, 0.000, 3.921, 0.020, 24.265, 2.972
1.520, 4.000, 0.000, 0.000, 3.875, 0.020, 24.207, 2.917
1.600, 4.000, 0.000, 0.000, 3.827, 0.020, 24.146, 2.865
1.680, 4.000, 0.000, 0.000, 3.777, 0.020, 24.083, 2.816
1.760, 4.000, 0.000, 0.000, 3.725, 0.020, 24.017, 2.770
1.840, 4.000, 0.000, 0.000, 3.673, 0.020, 23.949, 2.728
1.920, 4.000, 0.000, 0.000, 3.621, 0.020, 23.879, 2.689
2.000, 4.000, 0.000, 0.000, 3.570, 0.020, 23.807, 2.654
2.080, 4.000, 0.000, 0.000, 3.520, 0.020, 23.734, 2.622
2.160, 4.000, 0.000, 0.000, 3.472, 0.020, 23.659, 2.595
2.240, 4.000, 0.000, 0.000, 3.426, 0.020, 23.583, 2.570
2.320, 4.000, 0.000, 0.000, 3.384, 0.020, 23.505, 2.550
2.400, 4.000, 0.000, 0.000, 3.344, 0.020, 23.427, 2.532
2.480, 4.000, 0.000, 0.000, 3.308, 0.020, 23.349, 2.517
2.560, 4.000, 0.000, 0.000, 3.275, 0.020, 23.270, 2.506
2.640, 4.000, 0.000, 0.000, 3.245, 0.020, 23.190, 2.496
2.720, 4.000, 0.000, 0.000, 3.218, 0.020, 23.110, 2.489
2.800, 4.000, 0.000, 0.000, 3.195, 0.020, 23.031, 2.484
2.880, 4.000, 0.000, 0.000, 3.174, 0.020, 22.951, 2.480
2.960, 4.000, 0.000, 0.000, 3.156, 0.020, 22.871, 2.479
3.040, 4.000, 0.000, 0.000, 3.141, 0.020, 22.791, 2.478
3.120, 4.000, 0.000, 0.000, 3.128, 0.020, 22.711, 2.479
3.200, 4.000, 0.000, 0.000, 3.118, 0.020, 22.631, 2.480
3.280, 4.000, 0.000, 0.000, 3.110, 0.020, 22.551, 2.482
3.360, 4.000, 0.000, 0.000, 3.105, 0.020, 22.471, 2.485
3.440, 4.000, 0.000, 0.000, 3.101, 0.020, 22.391, 2.488
3.520, 4.000, 0.000, 0.000, 3.100, 0.020, 22.311, 2.491
3.600, 4.000, 0.000, 0.000, 3.101, 0.020, 22.231, 2.495
3.680, 4.000, 0.000, 0.000, 3.103, 0.020, 22.151, 2.498
3.760, 4.000, 0.000, 0.000, 3.108, 0.020, 22.071, 2.501
3.840, 4.000, 0.000, 0.000, 3.115, 0.020, 21.991, 2.503
3.920, 4.000, 0.000, 0.000, 3.124, 0.020, 21.911, 2.505
4.000, 4.000, 0.000, 0.000, 3.135, 0.020, 21.831, 2.506
4.080, 4.000, 0.000, 0.000, 3.148, 0.020, 21.751, 2.506
4.160, 4.000, 0.000, 0.000, 3.162, 0.020, 21.671, 2.505
4.240, 4.000, 0.000, 0.000, 3.179, 0.020, 21.591, 2.503
4.320, 4.000, 0.000, 0.000, 3.198, 0.020, 21.511, 2.499
4.400, 4.000, 0.000, 0.000, 3.219, 0.020, 21.431, 2.494
4.480, 4.000, 0.000, 0.000, 3.242, 0.020, 21.352, 2.486
4.560, 4.000, 0.000, 0.000, 3.266, 0.020, 21.272, 2.477
4.640, 4.000, 0.000, 0.000, 3.292, 0.020, 21.193, 2.467
4.720, 4.000, 0.000, 0.000, 3.320, 0.020, 21.114, 2.453
4.800, 4.000, 0.000, 0.000, 3.349, 0.020, 21.036, 2.438
4.880, 4.000, 0.000, 0.000, 3.379, 0.020, 20.958, 2.420
4.960, 4.000, 0.000, 0.000, 3.410, 0.020, 20.880, 2.400
5.040, 4.000, 0.000, 0.000, 3.440, 0.020, 20.803, 2.378
5.117, 3.840, -8.000, 0.000, 3.470, 0.020, 20.730, 2.354
5.190, 3.680, -8.000, 0.000, 3.498, 0.020, 20.661, 2.330
5.261, 3.520, -8.000, 0.000, 3.523, 0.020, 20.595, 2.304
5.328, 3.360, -8.000, 0.000, 3.547, 0.020, 20.533, 2.279
5.392, 3.200, -8.000, 0.000, 3.568, 0.020, 20.475, 2.253
5.453, 3.040, -8.000, 0.000, 3.587, 0.020, 20.420, 2.227
5.510, 2.880, -8.000, 0.000, 3.603, 0.020, 20.368, 2.202
5.565, 2.720, -8.000, 0.000, 3.617, 0.020, 20.319, 2.177
5.616, 2.560, -8.000, 0.000, 3.629, 0.020, 20.274, 2.154
5.664, 2.400, -8.000, 0.000, 3.639, 0.020, 20.232, 2.131
5.709, 2.240, -8.000, 0.000, 3.646, 0.020, 20.192, 2.109
5.750, 2.080, -8.000, 0.000, 3.653, 0.020, 20.156, 2.089
5.789, 1.920, -8.000, 0.000, 3.657, 0.020, 20.122, 2.070
5.824, 1.760, -8.000, 0.000, 3.661, 0.020, 20.092, 2.053
5.856, 1.600, -8.000, 0.000, 3.663, 0.020, 20.064, 2.037
5.885, 1.440, -8.000, 0.000, 3.664, 0.020, 20.039, 2.023
5.910, 1.280, -8.000, 0.000, 3.665, 0.020, 20.017, 2.010
5.933, 1.120, -8.000, 0.000, 3.665, 0.020, 20.000, 2.000
5.952, 0.960, -8.000, 0.000, 3.665, 0.020, 20.000, 2.000
5.968, 0.800, -8.000, 0.000, 3.665, 0.020, 20.000, 2.000
5.981, 0.640, -8.000, 0.000, 3.665, 0.020, 20.000, 2.000
5.990, 0.480, -8.000, 0.000, 3.665, 0.020, 20.000, 2.000
5.997, 0.320, -8.000, 0.000, 3.665, 0.020, 20.000, 2.000
6.000, 0.000, 0.000, 0.000, 3.665, 0.020, 20.000, 2.000
6.000, 0.000, 0.000, 0.000, 3.665, 0.020, 20.000, 2.000
6.000, 0.000, 0.000, 0.000, 3.665, 0.020, 20.000, 2.000
6.000, 0.000, 0.000, 0.000, 3.665, 0.020, 20.000, 2.000
6.000, 0.000, 0.000, 0.000, 3.665, 0.020, 20.000, 2.000
