position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 1.150, 0.020, 25.995, 3.755
0.003, 0.160, 8.005, 400.248, 1.150, 0.020, 25.994, 3.752
0.010, 0.321, 8.035, 1.487, 1.150, 0.020, 25.991, 3.746
0.019, 0.483, 8.094, 2.957, 1.150, 0.020, 25.987, 3.738
0.032, 0.646, 8.182, 4.395, 1.150, 0.020, 25.982, 3.726
0.048, 0.812, 8.298, 5.789, 1.150, 0.020, 25.976, 3.711
0.068, 0.981, 8.440, 7.132, 1.150, 0.020, 25.968, 3.693
0.091, 1.153, 8.609, 8.422, 1.149, 0.020, 25.958, 3.672
0.118, 1.329, 8.802, 9.666, 1.148, 0.020, 25.947, 3.648
0.148, 1.510, 9.020, 10.877, 1.147, 0.020, 25.935, 3.620
0.182, 1.695, 9.261, 12.075, 1.145, 0.020, 25.921, 3.589
0.220, 1.885, 9.527, 13.288, 1.143, 0.020, 25.905, 3.555
0.261, 2.082, 9.818, 14.551, 1.140, 0.020, 25.888, 3.517
0.307, 2.284, 10.136, 15.905, 1.136, 0.020, 25.869, 3.476
0.357, 2.494, 10.484, 17.400, 1.131, 0.020, 25.848, 3.430
0.411, 2.711, 10.866, 19.088, 1.126, 0.020, 25.824, 3.381
0.470, 2.937, 11.286, 21.031, 1.119, 0.020, 25.799, 3.328
0.533, 3.172, 11.752, 23.293, 1.111, 0.020, 25.771, 3.272
0.601, 3.418, 12.271, 25.940, 1.101, 0.020, 25.740, 3.210
0.675, 3.675, 12.852, 29.038, 1.089, 0.020, 25.707, 3.145
0.754, 3.945, 13.505, 32.643, 1.075, 0.020, 25.670, 3.075
0.838, 4.230, 14.240, 36.789, 1.059, 0.020, 25.629, 3.001
0.929, 4.531, 15.070, 41.465, 1.041, 0.020, 25.584, 2.923
1.026, 4.851, 16.001, 46.574, 1.019, 0.020, 25.534, 2.840
1.130, 5.192, 17.039, 51.878, 0.995, 0.020, 25.478, 2.752
1.241, 5.555, 18.177, 56.896, 0.966, 0.020, 25.416, 2.659
1.355, 5.711, 7.804, -518.611, 0.935, 0.020, 25.350, 2.566
1.473, 5.872, 8.034, 11.486, 0.900, 0.020, 25.279, 2.473
1.593, 6.035, 8.151, 5.835, 0.863, 0.020, 25.202, 2.380
1.717, 6.197, 8.101, -2.468, 0.823, 0.020, 25.120, 2.288
1.844, 6.354, 7.829, -13.638, 0.779, 0.020, 25.031, 2.196
1.974, 6.499, 7.278, -27.547, 0.734, 0.020, 24.937, 2.107
2.107, 6.627, 6.407, -43.557, 0.685, 0.020, 24.836, 2.021
2.242, 6.731, 5.198, -60.416, 0.635, 0.020, 24.730, 1.938
2.378, 6.805, 3.672, -76.295, 0.584, 0.020, 24.618, 1.860
2.515, 6.843, 1.891, -89.052, 0.532, 0.020, 24.502, 1.788
2.651, 6.842, -0.043, -96.696, 0.479, 0.020, 24.382, 1.722
2.787, 6.802, -2.001, -97.921, 0.428, 0.020, 24.260, 1.662
2.922, 6.725, -3.851, -92.496, 0.378, 0.020, 24.136, 1.609
3.054, 6.615, -5.478, -81.346, 0.330, 0.020, 24.012, 1.563
3.184, 6.479, -6.803, -66.263, 0.285, 0.020, 23.889, 1.524
3.310, 6.323, -7.791, -49.400, 0.242, 0.020, 23.767, 1.491
3.433, 6.154, -8.446, -32.757, 0.202, 0.020, 23.646, 1.464
3.553, 5.978, -8.803, -17.833, 0.166, 0.020, 23.529, 1.442
3.669, 5.800, -8.913, -5.496, 0.133, 0.020, 23.414, 1.425
3.781, 5.623, -8.834, 3.955, 0.103, 0.020, 23.303, 1.412
3.890, 5.451, -8.621, 10.636, 0.077, 0.020, 23.194, 1.402
3.996, 5.285, -8.323, 14.905, 0.053, 0.020, 23.088, 1.395
4.099, 5.125, -7.979, 17.220, 0.032, 0.020, 22.986, 1.391
4.198, 4.973, -7.618, 18.040, 0.015, 0.020, 22.887, 1.388
4.295, 4.827, -7.262, 17.777, -0.001, 0.020, 22.790, 1.388
4.388, 4.689, -6.927, 16.767, -0.013, 0.020, 22.696, 1.388
4.480, 4.556, -6.621, 15.274, -0.023, 0.020, 22.605, 1.390
4.568, 4.429, -6.351, 13.496, -0.031, 0.020, 22.517, 1.393
4.654, 4.307, -6.120, 11.578, -0.037, 0.020, 22.431, 1.396
4.738, 4.188, -5.927, 9.622, -0.040, 0.020, 22.347, 1.399
4.819, 4.073, -5.773, 7.706, -0.042, 0.020, 22.265, 1.402
4.899, 3.960, -5.656, 5.884, -0.041, 0.020, 22.186, 1.405
4.976, 3.848, -5.572, 4.204, -0.038, 0.020, 22.109, 1.408
5.050, 3.738, -5.517, 2.709, -0.033, 0.020, 22.035, 1.411
5.123, 3.628, -5.489, 1.444, -0.027, 0.020, 21.962, 1.413
5.193, 3.519, -5.479, 0.463, -0.018, 0.020, 21.892, 1.415
5.262, 3.409, -5.483, -0.173, -0.007, 0.020, 21.824, 1.416
5.327, 3.299, -5.490, -0.388, 0.006, 0.020, 21.758, 1.416
5.391, 3.189, -5.492, -0.091, 0.021, 0.020, 21.694, 1.415
5.453, 3.080, -5.476, 0.818, 0.038, 0.020, 21.632, 1.413
5.512, 2.971, -5.427, 2.449, 0.057, 0.020, 21.573, 1.410
5.570, 2.865, -5.329, 4.911, 0.077, 0.020, 21.516, 1.407
5.625, 2.761, -5.163, 8.294, 0.100, 0.020, 21.461, 1.402
5.678, 2.663, -4.910, 12.656, 0.125, 0.020, 21.408, 1.396
5.730, 2.572, -4.550, 17.994, 0.151, 0.020, 21.357, 1.389
5.779, 2.491, -4.066, 24.218, 0.179, 0.020, 21.308, 1.381
5.828, 2.422, -3.443, 31.132, 0.207, 0.020, 21.260, 1.371
5.875, 2.369, -2.674, 38.423, 0.237, 0.020, 21.214, 1.361
5.922, 2.333, -1.761, 45.674, 0.268, 0.020, 21.169, 1.349
5.968, 2.319, -0.713, 52.404, 0.299, 0.020, 21.124, 1.336
6.013, 2.235, -4.230, -175.873, 0.328, 0.020, 21.082, 1.322
6.056, 2.170, -3.245, 49.247, 0.356, 0.020, 21.041, 1.308
6.099, 2.120, -2.478, 38.347, 0.382, 0.020, 21.001, 1.293
6.140, 2.081, -1.936, 27.122, 0.405, 0.020, 20.963, 1.277
6.181, 2.049, -1.610, 16.314, 0.426, 0.020, 20.925, 1.260
6.222, 2.020, -1.480, 6.464, 0.445, 0.020, 20.889, 1.243
6.262, 1.989, -1.523, -2.109, 0.461, 0.020, 20.853, 1.226
6.301, 1.955, -1.708, -9.278, 0.475, 0.020, 20.818, 1.208
6.339, 1.915, -2.009, -15.057, 0.487, 0.020, 20.784, 1.190
6.376, 1.867, -2.400, -19.551, 0.497, 0.020, 20.751, 1.173
6.412, 1.810, -2.858, -22.904, 0.505, 0.020, 20.720, 1.155
6.447, 1.742, -3.364, -25.268, 0.511, 0.020, 20.689, 1.138
6.481, 1.664, -3.899, -26.780, 0.516, 0.020, 20.660, 1.122
6.512, 1.575, -4.450, -27.554, 0.519, 0.020, 20.633, 1.106
6.542, 1.475, -5.004, -27.678, 0.521, 0.020, 20.607, 1.092
6.569, 1.364, -5.548, -27.216, 0.523, 0.020, 20.583, 1.078
6.594, 1.243, -6.073, -26.218, 0.523, 0.020, 20.562, 1.066
6.613, 0.971, -13.614, -377.077, 0.524, 0.020, 20.545, 1.056
6.613, 0.000, 0.000, 2426.314, 0.524, 0.020, 20.545, 1.056
6.613, 0.000, 0.000, 0.000, 0.524, 0.020, 20.545, 1.056
6.613, 0.000, 0.000, 0.000, 0.524, 0.020, 20.545, 1.056
6.613, 0.000, 0.000, 0.000, 0.524, 0.020, 20.545, 1.056
6.613, 0.000, 0.000, 0.000, 0.524, 0.020, 20.545, 1.056
