position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 1.150, 0.020, 24.005, 4.645
0.003, 0.160, 7.995, 399.752, 1.150, 0.020, 24.003, 4.642
0.010, 0.319, 7.965, -1.487, 1.150, 0.020, 24.001, 4.636
0.019, 0.477, 7.906, -2.957, 1.150, 0.020, 23.997, 4.627
0.032, 0.634, 7.818, -4.395, 1.150, 0.020, 23.992, 4.616
0.048, 0.788, 7.702, -5.789, 1.150, 0.020, 23.985, 4.601
0.066, 0.939, 7.560, -7.132, 1.150, 0.020, 23.978, 4.584
0.088, 1.087, 7.391, -8.422, 1.149, 0.020, 23.969, 4.565
0.113, 1.231, 7.198, -9.667, 1.148, 0.020, 23.959, 4.542
0.140, 1.370, 6.980, -10.877, 1.147, 0.020, 23.947, 4.517
0.170, 1.505, 6.739, -12.076, 1.145, 0.020, 23.935, 4.490
0.203, 1.635, 6.473, -13.289, 1.143, 0.020, 23.921, 4.460
0.238, 1.758, 6.182, -14.552, 1.140, 0.020, 23.907, 4.428
0.276, 1.876, 5.864, -15.906, 1.136, 0.020, 23.891, 4.394
0.315, 1.986, 5.516, -17.401, 1.131, 0.020, 23.874, 4.358
0.357, 2.089, 5.134, -19.090, 1.126, 0.020, 23.856, 4.320
0.401, 2.183, 4.714, -21.034, 1.119, 0.020, 23.837, 4.281
0.446, 2.268, 4.248, -23.297, 1.111, 0.020, 23.817, 4.240
0.493, 2.342, 3.729, -25.946, 1.101, 0.020, 23.796, 4.198
0.541, 2.405, 3.148, -29.046, 1.089, 0.020, 23.774, 4.155
0.590, 2.455, 2.495, -32.654, 1.075, 0.020, 23.751, 4.112
0.640, 2.490, 1.759, -36.804, 1.059, 0.020, 23.727, 4.068
0.690, 2.509, 0.929, -41.485, 1.041, 0.020, 23.702, 4.025
0.740, 2.509, -0.003, -46.602, 1.019, 0.020, 23.677, 3.982
0.790, 2.488, -1.041, -51.914, 0.995, 0.020, 23.650, 3.940
0.839, 2.444, -2.180, -56.944, 0.966, 0.020, 23.623, 3.899
0.885, 2.288, -7.807, -281.346, 0.935, 0.020, 23.596, 3.862
0.927, 2.128, -8.037, -11.504, 0.900, 0.020, 23.570, 3.828
0.967, 1.964, -8.154, -5.852, 0.863, 0.020, 23.545, 3.798
1.003, 1.802, -8.105, 2.455, 0.823, 0.020, 23.521, 3.771
1.035, 1.646, -7.833, 13.630, 0.779, 0.020, 23.499, 3.747
1.065, 1.500, -7.282, 27.548, 0.734, 0.020, 23.477, 3.727
1.093, 1.372, -6.410, 43.571, 0.685, 0.020, 23.456, 3.709
1.118, 1.268, -5.201, 60.444, 0.635, 0.020, 23.436, 3.693
1.142, 1.194, -3.675, 76.337, 0.584, 0.020, 23.416, 3.680
1.165, 1.156, -1.893, 89.106, 0.532, 0.020, 23.397, 3.667
1.188, 1.157, 0.043, 96.758, 0.479, 0.020, 23.376, 3.656
1.212, 1.197, 2.002, 97.983, 0.428, 0.020, 23.355, 3.646
1.238, 1.274, 3.853, 92.552, 0.378, 0.020, 23.331, 3.636
1.266, 1.384, 5.481, 81.391, 0.330, 0.020, 23.306, 3.626
1.296, 1.520, 6.807, 66.293, 0.285, 0.020, 23.277, 3.617
1.329, 1.676, 7.795, 49.415, 0.242, 0.020, 23.244, 3.608
1.366, 1.845, 8.450, 32.760, 0.202, 0.020, 23.208, 3.600
1.407, 2.021, 8.807, 17.825, 0.166, 0.020, 23.168, 3.593
1.451, 2.200, 8.917, 5.481, 0.133, 0.020, 23.125, 3.586
1.498, 2.376, 8.837, -3.974, 0.103, 0.020, 23.078, 3.581
1.549, 2.549, 8.624, -10.657, 0.077, 0.020, 23.027, 3.576
1.604, 2.715, 8.325, -14.926, 0.053, 0.020, 22.973, 3.572
1.661, 2.875, 7.981, -17.240, 0.032, 0.020, 22.915, 3.570
1.722, 3.027, 7.620, -18.058, 0.015, 0.020, 22.855, 3.569
1.785, 3.173, 7.264, -17.793, -0.001, 0.020, 22.791, 3.568
1.851, 3.311, 6.928, -16.781, -0.013, 0.020, 22.725, 3.569
1.920, 3.444, 6.622, -15.287, -0.023, 0.020, 22.656, 3.570
1.992, 3.571, 6.352, -13.507, -0.031, 0.020, 22.585, 3.572
2.065, 3.693, 6.120, -11.587, -0.037, 0.020, 22.511, 3.574
2.142, 3.812, 5.928, -9.631, -0.040, 0.020, 22.435, 3.577
2.220, 3.927, 5.774, -7.714, -0.042, 0.020, 22.356, 3.581
2.301, 4.040, 5.656, -5.891, -0.041, 0.020, 22.276, 3.584
2.384, 4.152, 5.571, -4.211, -0.038, 0.020, 22.193, 3.587
2.469, 4.262, 5.517, -2.716, -0.033, 0.020, 22.108, 3.590
2.557, 4.372, 5.488, -1.451, -0.027, 0.020, 22.020, 3.593
2.646, 4.481, 5.479, -0.469, -0.018, 0.020, 21.931, 3.595
2.738, 4.591, 5.482, 0.167, -0.007, 0.020, 21.839, 3.596
2.832, 4.701, 5.490, 0.381, 0.006, 0.020, 21.745, 3.596
2.928, 4.811, 5.491, 0.084, 0.021, 0.020, 21.648, 3.595
3.027, 4.920, 5.475, -0.825, 0.038, 0.020, 21.550, 3.592
3.127, 5.029, 5.426, -2.455, 0.057, 0.020, 21.450, 3.587
3.230, 5.135, 5.327, -4.916, 0.077, 0.020, 21.347, 3.580
3.335, 5.238, 5.162, -8.298, 0.100, 0.020, 21.243, 3.571
3.442, 5.337, 4.908, -12.658, 0.125, 0.020, 21.137, 3.559
3.550, 5.427, 4.548, -17.994, 0.151, 0.020, 21.029, 3.544
3.660, 5.509, 4.064, -24.214, 0.179, 0.020, 20.921, 3.526
3.772, 5.578, 3.442, -31.125, 0.207, 0.020, 20.811, 3.505
3.884, 5.631, 2.673, -38.412, 0.237, 0.020, 20.701, 3.480
3.998, 5.666, 1.760, -45.659, 0.268, 0.020, 20.592, 3.452
4.111, 5.681, 0.713, -52.385, 0.299, 0.020, 20.482, 3.420
4.220, 5.445, -11.768, -624.015, 0.328, 0.020, 20.379, 3.386
4.324, 5.190, -12.753, -49.240, 0.356, 0.020, 20.281, 3.352
4.423, 4.920, -13.519, -38.347, 0.382, 0.020, 20.189, 3.316
4.515, 4.638, -14.062, -27.128, 0.405, 0.020, 20.104, 3.281
4.602, 4.351, -14.389, -16.324, 0.426, 0.020, 20.024, 3.245
4.684, 4.060, -14.518, -6.476, 0.445, 0.020, 19.950, 3.211
4.759, 3.771, -14.476, 2.096, 0.461, 0.020, 19.883, 3.178
4.829, 3.485, -14.291, 9.265, 0.475, 0.020, 19.820, 3.147
4.893, 3.205, -13.990, 15.045, 0.487, 0.020, 19.764, 3.117
4.951, 2.933, -13.599, 19.541, 0.497, 0.020, 19.712, 3.089
5.005, 2.670, -13.141, 22.896, 0.505, 0.020, 19.665, 3.064
5.053, 2.418, -12.636, 25.261, 0.511, 0.020, 19.623, 3.040
5.097, 2.176, -12.100, 26.775, 0.516, 0.020, 19.585, 3.019
5.136, 1.945, -11.549, 27.551, 0.519, 0.020, 19.551, 2.999
5.170, 1.725, -10.996, 27.676, 0.521, 0.020, 19.521, 2.982
5.200, 1.516, -10.452, 27.215, 0.523, 0.020, 19.495, 2.967
5.227, 1.317, -9.927, 26.217, 0.523, 0.020, 19.472, 2.954
5.246, 0.988, -16.462, -326.724, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 2469.885, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 0.000, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 0.000, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 0.000, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 0.000, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 0.000, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 0.000, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 0.000, 0.524, 0.020, 19.455, 2.944
5.246, 0.000, 0.000, 0.000, 0.524, 0.020, 19.455, 2.944
