position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 17.354
0.003, -0.160, -8.000, 0.000, 0.000, 0.020, 5.503, 17.354
0.010, -0.320, -8.000, 0.000, 0.000, 0.020, 5.510, 17.354
0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 17.354
0.032, -0.640, -8.000, 0.000, 0.000, 0.020, 5.532, 17.354
0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 17.354
0.067, -0.960, -8.000, 0.000, 0.000, 0.020, 5.567, 17.354
0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 17.354
0.115, -1.280, -8.000, 0.000, 0.001, 0.020, 5.615, 17.354
0.144, -1.440, -8.000, 0.000, 0.001, 0.020, 5.644, 17.354
0.176, -1.600, -8.000, 0.000, 0.001, 0.020, 5.676, 17.354
0.211, -1.760, -8.000, 0.000, 0.002, 0.020, 5.711, 17.354
0.250, -1.920, -8.000, 0.000, 0.002, 0.020, 5.750, 17.354
0.291, -2.080, -8.000, 0.000, 0.003, 0.020, 5.791, 17.354
0.336, -2.240, -8.000, 0.000, 0.004, 0.020, 5.836, 17.355
0.384, -2.400, -8.000, 0.000, 0.006, 0.020, 5.884, 17.355
0.435, -2.560, -8.000, 0.000, 0.007, 0.020, 5.935, 17.355
0.490, -2.720, -8.000, 0.000, 0.009, 0.020, 5.990, 17.356
0.547, -2.880, -8.000, 0.000, 0.011, 0.020, 6.047, 17.356
0.608, -3.040, -8.000, 0.000, 0.014, 0.020, 6.108, 17.357
0.672, -3.200, -8.000, 0.000, 0.017, 0.020, 6.172, 17.358
0.739, -3.360, -8.000, 0.000, 0.020, 0.020, 6.239, 17.359
0.810, -3.520, -8.000, 0.000, 0.024, 0.020, 6.310, 17.361
0.883, -3.680, -8.000, 0.000, 0.028, 0.020, 6.383, 17.363
0.960, -3.840, -8.000, 0.000, 0.033, 0.020, 6.460, 17.365
1.040, -4.000, -8.000, 0.000, 0.039, 0.020, 6.540, 17.368
1.123, -4.160, -8.000, 0.000, 0.045, 0.020, 6.623, 17.371
1.210, -4.320, -8.000, 0.000, 0.052, 0.020, 6.709, 17.376
1.299, -4.480, -8.000, 0.000, 0.060, 0.020, 6.799, 17.381
1.392, -4.640, -8.000, 0.000, 0.068, 0.020, 6.891, 17.387
1.488, -4.800, -8.000, 0.000, 0.078, 0.020, 6.987, 17.393
1.587, -4.960, -8.000, 0.000, 0.088, 0.020, 7.086, 17.402
1.690, -5.120, -8.000, 0.000, 0.099, 0.020, 7.188, 17.411
1.795, -5.280, -8.000, 0.000, 0.111, 0.020, 7.293, 17.422
1.904, -5.440, -8.000, 0.000, 0.125, 0.020, 7.401, 17.435
2.016, -5.600, -8.000, 0.000, 0.139, 0.020, 7.512, 17.450
2.131, -5.760, -8.000, 0.000, 0.155, 0.020, 7.626, 17.467
2.250, -5.920, -8.000, 0.000, 0.171, 0.020, 7.743, 17.486
2.371, -6.080, -8.000, 0.000, 0.190, 0.020, 7.862, 17.508
2.496, -6.240, -8.000, 0.000, 0.209, 0.020, 7.985, 17.532
2.624, -6.400, -8.000, 0.000, 0.230, 0.020, 8.110, 17.560
2.755, -6.560, -8.000, 0.000, 0.252, 0.020, 8.237, 17.591
2.890, -6.720, -8.000, 0.000, 0.275, 0.020, 8.367, 17.626
3.027, -6.880, -8.000, 0.000, 0.299, 0.020, 8.499, 17.665
3.168, -7.040, -8.000, 0.000, 0.325, 0.020, 8.633, 17.709
3.312, -7.200, -8.000, 0.000, 0.352, 0.020, 8.769, 17.757
3.459, -7.360, -8.000, 0.000, 0.380, 0.020, 8.906, 17.809
3.610, -7.520, -8.000, 0.000, 0.409, 0.020, 9.045, 17.867
3.763, -7.680, -8.000, 0.000, 0.439, 0.020, 9.185, 17.930
3.920, -7.840, -8.000, 0.000, 0.469, 0.020, 9.326, 17.999
4.080, -8.000, -8.000, 0.000, 0.499, 0.020, 9.467, 18.073
4.243, -8.160, -8.000, 0.000, 0.530, 0.020, 9.610, 18.154
4.410, -8.320, -8.000, 0.000, 0.560, 0.020, 9.752, 18.240
4.579, -8.480, -8.000, 0.000, 0.590, 0.020, 9.894, 18.332
4.752, -8.640, -8.000, 0.000, 0.619, 0.020, 10.036, 18.430
4.928, -8.800, -8.000, 0.000, 0.648, 0.020, 10.178, 18.535
5.107, -8.960, -8.000, 0.000, 0.675, 0.020, 10.320, 18.645
5.290, -9.120, -8.000, 0.000, 0.701, 0.020, 10.460, 18.760
5.475, -9.280, -8.000, 0.000, 0.725, 0.020, 10.601, 18.882
5.664, -9.440, -8.000, 0.000, 0.748, 0.020, 10.741, 19.009
5.856, -9.600, -8.000, 0.000, 0.769, 0.020, 10.880, 19.141
