position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 18.444
-0.003, -0.160, -8.001, -400.055, 0.000, 0.020, 5.503, 16.264
-0.010, -0.320, -8.008, -0.330, 0.000, 0.020, 5.510, 16.264
-0.019, -0.481, -8.021, -0.659, 0.000, 0.020, 5.519, 16.264
-0.032, -0.641, -8.041, -0.983, 0.000, 0.020, 5.532, 16.264
-0.048, -0.803, -8.067, -1.302, 0.000, 0.020, 5.548, 16.264
-0.067, -0.965, -8.099, -1.614, 0.000, 0.020, 5.567, 16.264
-0.090, -1.127, -8.137, -1.918, 0.000, 0.020, 5.590, 16.264
-0.116, -1.291, -8.181, -2.211, 0.001, 0.020, 5.616, 16.264
-0.145, -1.456, -8.231, -2.495, 0.001, 0.020, 5.645, 16.264
-0.177, -1.621, -8.287, -2.767, 0.001, 0.020, 5.677, 16.264
-0.213, -1.788, -8.347, -3.028, 0.002, 0.020, 5.713, 16.264
-0.252, -1.957, -8.413, -3.279, 0.002, 0.020, 5.752, 16.264
-0.295, -2.126, -8.483, -3.520, 0.003, 0.020, 5.795, 16.264
-0.341, -2.297, -8.558, -3.751, 0.004, 0.020, 5.841, 16.264
-0.390, -2.470, -8.638, -3.974, 0.006, 0.020, 5.890, 16.265
-0.443, -2.645, -8.722, -4.190, 0.007, 0.020, 5.943, 16.265
-0.499, -2.821, -8.810, -4.401, 0.009, 0.020, 5.999, 16.265
-0.559, -2.999, -8.902, -4.609, 0.011, 0.020, 6.059, 16.266
-0.623, -3.179, -8.998, -4.815, 0.014, 0.020, 6.123, 16.267
-0.690, -3.361, -9.098, -5.021, 0.017, 0.020, 6.190, 16.268
-0.761, -3.545, -9.203, -5.228, 0.020, 0.020, 6.261, 16.269
-0.836, -3.731, -9.312, -5.437, 0.024, 0.020, 6.336, 16.271
-0.914, -3.920, -9.425, -5.650, 0.028, 0.020, 6.414, 16.273
-0.996, -4.110, -9.542, -5.867, 0.033, 0.020, 6.496, 16.275
-1.082, -4.304, -9.664, -6.086, 0.039, 0.020, 6.582, 16.279
-1.172, -4.500, -9.790, -6.307, 0.045, 0.020, 6.672, 16.282
-1.266, -4.698, -9.921, -6.526, 0.052, 0.020, 6.766, 16.287
-1.364, -4.899, -10.055, -6.738, 0.060, 0.020, 6.864, 16.292
-1.466, -5.103, -10.194, -6.937, 0.068, 0.020, 6.966, 16.299
-1.573, -5.310, -10.336, -7.112, 0.078, 0.020, 7.072, 16.307
-1.683, -5.519, -10.481, -7.252, 0.088, 0.020, 7.182, 16.316
-1.798, -5.732, -10.628, -7.341, 0.099, 0.020, 7.296, 16.326
-1.917, -5.947, -10.775, -7.357, 0.111, 0.020, 7.414, 16.339
-2.040, -6.166, -10.921, -7.275, 0.125, 0.020, 7.536, 16.353
-2.168, -6.387, -11.062, -7.065, 0.139, 0.020, 7.663, 16.370
-2.300, -6.611, -11.196, -6.691, 0.155, 0.020, 7.794, 16.389
-2.437, -6.837, -11.318, -6.112, 0.171, 0.020, 7.929, 16.412
-2.578, -7.066, -11.424, -5.281, 0.190, 0.020, 8.068, 16.437
-2.724, -7.296, -11.507, -4.152, 0.209, 0.020, 8.211, 16.466
-2.874, -7.527, -11.560, -2.676, 0.230, 0.020, 8.358, 16.499
-3.029, -7.759, -11.577, -0.812, 0.252, 0.020, 8.509, 16.536
-3.189, -7.990, -11.547, 1.474, 0.275, 0.020, 8.663, 16.577
-3.354, -8.219, -11.463, 4.193, 0.299, 0.020, 8.820, 16.624
-3.523, -8.445, -11.317, 7.332, 0.325, 0.020, 8.981, 16.676
-3.696, -8.667, -11.100, 10.843, 0.352, 0.020, 9.145, 16.733
-3.874, -8.883, -10.807, 14.633, 0.380, 0.020, 9.311, 16.797
-4.055, -9.092, -10.436, 18.568, 0.409, 0.020, 9.478, 16.867
-4.241, -9.292, -9.986, 22.471, 0.439, 0.020, 9.648, 16.943
-4.431, -9.481, -9.464, 26.133, 0.469, 0.020, 9.818, 17.026
-4.624, -9.659, -8.877, 29.332, 0.499, 0.020, 9.989, 17.116
-4.821, -9.823, -8.240, 31.858, 0.530, 0.020, 10.160, 17.213
-5.020, -9.975, -7.569, 33.540, 0.560, 0.020, 10.331, 17.316
-5.222, -10.112, -6.884, 34.267, 0.590, 0.020, 10.501, 17.426
-5.427, -10.236, -6.203, 34.010, 0.619, 0.020, 10.669, 17.543
-5.634, -10.347, -5.547, 32.822, 0.648, 0.020, 10.836, 17.665
-5.843, -10.446, -4.930, 30.833, 0.675, 0.020, 11.001, 17.793
-6.054, -10.533, -4.366, 28.232, 0.701, 0.020, 11.163, 17.927
-6.266, -10.611, -3.861, 25.236, 0.725, 0.020, 11.324, 18.066
-6.479, -10.679, -3.420, 22.070, 0.748, 0.020, 11.482, 18.209
-6.694, -10.740, -3.041, 18.939, 0.769, 0.020, 11.638, 18.357
-6.910, -10.794, -2.721, 16.014, 0.788, 0.020, 11.792, 18.509
-7.127, -10.843, -2.452, 13.420, 0.805, 0.020, 11.943, 18.664
-7.345, -10.888, -2.227, 11.234, 0.820, 0.020, 12.093, 18.822
-7.561, -10.811, 3.830, 302.881, 0.832, 0.020, 12.240, 18.981
-7.771, -10.516, 14.762, 546.587, 0.842, 0.020, 12.381, 19.137
-7.976, -10.229, 14.327, -21.763, 0.850, 0.020, 12.516, 19.290
-8.175, -9.951, 13.908, -20.922, 0.855, 0.020, 12.647, 19.440
-8.368, -9.681, 13.510, -19.920, 0.859, 0.020, 12.774, 19.587
-8.557, -9.418, 13.132, -18.885, 0.861, 0.020, 12.897, 19.729
-8.740, -9.163, 12.774, -17.900, 0.860, 0.020, 13.016, 19.868
-8.918, -8.914, 12.434, -17.019, 0.859, 0.020, 13.133, 20.003
-9.092, -8.672, 12.108, -16.270, 0.855, 0.020, 13.246, 20.135
-9.260, -8.436, 11.795, -15.665, 0.851, 0.020, 13.357, 20.262
-9.425, -8.206, 11.491, -15.204, 0.845, 0.020, 13.466, 20.385
-9.584, -7.982, 11.193, -14.874, 0.838, 0.020, 13.572, 20.504
-9.740, -7.764, 10.900, -14.659, 0.830, 0.020, 13.676, 20.619
-9.891, -7.552, 10.610, -14.535, 0.820, 0.020, 13.779, 20.730
-10.037, -7.346, 10.320, -14.476, 0.811, 0.020, 13.880, 20.837
-10.180, -7.145, 10.031, -14.454, 0.800, 0.020, 13.979, 20.940
-10.319, -6.950, 9.742, -14.438, 0.788, 0.020, 14.076, 21.039
-10.455, -6.761, 9.454, -14.399, 0.777, 0.020, 14.172, 21.134
-10.586, -6.578, 9.168, -14.311, 0.764, 0.020, 14.266, 21.226
-10.714, -6.400, 8.885, -14.149, 0.752, 0.020, 14.359, 21.314
-10.839, -6.228, 8.607, -13.894, 0.739, 0.020, 14.451, 21.398
-10.960, -6.061, 8.337, -13.531, 0.726, 0.020, 14.541, 21.479
-11.078, -5.900, 8.076, -13.051, 0.713, 0.020, 14.630, 21.557
-11.193, -5.743, 7.826, -12.452, 0.700, 0.020, 14.717, 21.632
-11.305, -5.592, 7.592, -11.738, 0.687, 0.020, 14.803, 21.703
-11.414, -5.444, 7.373, -10.919, 0.674, 0.020, 14.888, 21.772
-11.520, -5.301, 7.173, -10.006, 0.662, 0.020, 14.971, 21.837
-11.623, -5.161, 6.993, -9.019, 0.650, 0.020, 15.053, 21.900
-11.723, -5.024, 6.833, -7.975, 0.639, 0.020, 15.133, 21.961
-11.821, -4.890, 6.695, -6.897, 0.628, 0.020, 15.212, 22.019
-11.916, -4.759, 6.579, -5.803, 0.617, 0.020, 15.289, 22.074
-12.009, -4.629, 6.485, -4.714, 0.607, 0.020, 15.365, 22.127
-12.099, -4.501, 6.412, -3.647, 0.598, 0.020, 15.439, 22.178
-12.186, -4.373, 6.360, -2.616, 0.589, 0.020, 15.512, 22.227
-12.271, -4.247, 6.327, -1.634, 0.581, 0.020, 15.582, 22.274
-12.354, -4.121, 6.313, -0.711, 0.574, 0.020, 15.651, 22.319
-12.434, -3.994, 6.316, 0.146, 0.567, 0.020, 15.719, 22.362
-12.511, -3.868, 6.334, 0.932, 0.561, 0.020, 15.784, 22.404
-12.586, -3.740, 6.367, 1.645, 0.555, 0.020, 15.848, 22.443
-12.658, -3.612, 6.413, 2.283, 0.550, 0.020, 15.909, 22.481
-12.728, -3.483, 6.470, 2.846, 0.545, 0.020, 15.969, 22.517
-12.795, -3.352, 6.537, 3.337, 0.541, 0.020, 16.026, 22.552
-12.859, -3.220, 6.612, 3.755, 0.538, 0.020, 16.081, 22.585
-12.921, -3.086, 6.694, 4.104, 0.535, 0.020, 16.134, 22.617
-12.980, -2.950, 6.782, 4.386, 0.532, 0.020, 16.185, 22.647
-13.036, -2.813, 6.874, 4.604, 0.530, 0.020, 16.234, 22.675
-13.089, -2.673, 6.969, 4.760, 0.528, 0.020, 16.280, 22.702
-13.140, -2.532, 7.066, 4.857, 0.527, 0.020, 16.323, 22.728
-13.188, -2.389, 7.164, 4.898, 0.526, 0.020, 16.365, 22.752
-13.233, -2.243, 7.262, 4.884, 0.525, 0.020, 16.404, 22.774
-13.275, -2.096, 7.358, 4.820, 0.524, 0.020, 16.440, 22.795
-13.314, -1.947, 7.452, 4.706, 0.524, 0.020, 16.474, 22.815
-13.350, -1.796, 7.543, 4.546, 0.524, 0.020, 16.505, 22.833
-13.382, -1.644, 7.630, 4.342, 0.524, 0.020, 16.533, 22.849
-13.396, -0.000, 0.000, -1724.971, 0.524, 0.020, 16.545, 22.856
-13.396, -0.000, 0.000, 0.000, 0.524, 0.020, 16.545, 22.856
