position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 16.264
0.003, 0.160, 8.001, 400.055, 0.000, 0.020, 5.503, 16.264
0.010, 0.320, 8.008, 0.330, 0.000, 0.020, 5.510, 16.264
0.019, 0.481, 8.021, 0.659, 0.000, 0.020, 5.519, 16.264
0.032, 0.641, 8.041, 0.983, 0.000, 0.020, 5.532, 16.264
0.048, 0.803, 8.067, 1.302, 0.000, 0.020, 5.548, 16.264
0.067, 0.965, 8.099, 1.614, 0.000, 0.020, 5.567, 16.264
0.090, 1.127, 8.137, 1.918, 0.000, 0.020, 5.590, 16.264
0.116, 1.291, 8.181, 2.211, 0.001, 0.020, 5.616, 16.264
0.145, 1.456, 8.231, 2.495, 0.001, 0.020, 5.645, 16.264
0.177, 1.621, 8.287, 2.767, 0.001, 0.020, 5.677, 16.264
0.213, 1.788, 8.347, 3.028, 0.002, 0.020, 5.713, 16.264
0.252, 1.957, 8.413, 3.279, 0.002, 0.020, 5.752, 16.264
0.295, 2.126, 8.483, 3.520, 0.003, 0.020, 5.795, 16.264
0.341, 2.297, 8.558, 3.751, 0.004, 0.020, 5.841, 16.264
0.390, 2.470, 8.638, 3.974, 0.006, 0.020, 5.890, 16.265
0.443, 2.645, 8.722, 4.190, 0.007, 0.020, 5.943, 16.265
0.499, 2.821, 8.810, 4.401, 0.009, 0.020, 5.999, 16.265
0.559, 2.999, 8.902, 4.609, 0.011, 0.020, 6.059, 16.266
0.623, 3.179, 8.998, 4.815, 0.014, 0.020, 6.123, 16.267
0.690, 3.361, 9.098, 5.021, 0.017, 0.020, 6.190, 16.268
0.761, 3.545, 9.203, 5.228, 0.020, 0.020, 6.261, 16.269
0.836, 3.731, 9.312, 5.437, 0.024, 0.020, 6.336, 16.271
0.914, 3.920, 9.425, 5.650, 0.028, 0.020, 6.414, 16.273
0.996, 4.110, 9.542, 5.867, 0.033, 0.020, 6.496, 16.275
1.082, 4.304, 9.664, 6.086, 0.039, 0.020, 6.582, 16.279
1.172, 4.500, 9.790, 6.307, 0.045, 0.020, 6.672, 16.282
1.266, 4.698, 9.921, 6.526, 0.052, 0.020, 6.766, 16.287
1.364, 4.899, 10.055, 6.738, 0.060, 0.020, 6.864, 16.292
1.466, 5.103, 10.194, 6.937, 0.068, 0.020, 6.966, 16.299
1.573, 5.310, 10.336, 7.112, 0.078, 0.020, 7.072, 16.307
1.683, 5.519, 10.481, 7.252, 0.088, 0.020, 7.182, 16.316
1.798, 5.732, 10.628, 7.341, 0.099, 0.020, 7.296, 16.326
1.917, 5.947, 10.775, 7.357, 0.111, 0.020, 7.414, 16.339
2.040, 6.166, 10.921, 7.275, 0.125, 0.020, 7.536, 16.353
2.168, 6.387, 11.062, 7.065, 0.139, 0.020, 7.663, 16.370
2.300, 6.611, 11.196, 6.691, 0.155, 0.020, 7.794, 16.389
2.437, 6.837, 11.318, 6.112, 0.171, 0.020, 7.929, 16.412
2.576, 6.973, 6.761, -227.839, 0.189, 0.020, 8.066, 16.437
2.716, 7.014, 2.072, -234.468, 0.208, 0.020, 8.204, 16.464
2.857, 7.053, 1.971, -5.035, 0.227, 0.020, 8.341, 16.495
2.999, 7.090, 1.853, -5.915, 0.247, 0.020, 8.479, 16.528
3.142, 7.125, 1.716, -6.840, 0.268, 0.020, 8.617, 16.564
3.285, 7.156, 1.560, -7.787, 0.289, 0.020, 8.754, 16.604
3.428, 7.184, 1.386, -8.727, 0.311, 0.020, 8.892, 16.646
3.573, 7.208, 1.193, -9.630, 0.333, 0.020, 9.029, 16.692
3.717, 7.227, 0.984, -10.464, 0.355, 0.020, 9.165, 16.741
3.862, 7.242, 0.760, -11.197, 0.378, 0.020, 9.300, 16.793
4.007, 7.253, 0.524, -11.796, 0.401, 0.020, 9.434, 16.848
4.152, 7.259, 0.279, -12.237, 0.424, 0.020, 9.567, 16.906
4.297, 7.259, 0.029, -12.499, 0.447, 0.020, 9.699, 16.967
4.442, 7.255, -0.222, -12.568, 0.470, 0.020, 9.829, 17.031
4.587, 7.245, -0.471, -12.440, 0.493, 0.020, 9.957, 17.099
4.732, 7.231, -0.713, -12.119, 0.516, 0.020, 10.084, 17.169
4.876, 7.212, -0.945, -11.619, 0.538, 0.020, 10.208, 17.241
5.020, 7.189, -1.165, -10.959, 0.560, 0.020, 10.331, 17.316
5.163, 7.161, -1.368, -10.165, 0.581, 0.020, 10.451, 17.394
5.306, 7.130, -1.553, -9.269, 0.602, 0.020, 10.570, 17.473
5.448, 7.096, -1.719, -8.300, 0.622, 0.020, 10.686, 17.555
5.589, 7.059, -1.865, -7.293, 0.642, 0.020, 10.800, 17.638
5.729, 7.019, -1.991, -6.275, 0.660, 0.020, 10.912, 17.723
5.869, 6.977, -2.096, -5.275, 0.678, 0.020, 11.021, 17.810
6.008, 6.933, -2.183, -4.314, 0.695, 0.020, 11.128, 17.898
