position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 17.354
0.003, 0.160, 8.000, 0.000, 0.000, 0.020, 5.503, 17.354
0.010, 0.320, 8.000, 0.000, 0.000, 0.020, 5.510, 17.354
0.019, 0.480, 8.000, 0.000, 0.000, 0.020, 5.519, 17.354
0.032, 0.640, 8.000, 0.000, 0.000, 0.020, 5.532, 17.354
0.048, 0.800, 8.000, 0.000, 0.000, 0.020, 5.548, 17.354
0.067, 0.960, 8.000, 0.000, 0.000, 0.020, 5.567, 17.354
0.090, 1.120, 8.000, 0.000, 0.000, 0.020, 5.590, 17.354
0.115, 1.280, 8.000, 0.000, 0.001, 0.020, 5.615, 17.354
0.144, 1.440, 8.000, 0.000, 0.001, 0.020, 5.644, 17.354
0.176, 1.600, 8.000, 0.000, 0.001, 0.020, 5.676, 17.354
0.211, 1.760, 8.000, 0.000, 0.002, 0.020, 5.711, 17.354
0.250, 1.920, 8.000, 0.000, 0.002, 0.020, 5.750, 17.354
0.291, 2.080, 8.000, 0.000, 0.003, 0.020, 5.791, 17.354
0.336, 2.240, 8.000, 0.000, 0.004, 0.020, 5.836, 17.355
0.384, 2.400, 8.000, 0.000, 0.006, 0.020, 5.884, 17.355
0.435, 2.560, 8.000, 0.000, 0.007, 0.020, 5.935, 17.355
0.490, 2.720, 8.000, 0.000, 0.009, 0.020, 5.990, 17.356
0.547, 2.880, 8.000, 0.000, 0.011, 0.020, 6.047, 17.356
0.608, 3.040, 8.000, 0.000, 0.014, 0.020, 6.108, 17.357
0.672, 3.200, 8.000, 0.000, 0.017, 0.020, 6.172, 17.358
0.739, 3.360, 8.000, 0.000, 0.020, 0.020, 6.239, 17.359
0.810, 3.520, 8.000, 0.000, 0.024, 0.020, 6.310, 17.361
0.883, 3.680, 8.000, 0.000, 0.028, 0.020, 6.383, 17.363
0.960, 3.840, 8.000, 0.000, 0.033, 0.020, 6.460, 17.365
1.040, 4.000, 8.000, 0.000, 0.039, 0.020, 6.540, 17.368
1.123, 4.160, 8.000, 0.000, 0.045, 0.020, 6.623, 17.371
1.210, 4.320, 8.000, 0.000, 0.052, 0.020, 6.709, 17.376
1.299, 4.480, 8.000, 0.000, 0.060, 0.020, 6.799, 17.381
1.392, 4.640, 8.000, 0.000, 0.068, 0.020, 6.891, 17.387
1.488, 4.800, 8.000, 0.000, 0.078, 0.020, 6.987, 17.393
1.587, 4.960, 8.000, 0.000, 0.088, 0.020, 7.086, 17.402
1.690, 5.120, 8.000, 0.000, 0.099, 0.020, 7.188, 17.411
1.795, 5.280, 8.000, 0.000, 0.111, 0.020, 7.293, 17.422
1.904, 5.440, 8.000, 0.000, 0.125, 0.020, 7.401, 17.435
2.016, 5.600, 8.000, 0.000, 0.139, 0.020, 7.512, 17.450
2.131, 5.760, 8.000, 0.000, 0.155, 0.020, 7.626, 17.467
2.250, 5.920, 8.000, 0.000, 0.171, 0.020, 7.743, 17.486
2.370, 6.000, 0.000, 0.000, 0.189, 0.020, 7.861, 17.507
2.490, 6.000, 0.000, 0.000, 0.208, 0.020, 7.978, 17.531
2.610, 6.000, 0.000, 0.000, 0.227, 0.020, 8.096, 17.557
2.730, 6.000, 0.000, 0.000, 0.247, 0.020, 8.212, 17.585
2.850, 6.000, 0.000, 0.000, 0.268, 0.020, 8.328, 17.616
2.970, 6.000, 0.000, 0.000, 0.289, 0.020, 8.444, 17.649
3.090, 6.000, 0.000, 0.000, 0.311, 0.020, 8.558, 17.684
3.210, 6.000, 0.000, 0.000, 0.333, 0.020, 8.672, 17.722
3.330, 6.000, 0.000, 0.000, 0.355, 0.020, 8.785, 17.763
3.450, 6.000, 0.000, 0.000, 0.378, 0.020, 8.897, 17.806
3.570, 6.000, 0.000, 0.000, 0.401, 0.020, 9.008, 17.851
3.690, 6.000, 0.000, 0.000, 0.424, 0.020, 9.118, 17.899
3.810, 6.000, 0.000, 0.000, 0.447, 0.020, 9.227, 17.950
3.930, 6.000, 0.000, 0.000, 0.470, 0.020, 9.334, 18.003
4.050, 6.000, 0.000, 0.000, 0.493, 0.020, 9.441, 18.059
4.170, 6.000, 0.000, 0.000, 0.516, 0.020, 9.546, 18.117
4.290, 6.000, 0.000, 0.000, 0.538, 0.020, 9.649, 18.177
4.410, 6.000, 0.000, 0.000, 0.560, 0.020, 9.752, 18.240
4.530, 6.000, 0.000, 0.000, 0.581, 0.020, 9.853, 18.305
4.650, 6.000, 0.000, 0.000, 0.602, 0.020, 9.952, 18.372
4.770, 6.000, 0.000, 0.000, 0.622, 0.020, 10.051, 18.441
4.890, 6.000, 0.000, 0.000, 0.642, 0.020, 10.147, 18.511
5.010, 6.000, 0.000, 0.000, 0.660, 0.020, 10.243, 18.584
