position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 18.444
0.003, 0.160, 7.999, 399.945, 0.000, 0.020, 5.503, 18.444
0.010, 0.320, 7.992, -0.330, 0.000, 0.020, 5.510, 18.444
0.019, 0.479, 7.979, -0.659, 0.000, 0.020, 5.519, 18.444
0.032, 0.639, 7.959, -0.983, 0.000, 0.020, 5.532, 18.444
0.048, 0.797, 7.933, -1.302, 0.000, 0.020, 5.548, 18.444
0.067, 0.955, 7.901, -1.614, 0.000, 0.020, 5.567, 18.444
0.089, 1.113, 7.863, -1.918, 0.000, 0.020, 5.589, 18.444
0.115, 1.269, 7.819, -2.211, 0.001, 0.020, 5.615, 18.444
0.143, 1.424, 7.769, -2.495, 0.001, 0.020, 5.643, 18.444
0.175, 1.579, 7.713, -2.767, 0.001, 0.020, 5.675, 18.444
0.209, 1.732, 7.653, -3.028, 0.002, 0.020, 5.709, 18.444
0.247, 1.883, 7.587, -3.279, 0.002, 0.020, 5.747, 18.445
0.288, 2.034, 7.517, -3.520, 0.003, 0.020, 5.788, 18.445
0.331, 2.183, 7.442, -3.751, 0.004, 0.020, 5.831, 18.445
0.378, 2.330, 7.362, -3.974, 0.006, 0.020, 5.878, 18.445
0.427, 2.475, 7.278, -4.190, 0.007, 0.020, 5.927, 18.445
0.480, 2.619, 7.190, -4.402, 0.009, 0.020, 5.980, 18.446
0.535, 2.761, 7.098, -4.609, 0.011, 0.020, 6.035, 18.446
0.593, 2.901, 7.002, -4.815, 0.014, 0.020, 6.093, 18.447
0.654, 3.039, 6.901, -5.021, 0.017, 0.020, 6.154, 18.448
0.717, 3.175, 6.797, -5.228, 0.020, 0.020, 6.217, 18.449
0.784, 3.309, 6.688, -5.438, 0.024, 0.020, 6.283, 18.451
0.852, 3.440, 6.575, -5.651, 0.028, 0.020, 6.352, 18.452
0.924, 3.570, 6.458, -5.868, 0.033, 0.020, 6.424, 18.455
0.998, 3.696, 6.336, -6.088, 0.039, 0.020, 6.497, 18.457
1.074, 3.820, 6.210, -6.309, 0.045, 0.020, 6.574, 18.460
1.153, 3.942, 6.079, -6.528, 0.052, 0.020, 6.653, 18.464
1.234, 4.061, 5.945, -6.740, 0.060, 0.020, 6.734, 18.469
1.318, 4.177, 5.806, -6.939, 0.068, 0.020, 6.817, 18.474
1.403, 4.290, 5.663, -7.115, 0.078, 0.020, 6.903, 18.480
1.491, 4.401, 5.518, -7.256, 0.088, 0.020, 6.990, 18.488
1.582, 4.508, 5.371, -7.345, 0.099, 0.020, 7.080, 18.496
1.674, 4.613, 5.224, -7.362, 0.111, 0.020, 7.172, 18.506
1.768, 4.714, 5.079, -7.281, 0.125, 0.020, 7.265, 18.517
1.864, 4.813, 4.937, -7.072, 0.139, 0.020, 7.361, 18.529
1.963, 4.909, 4.803, -6.698, 0.155, 0.020, 7.458, 18.544
2.063, 5.003, 4.681, -6.120, 0.171, 0.020, 7.557, 18.560
2.163, 5.027, 1.238, -172.152, 0.189, 0.020, 7.656, 18.578
2.263, 4.986, -2.073, -165.518, 0.208, 0.020, 7.753, 18.598
2.362, 4.946, -1.972, 5.035, 0.227, 0.020, 7.850, 18.619
2.460, 4.909, -1.854, 5.916, 0.247, 0.020, 7.945, 18.642
2.558, 4.875, -1.717, 6.841, 0.268, 0.020, 8.040, 18.667
