position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 16.264
0.003, 0.160, 8.001, 400.075, 0.000, 0.020, 5.503, 16.264
0.010, 0.320, 8.010, 0.449, 0.000, 0.020, 5.510, 16.264
0.019, 0.481, 8.028, 0.895, 0.000, 0.020, 5.519, 16.264
0.032, 0.642, 8.055, 1.335, 0.000, 0.020, 5.532, 16.264
0.048, 0.804, 8.090, 1.767, 0.000, 0.020, 5.548, 16.264
0.067, 0.966, 8.134, 2.189, 0.000, 0.020, 5.567, 16.264
0.090, 1.130, 8.186, 2.599, 0.000, 0.020, 5.590, 16.264
0.116, 1.295, 8.246, 2.996, 0.001, 0.020, 5.616, 16.264
0.145, 1.461, 8.314, 3.380, 0.001, 0.020, 5.645, 16.264
0.178, 1.629, 8.389, 3.751, 0.002, 0.020, 5.678, 16.264
0.214, 1.799, 8.471, 4.110, 0.002, 0.020, 5.714, 16.264
0.253, 1.970, 8.560, 4.459, 0.003, 0.020, 5.753, 16.264
0.296, 2.143, 8.656, 4.801, 0.004, 0.020, 5.796, 16.264
0.342, 2.318, 8.759, 5.139, 0.006, 0.020, 5.842, 16.265
0.392, 2.495, 8.868, 5.477, 0.008, 0.020, 5.892, 16.265
0.446, 2.675, 8.985, 5.819, 0.010, 0.020, 5.946, 16.265
0.503, 2.857, 9.108, 6.170, 0.012, 0.020, 6.003, 16.266
0.564, 3.042, 9.239, 6.536, 0.015, 0.020, 6.064, 16.267
0.628, 3.230, 9.377, 6.921, 0.019, 0.020, 6.128, 16.268
0.697, 3.420, 9.524, 7.333, 0.023, 0.020, 6.197, 16.269
0.769, 3.614, 9.680, 7.775, 0.027, 0.020, 6.269, 16.271
0.845, 3.811, 9.845, 8.255, 0.033, 0.020, 6.345, 16.273
0.925, 4.011, 10.020, 8.775, 0.039, 0.020, 6.425, 16.276
1.010, 4.215, 10.207, 9.340, 0.046, 0.020, 6.510, 16.280
1.098, 4.423, 10.406, 9.952, 0.053, 0.020, 6.598, 16.284
1.191, 4.636, 10.618, 10.609, 0.062, 0.020, 6.690, 16.290
1.288, 4.852, 10.844, 11.308, 0.072, 0.020, 6.787, 16.296
1.389, 5.074, 11.085, 12.040, 0.083, 0.020, 6.888, 16.304
1.495, 5.301, 11.341, 12.788, 0.095, 0.020, 6.994, 16.313
1.606, 5.533, 11.611, 13.527, 0.108, 0.020, 7.104, 16.325
1.722, 5.771, 11.896, 14.220, 0.123, 0.020, 7.219, 16.338
1.842, 6.015, 12.192, 14.813, 0.140, 0.020, 7.338, 16.354
1.967, 6.265, 12.497, 15.231, 0.158, 0.020, 7.462, 16.372
2.098, 6.521, 12.804, 15.378, 0.178, 0.020, 7.591, 16.394
2.233, 6.783, 13.107, 15.125, 0.199, 0.020, 7.724, 16.419
2.374, 7.051, 13.393, 14.313, 0.223, 0.020, 7.862, 16.449
2.521, 7.324, 13.648, 12.752, 0.249, 0.020, 8.004, 16.483
2.671, 7.500, 8.827, -241.056, 0.276, 0.020, 8.149, 16.522
2.822, 7.575, 3.735, -254.613, 0.305, 0.020, 8.294, 16.565
2.975, 7.645, 3.497, -11.884, 0.335, 0.020, 8.439, 16.614
3.129, 7.709, 3.187, -15.524, 0.367, 0.020, 8.584, 16.667
3.285, 7.765, 2.801, -19.295, 0.399, 0.020, 8.728, 16.725
3.441, 7.812, 2.341, -23.003, 0.432, 0.020, 8.871, 16.788
3.598, 7.848, 1.812, -26.420, 0.466, 0.020, 9.012, 16.856
3.755, 7.872, 1.226, -29.310, 0.501, 0.020, 9.152, 16.929
3.913, 7.884, 0.597, -31.450, 0.535, 0.020, 9.289, 17.007
4.071, 7.883, -0.056, -32.665, 0.570, 0.020, 9.423, 17.090
4.228, 7.869, -0.713, -32.848, 0.604, 0.020, 9.554, 17.177
4.385, 7.842, -1.353, -31.981, 0.638, 0.020, 9.682, 17.268
4.541, 7.803, -1.956, -30.133, 0.671, 0.020, 9.806, 17.363
4.696, 7.753, -2.505, -27.456, 0.703, 0.020, 9.925, 17.462
4.850, 7.693, -2.988, -24.153, 0.734, 0.020, 10.041, 17.563
5.002, 7.625, -3.397, -20.461, 0.764, 0.020, 10.153, 17.667
5.153, 7.550, -3.729, -16.613, 0.792, 0.020, 10.260, 17.773
5.303, 7.471, -3.986, -12.819, 0.819, 0.020, 10.364, 17.880
5.450, 7.387, -4.171, -9.249, 0.845, 0.020, 10.463, 17.990
5.596, 7.301, -4.291, -6.024, 0.869, 0.020, 10.559, 18.100
5.741, 7.214, -4.355, -3.219, 0.891, 0.020, 10.651, 18.211
5.883, 7.127, -4.373, -0.868, 0.912, 0.020, 10.739, 18.323
6.024, 7.040, -4.352, 1.030, 0.931, 0.020, 10.825, 18.435
6.163, 6.954, -4.302, 2.501, 0.948, 0.020, 10.907, 18.547
6.301, 6.869, -4.231, 3.585, 0.964, 0.020, 10.986, 18.660
6.436, 6.786, -4.144, 4.330, 0.979, 0.020, 11.062, 18.772
6.570, 6.705, -4.048, 4.788, 0.992, 0.020, 11.136, 18.884
6.703, 6.626, -3.948, 5.009, 1.003, 0.020, 11.208, 18.995
6.834, 6.549, -3.847, 5.039, 1.013, 0.020, 11.278, 19.106
6.963, 6.474, -3.749, 4.919, 1.022, 0.020, 11.346, 19.216
7.091, 6.401, -3.655, 4.686, 1.029, 0.020, 11.413, 19.325
7.218, 6.330, -3.568, 4.370, 1.035, 0.020, 11.478, 19.434
7.343, 6.260, -3.488, 3.997, 1.040, 0.020, 11.541, 19.542
7.467, 6.192, -3.416, 3.588, 1.044, 0.020, 11.604, 19.649
7.590, 6.125, -3.353, 3.162, 1.046, 0.020, 11.665, 19.755
7.711, 6.059, -3.298, 2.734, 1.047, 0.020, 11.726, 19.860
7.831, 5.994, -3.252, 2.318, 1.047, 0.020, 11.786, 19.963
7.949, 5.930, -3.213, 1.926, 1.045, 0.020, 11.845, 20.066
8.067, 5.866, -3.182, 1.569, 1.043, 0.020, 11.904, 20.167
8.183, 5.803, -3.157, 1.258, 1.039, 0.020, 11.963, 20.268
8.297, 5.740, -3.137, 1.005, 1.035, 0.020, 12.021, 20.366
8.411, 5.678, -3.120, 0.822, 1.029, 0.020, 12.079, 20.464
8.523, 5.616, -3.106, 0.722, 1.022, 0.020, 12.138, 20.560
8.634, 5.554, -3.091, 0.718, 1.014, 0.020, 12.196, 20.654
8.744, 5.492, -3.075, 0.825, 1.004, 0.020, 12.255, 20.747
8.853, 5.431, -3.054, 1.058, 0.994, 0.020, 12.313, 20.839
8.960, 5.371, -3.025, 1.434, 0.982, 0.020, 12.373, 20.928
9.066, 5.311, -2.986, 1.967, 0.970, 0.020, 12.432, 21.016
