position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 10.938
0.003, 0.160, 8.000, 0.000, 6.283, 0.020, 5.503, 10.938
0.010, 0.320, 8.000, 0.000, 6.283, 0.020, 5.510, 10.938
0.019, 0.480, 8.000, 0.000, 6.283, 0.020, 5.519, 10.938
0.032, 0.640, 8.000, 0.000, 6.283, 0.020, 5.532, 10.937
0.048, 0.800, 8.000, 0.000, 6.283, 0.020, 5.548, 10.937
0.067, 0.960, 8.000, 0.000, 6.283, 0.020, 5.567, 10.937
0.090, 1.120, 8.000, 0.000, 6.283, 0.020, 5.590, 10.937
0.115, 1.280, 8.000, 0.000, 6.283, 0.020, 5.615, 10.937
0.144, 1.440, 8.000, 0.000, 6.282, 0.020, 5.644, 10.937
0.176, 1.600, 8.000, 0.000, 6.282, 0.020, 5.676, 10.937
0.211, 1.760, 8.000, 0.000, 6.281, 0.020, 5.711, 10.937
0.250, 1.920, 8.000, 0.000, 6.281, 0.020, 5.750, 10.937
0.291, 2.080, 8.000, 0.000, 6.280, 0.020, 5.791, 10.937
0.336, 2.240, 8.000, 0.000, 6.279, 0.020, 5.836, 10.937
0.384, 2.400, 8.000, 0.000, 6.278, 0.020, 5.884, 10.937
0.435, 2.560, 8.000, 0.000, 6.276, 0.020, 5.935, 10.936
0.490, 2.720, 8.000, 0.000, 6.274, 0.020, 5.990, 10.936
0.547, 2.880, 8.000, 0.000, 6.272, 0.020, 6.047, 10.935
0.608, 3.040, 8.000, 0.000, 6.269, 0.020, 6.108, 10.935
0.672, 3.200, 8.000, 0.000, 6.266, 0.020, 6.172, 10.934
0.739, 3.360, 8.000, 0.000, 6.263, 0.020, 6.239, 10.932
0.810, 3.520, 8.000, 0.000, 6.259, 0.020, 6.310, 10.931
0.883, 3.680, 8.000, 0.000, 6.255, 0.020, 6.383, 10.929
0.960, 3.840, 8.000, 0.000, 6.250, 0.020, 6.460, 10.927
1.040, 4.000, 8.000, 0.000, 6.244, 0.020, 6.540, 10.924
1.123, 4.160, 8.000, 0.000, 6.238, 0.020, 6.623, 10.920
1.210, 4.320, 8.000, 0.000, 6.231, 0.020, 6.709, 10.916
1.299, 4.480, 8.000, 0.000, 6.224, 0.020, 6.799, 10.911
1.392, 4.640, 8.000, 0.000, 6.215, 0.020, 6.891, 10.905
1.488, 4.800, 8.000, 0.000, 6.206, 0.020, 6.987, 10.898
1.587, 4.960, 8.000, 0.000, 6.196, 0.020, 7.086, 10.890
1.690, 5.120, 8.000, 0.000, 6.185, 0.020, 7.188, 10.881
1.795, 5.280, 8.000, 0.000, 6.173, 0.020, 7.293, 10.870
1.904, 5.440, 8.000, 0.000, 6.160, 0.020, 7.401, 10.857
2.016, 5.600, 8.000, 0.000, 6.146, 0.020, 7.512, 10.843
2.131, 5.760, 8.000, 0.000, 6.131, 0.020, 7.626, 10.826
