position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 12.028
0.003, 0.160, 8.001, 400.055, 6.283, 0.020, 5.503, 12.028
0.010, 0.320, 8.008, 0.332, 6.283, 0.020, 5.510, 12.028
0.019, 0.481, 8.021, 0.662, 6.283, 0.020, 5.519, 12.028
0.032, 0.641, 8.041, 0.989, 6.283, 0.020, 5.532, 12.028
0.048, 0.803, 8.067, 1.309, 6.283, 0.020, 5.548, 12.028
0.067, 0.965, 8.099, 1.622, 6.283, 0.020, 5.567, 12.028
0.090, 1.127, 8.138, 1.926, 6.283, 0.020, 5.590, 12.028
0.116, 1.291, 8.182, 2.219, 6.283, 0.020, 5.616, 12.028
0.145, 1.456, 8.232, 2.502, 6.282, 0.020, 5.645, 12.028
0.177, 1.622, 8.288, 2.773, 6.282, 0.020, 5.677, 12.028
0.213, 1.789, 8.348, 3.032, 6.281, 0.020, 5.713, 12.028
0.252, 1.957, 8.414, 3.278, 6.281, 0.020, 5.752, 12.027
0.295, 2.126, 8.484, 3.514, 6.280, 0.020, 5.795, 12.027
0.341, 2.298, 8.559, 3.738, 6.279, 0.020, 5.841, 12.027
0.390, 2.470, 8.638, 3.952, 6.278, 0.020, 5.890, 12.027
0.443, 2.645, 8.721, 4.156, 6.276, 0.020, 5.943, 12.027
0.499, 2.821, 8.808, 4.353, 6.274, 0.020, 5.999, 12.026
0.559, 2.999, 8.899, 4.543, 6.272, 0.020, 6.059, 12.026
0.623, 3.179, 8.994, 4.727, 6.269, 0.020, 6.123, 12.025
0.690, 3.361, 9.092, 4.907, 6.266, 0.020, 6.190, 12.024
0.761, 3.545, 9.193, 5.084, 6.263, 0.020, 6.261, 12.022
0.836, 3.731, 9.299, 5.257, 6.259, 0.020, 6.336, 12.021
0.914, 3.919, 9.407, 5.428, 6.255, 0.020, 6.414, 12.019
0.996, 4.109, 9.519, 5.594, 6.250, 0.020, 6.496, 12.016
1.082, 4.302, 9.634, 5.756, 6.244, 0.020, 6.582, 12.013
1.172, 4.497, 9.752, 5.910, 6.238, 0.020, 6.672, 12.009
1.266, 4.694, 9.873, 6.052, 6.231, 0.020, 6.766, 12.005
1.364, 4.894, 9.997, 6.177, 6.224, 0.020, 6.863, 11.999
1.466, 5.097, 10.122, 6.276, 6.215, 0.020, 6.965, 11.993
1.572, 5.302, 10.249, 6.341, 6.206, 0.020, 7.071, 11.985
1.682, 5.509, 10.376, 6.359, 6.196, 0.020, 7.181, 11.976
1.797, 5.719, 10.503, 6.313, 6.185, 0.020, 7.295, 11.966
1.915, 5.932, 10.626, 6.185, 6.173, 0.020, 7.413, 11.953
2.038, 6.147, 10.745, 5.951, 6.160, 0.020, 7.535, 11.939
2.165, 6.364, 10.857, 5.587, 6.146, 0.020, 7.661, 11.923
2.297, 6.583, 10.958, 5.061, 6.131, 0.020, 7.791, 11.904
2.433, 6.804, 11.045, 4.342, 6.115, 0.020, 7.926, 11.882
2.572, 6.933, 6.479, -228.331, 6.098, 0.020, 8.062, 11.857
2.711, 6.969, 1.793, -234.259, 6.080, 0.020, 8.199, 11.831
2.851, 7.003, 1.678, -5.748, 6.062, 0.020, 8.336, 11.801
2.992, 7.034, 1.549, -6.472, 6.043, 0.020, 8.473, 11.769
3.133, 7.062, 1.405, -7.208, 6.023, 0.020, 8.610, 11.734
3.275, 7.087, 1.246, -7.934, 6.003, 0.020, 8.746, 11.696
3.417, 7.108, 1.074, -8.628, 5.983, 0.020, 8.882, 11.655
3.560, 7.126, 0.888, -9.266, 5.962, 0.020, 9.018, 11.612
3.702, 7.140, 0.692, -9.825, 5.941, 0.020, 9.153, 11.565
3.845, 7.150, 0.486, -10.282, 5.920, 0.020, 9.287, 11.516
3.988, 7.155, 0.274, -10.619, 5.899, 0.020, 9.421, 11.464
4.132, 7.156, 0.057, -10.821, 5.878, 0.020, 9.553, 11.409
4.275, 7.153, -0.160, -10.878, 5.857, 0.020, 9.683, 11.351
4.418, 7.146, -0.376, -10.786, 5.836, 0.020, 9.813, 11.290
4.560, 7.134, -0.587, -10.548, 5.815, 0.020, 9.941, 11.227
4.703, 7.118, -0.790, -10.171, 5.794, 0.020, 10.067, 11.162
4.845, 7.098, -0.984, -9.669, 5.774, 0.020, 10.192, 11.094
4.986, 7.075, -1.165, -9.059, 5.754, 0.020, 10.315, 11.024
5.127, 7.048, -1.332, -8.363, 5.735, 0.020, 10.436, 10.951
5.267, 7.019, -1.484, -7.602, 5.716, 0.020, 10.555, 10.877
5.407, 6.986, -1.620, -6.800, 5.698, 0.020, 10.672, 10.801
5.546, 6.952, -1.740, -5.979, 5.681, 0.020, 10.787, 10.723
5.684, 6.915, -1.843, -5.160, 5.664, 0.020, 10.901, 10.644
5.822, 6.876, -1.930, -4.360, 5.648, 0.020, 11.012, 10.563
5.959, 6.836, -2.002, -3.595, 5.633, 0.020, 11.121, 10.481
6.095, 6.795, -2.060, -2.877, 5.618, 0.020, 11.229, 10.398
6.230, 6.753, -2.104, -2.214, 5.604, 0.020, 11.335, 10.314
6.364, 6.710, -2.136, -1.612, 5.591, 0.020, 11.439, 10.229
6.497, 6.667, -2.158, -1.075, 5.579, 0.020, 11.541, 10.143
6.630, 6.623, -2.170, -0.601, 5.568, 0.020, 11.641, 10.057
6.761, 6.580, -2.174, -0.191, 5.557, 0.020, 11.740, 9.970
6.892, 6.537, -2.170, 0.159, 5.547, 0.020, 11.837, 9.883
7.022, 6.493, -2.161, 0.452, 5.538, 0.020, 11.933, 9.795
