position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 9.847
0.003, 0.160, 7.999, 399.925, 6.283, 0.020, 5.503, 9.847
0.010, 0.320, 7.990, -0.449, 6.283, 0.020, 5.510, 9.847
0.019, 0.479, 7.972, -0.896, 6.283, 0.020, 5.519, 9.847
0.032, 0.638, 7.945, -1.337, 6.283, 0.020, 5.532, 9.847
0.048, 0.796, 7.909, -1.769, 6.283, 0.020, 5.548, 9.847
0.067, 0.954, 7.866, -2.191, 6.283, 0.020, 5.567, 9.847
0.089, 1.110, 7.814, -2.602, 6.283, 0.020, 5.589, 9.847
0.114, 1.265, 7.754, -2.999, 6.282, 0.020, 5.614, 9.847
0.143, 1.419, 7.686, -3.384, 6.282, 0.020, 5.643, 9.847
0.174, 1.571, 7.611, -3.755, 6.282, 0.020, 5.674, 9.847
0.209, 1.721, 7.529, -4.114, 6.281, 0.020, 5.709, 9.847
0.246, 1.870, 7.439, -4.464, 6.280, 0.020, 5.746, 9.847
0.286, 2.017, 7.343, -4.806, 6.279, 0.020, 5.786, 9.847
0.330, 2.162, 7.240, -5.144, 6.277, 0.020, 5.830, 9.847
0.376, 2.305, 7.131, -5.482, 6.276, 0.020, 5.876, 9.846
0.425, 2.445, 7.014, -5.824, 6.273, 0.020, 5.925, 9.846
0.476, 2.583, 6.891, -6.176, 6.271, 0.020, 5.976, 9.845
0.531, 2.718, 6.760, -6.541, 6.268, 0.020, 6.031, 9.845
0.588, 2.850, 6.621, -6.927, 6.265, 0.020, 6.088, 9.844
0.647, 2.980, 6.474, -7.338, 6.260, 0.020, 6.147, 9.842
0.709, 3.106, 6.319, -7.781, 6.256, 0.020, 6.209, 9.841
0.774, 3.229, 6.154, -8.260, 6.250, 0.020, 6.274, 9.839
0.841, 3.349, 5.978, -8.780, 6.244, 0.020, 6.341, 9.837
0.910, 3.465, 5.791, -9.345, 6.238, 0.020, 6.410, 9.834
0.982, 3.576, 5.592, -9.956, 6.230, 0.020, 6.481, 9.830
1.055, 3.684, 5.380, -10.613, 6.221, 0.020, 6.555, 9.826
1.131, 3.787, 5.154, -11.311, 6.211, 0.020, 6.631, 9.821
1.209, 3.885, 4.913, -12.040, 6.200, 0.020, 6.708, 9.815
1.288, 3.978, 4.657, -12.786, 6.188, 0.020, 6.787, 9.808
1.370, 4.066, 4.387, -13.523, 6.175, 0.020, 6.868, 9.799
1.453, 4.148, 4.102, -14.211, 6.160, 0.020, 6.951, 9.790
1.537, 4.224, 3.806, -14.799, 6.143, 0.020, 7.034, 9.779
1.623, 4.294, 3.502, -15.212, 6.125, 0.020, 7.119, 9.766
1.710, 4.358, 3.195, -15.350, 6.105, 0.020, 7.205, 9.752
1.799, 4.416, 2.893, -15.087, 6.084, 0.020, 7.292, 9.735
1.888, 4.468, 2.608, -14.264, 6.060, 0.020, 7.379, 9.716
1.978, 4.515, 2.354, -12.690, 6.034, 0.020, 7.467, 9.695
2.068, 4.499, -0.822, -158.826, 6.007, 0.020, 7.554, 9.672
2.157, 4.424, -3.727, -145.264, 5.978, 0.020, 7.639, 9.646
2.244, 4.355, -3.488, 11.962, 5.948, 0.020, 7.722, 9.619
2.330, 4.291, -3.176, 15.600, 5.916, 0.020, 7.802, 9.589
2.414, 4.235, -2.789, 19.364, 5.884, 0.020, 7.881, 9.558
2.498, 4.189, -2.328, 23.060, 5.851, 0.020, 7.957, 9.524
2.581, 4.153, -1.799, 26.462, 5.817, 0.020, 8.032, 9.488
2.664, 4.129, -1.212, 29.331, 5.783, 0.020, 8.105, 9.450
2.746, 4.117, -0.583, 31.449, 5.748, 0.020, 8.177, 9.409
2.828, 4.118, 0.070, 32.640, 5.713, 0.020, 8.247, 9.366
2.911, 4.133, 0.726, 32.801, 5.679, 0.020, 8.316, 9.320
2.994, 4.160, 1.364, 31.915, 5.645, 0.020, 8.383, 9.271
3.078, 4.199, 1.965, 30.053, 5.612, 0.020, 8.450, 9.220
3.163, 4.250, 2.513, 27.366, 5.580, 0.020, 8.516, 9.166
3.249, 4.310, 2.994, 24.060, 5.549, 0.020, 8.581, 9.110
3.337, 4.378, 3.401, 20.370, 5.520, 0.020, 8.645, 9.050
3.426, 4.452, 3.732, 16.528, 5.491, 0.020, 8.708, 8.988
3.517, 4.532, 3.987, 12.744, 5.464, 0.020, 8.771, 8.922
3.609, 4.615, 4.170, 9.184, 5.439, 0.020, 8.833, 8.854
3.703, 4.701, 4.290, 5.972, 5.415, 0.020, 8.895, 8.783
3.799, 4.788, 4.353, 3.180, 5.393, 0.020, 8.956, 8.709
3.896, 4.876, 4.370, 0.840, 5.372, 0.020, 9.016, 8.633
3.996, 4.963, 4.349, -1.048, 5.353, 0.020, 9.076, 8.554
4.097, 5.049, 4.299, -2.511, 5.336, 0.020, 9.136, 8.472
4.199, 5.133, 4.227, -3.587, 5.320, 0.020, 9.195, 8.388
4.304, 5.216, 4.141, -4.327, 5.305, 0.020, 9.254, 8.302
4.409, 5.297, 4.045, -4.781, 5.293, 0.020, 9.313, 8.214
4.517, 5.376, 3.945, -4.999, 5.281, 0.020, 9.371, 8.124
4.626, 5.453, 3.845, -5.027, 5.271, 0.020, 9.430, 8.032
4.737, 5.528, 3.746, -4.906, 5.262, 0.020, 9.488, 7.938
4.849, 5.601, 3.653, -4.673, 5.255, 0.020, 9.546, 7.842
4.962, 5.672, 3.566, -4.357, 5.249, 0.020, 9.604, 7.745
5.077, 5.742, 3.486, -3.984, 5.244, 0.020, 9.663, 7.646
5.193, 5.810, 3.415, -3.577, 5.241, 0.020, 9.721, 7.545
5.311, 5.877, 3.352, -3.153, 5.239, 0.020, 9.781, 7.444
5.429, 5.943, 3.297, -2.727, 5.237, 0.020, 9.840, 7.341
5.550, 6.008, 3.251, -2.313, 5.238, 0.020, 9.900, 7.237
5.671, 6.072, 3.212, -1.923, 5.239, 0.020, 9.961, 7.132
5.794, 6.136, 3.181, -1.569, 5.241, 0.020, 10.023, 7.026
5.918, 6.199, 3.156, -1.262, 5.245, 0.020, 10.086, 6.919
6.043, 6.262, 3.135, -1.013, 5.250, 0.020, 10.150, 6.811
6.169, 6.324, 3.119, -0.834, 5.256, 0.020, 10.215, 6.703
6.297, 6.386, 3.104, -0.738, 5.263, 0.020, 10.281, 6.594
6.426, 6.448, 3.089, -0.739, 5.271, 0.020, 10.349, 6.484
6.556, 6.509, 3.072, -0.852, 5.280, 0.020, 10.419, 6.374
6.688, 6.570, 3.050, -1.092, 5.291, 0.020, 10.490, 6.264
6.820, 6.631, 3.021, -1.474, 5.303, 0.020, 10.563, 6.153
6.954, 6.690, 2.981, -2.014, 5.315, 0.020, 10.638, 6.042
7.089, 6.749, 2.926, -2.726, 5.329, 0.020, 10.715, 5.932
7.225, 6.806, 2.854, -3.621, 5.344, 0.020, 10.795, 5.821
7.362, 6.861, 2.759, -4.706, 5.359, 0.020, 10.877, 5.711
7.501, 6.914, 2.640, -5.983, 5.376, 0.020, 10.961, 5.601
