position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 4.000, 7.000
0.003, 0.160, 8.000, 0.000, 0.000, 0.020, 4.003, 7.000
0.010, 0.320, 8.000, 0.000, 0.000, 0.020, 4.010, 7.000
0.019, 0.480, 8.000, 0.000, 0.000, 0.020, 4.019, 7.000
0.032, 0.640, 8.000, 0.000, 0.000, 0.020, 4.032, 7.000
0.048, 0.800, 8.000, 0.000, 0.000, 0.020, 4.048, 7.000
0.067, 0.960, 8.000, 0.000, 0.000, 0.020, 4.067, 7.000
0.090, 1.120, 8.000, 0.000, 0.000, 0.020, 4.090, 7.000
0.115, 1.280, 8.000, 0.000, 0.000, 0.020, 4.115, 7.000
0.144, 1.440, 8.000, 0.000, 0.000, 0.020, 4.144, 7.000
0.176, 1.600, 8.000, 0.000, 0.000, 0.020, 4.176, 7.000
0.211, 1.760, 8.000, 0.000, 0.000, 0.020, 4.211, 7.000
0.250, 1.920, 8.000, 0.000, 0.000, 0.020, 4.250, 7.000
0.291, 2.080, 8.000, 0.000, 0.000, 0.020, 4.291, 7.000
0.336, 2.240, 8.000, 0.000, 0.000, 0.020, 4.336, 7.000
0.384, 2.400, 8.000, 0.000, 0.000, 0.020, 4.384, 7.000
0.435, 2.560, 8.000, 0.000, 0.000, 0.020, 4.435, 7.000
0.490, 2.720, 8.000, 0.000, 0.000, 0.020, 4.490, 7.000
0.547, 2.880, 8.000, 0.000, 0.000, 0.020, 4.547, 7.000
0.608, 3.040, 8.000, 0.000, 0.000, 0.020, 4.608, 7.000
0.672, 3.200, 8.000, 0.000, 0.000, 0.020, 4.672, 7.000
0.739, 3.360, 8.000, 0.000, 0.000, 0.020, 4.739, 7.000
0.810, 3.520, 8.000, 0.000, 0.000, 0.020, 4.810, 7.000
0.883, 3.680, 8.000, 0.000, 0.000, 0.020, 4.883, 7.000
0.960, 3.840, 8.000, 0.000, 0.000, 0.020, 4.960, 7.000
1.040, 4.000, 8.000, 0.000, 0.000, 0.020, 5.040, 7.000
1.123, 4.160, 8.000, 0.000, 0.000, 0.020, 5.123, 7.000
1.210, 4.320, 8.000, 0.000, 0.000, 0.020, 5.210, 7.000
