position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 3.142, 0.020, 14.000, 7.000
0.003, 0.160, 8.000, 0.000, 3.142, 0.020, 13.997, 7.000
0.010, 0.320, 8.000, 0.000, 3.142, 0.020, 13.990, 7.000
0.019, 0.480, 8.000, 0.000, 3.142, 0.020, 13.981, 7.000
0.032, 0.640, 8.000, 0.000, 3.142, 0.020, 13.968, 7.000
0.048, 0.800, 8.000, 0.000, 3.142, 0.020, 13.952, 7.000
0.067, 0.960, 8.000, 0.000, 3.142, 0.020, 13.933, 7.000
0.090, 1.120, 8.000, 0.000, 3.142, 0.020, 13.910, 7.000
0.115, 1.280, 8.000, 0.000, 3.142, 0.020, 13.885, 7.000
0.144, 1.440, 8.000, 0.000, 3.142, 0.020, 13.856, 7.000
0.176, 1.600, 8.000, 0.000, 3.142, 0.020, 13.824, 7.000
0.211, 1.760, 8.000, 0.000, 3.142, 0.020, 13.789, 7.000
0.250, 1.920, 8.000, 0.000, 3.142, 0.020, 13.750, 7.000
0.291, 2.080, 8.000, 0.000, 3.142, 0.020, 13.709, 7.000
0.336, 2.240, 8.000, 0.000, 3.142, 0.020, 13.664, 7.000
0.384, 2.400, 8.000, 0.000, 3.142, 0.020, 13.616, 7.000
0.435, 2.560, 8.000, 0.000, 3.142, 0.020, 13.565, 7.000
0.490, 2.720, 8.000, 0.000, 3.142, 0.020, 13.510, 7.000
0.547, 2.880, 8.000, 0.000, 3.142, 0.020, 13.453, 7.000
0.608, 3.040, 8.000, 0.000, 3.142, 0.020, 13.392, 7.000
0.672, 3.200, 8.000, 0.000, 3.142, 0.020, 13.328, 7.000
0.739, 3.360, 8.000, 0.000, 3.142, 0.020, 13.261, 7.000
0.810, 3.520, 8.000, 0.000, 3.142, 0.020, 13.190, 7.000
0.883, 3.680, 8.000, 0.000, 3.142, 0.020, 13.117, 7.000
0.960, 3.840, 8.000, 0.000, 3.142, 0.020, 13.040, 7.000
1.040, 4.000, 8.000, 0.000, 3.142, 0.020, 12.960, 7.000
1.123, 4.160, 8.000, 0.000, 3.142, 0.020, 12.877, 7.000
1.210, 4.320, 8.000, 0.000, 3.142, 0.020, 12.790, 7.000
1.299, 4.480, 8.000, 0.000, 3.142, 0.020, 12.701, 7.000
1.392, 4.640, 8.000, 0.000, 3.142, 0.020, 12.608, 7.000
1.488, 4.800, 8.000, 0.000, 3.142, 0.020, 12.512, 7.000
1.587, 4.960, 8.000, 0.000, 3.142, 0.020, 12.413, 7.000
1.690, 5.120, 8.000, 0.000, 3.142, 0.020, 12.310, 7.000
1.795, 5.280, 8.000, 0.000, 3.142, 0.020, 12.205, 7.000
1.904, 5.440, 8.000, 0.000, 3.142, 0.020, 12.096, 7.000
2.016, 5.600, 8.000, 0.000, 3.142, 0.020, 11.984, 7.000
2.131, 5.760, 8.000, 0.000, 3.142, 0.020, 11.869, 7.000
2.250, 5.920, 8.000, 0.000, 3.142, 0.020, 11.750, 7.000
2.370, 6.000, 0.000, 0.000, 3.142, 0.020, 11.630, 7.000
2.490, 6.000, 0.000, 0.000, 3.142, 0.020, 11.510, 7.000
2.610, 6.000, 0.000, 0.000, 3.142, 0.020, 11.390, 7.000
2.730, 6.000, 0.000, 0.000, 3.142, 0.020, 11.270, 7.000
2.850, 6.000, 0.000, 0.000, 3.142, 0.020, 11.150, 7.000
2.970, 6.000, 0.000, 0.000, 3.142, 0.020, 11.030, 7.000
3.090, 6.000, 0.000, 0.000, 3.142, 0.020, 10.910, 7.000
3.210, 6.000, 0.000, 0.000, 3.142, 0.020, 10.790, 7.000
3.330, 6.000, 0.000, 0.000, 3.142, 0.020, 10.670, 7.000
3.450, 6.000, 0.000, 0.000, 3.142, 0.020, 10.550, 7.000
3.570, 6.000, 0.000, 0.000, 3.142, 0.020, 10.430, 7.000
3.690, 6.000, 0.000, 0.000, 3.142, 0.020, 10.310, 7.000
3.810, 6.000, 0.000, 0.000, 3.142, 0.020, 10.190, 7.000
3.930, 6.000, 0.000, 0.000, 3.142, 0.020, 10.070, 7.000
4.050, 6.000, 0.000, 0.000, 3.142, 0.020, 9.950, 7.000
4.170, 6.000, 0.000, 0.000, 3.142, 0.020, 9.830, 7.000
4.290, 6.000, 0.000, 0.000, 3.142, 0.020, 9.710, 7.000
4.410, 6.000, 0.000, 0.000, 3.142, 0.020, 9.590, 7.000
4.530, 6.000, 0.000, 0.000, 3.142, 0.020, 9.470, 7.000
4.650, 6.000, 0.000, 0.000, 3.142, 0.020, 9.350, 7.000
4.770, 6.000, 0.000, 0.000, 3.142, 0.020, 9.230, 7.000
4.890, 6.000, 0.000, 0.000, 3.142, 0.020, 9.110, 7.000
5.010, 6.000, 0.000, 0.000, 3.142, 0.020, 8.990, 7.000
5.130, 6.000, 0.000, 0.000, 3.142, 0.020, 8.870, 7.000
5.250, 6.000, 0.000, 0.000, 3.142, 0.020, 8.750, 7.000
5.370, 6.000, 0.000, 0.000, 3.142, 0.020, 8.630, 7.000
5.490, 6.000, 0.000, 0.000, 3.142, 0.020, 8.510, 7.000
5.610, 6.000, 0.000, 0.000, 3.142, 0.020, 8.390, 7.000
5.730, 6.000, 0.000, 0.000, 3.142, 0.020, 8.270, 7.000
5.850, 6.000, 0.000, 0.000, 3.142, 0.020, 8.150, 7.000
5.970, 6.000, 0.000, 0.000, 3.142, 0.020, 8.030, 7.000
6.090, 6.000, 0.000, 0.000, 3.142, 0.020, 7.910, 7.000
6.210, 6.000, 0.000, 0.000, 3.142, 0.020, 7.790, 7.000
6.330, 6.000, 0.000, 0.000, 3.142, 0.020, 7.670, 7.000
6.450, 6.000, 0.000, 0.000, 3.142, 0.020, 7.550, 7.000
6.570, 6.000, 0.000, 0.000, 3.142, 0.020, 7.430, 7.000
6.690, 6.000, 0.000, 0.000, 3.142, 0.020, 7.310, 7.000
6.810, 6.000, 0.000, 0.000, 3.142, 0.020, 7.190, 7.000
6.930, 6.000, 0.000, 0.000, 3.142, 0.020, 7.070, 7.000
7.050, 6.000, 0.000, 0.000, 3.142, 0.020, 6.950, 7.000
7.170, 6.000, 0.000, 0.000, 3.142, 0.020, 6.830, 7.000
7.290, 6.000, 0.000, 0.000, 3.142, 0.020, 6.710, 7.000
7.410, 6.000, 0.000, 0.000, 3.142, 0.020, 6.590, 7.000
7.530, 6.000, 0.000, 0.000, 3.142, 0.020, 6.470, 7.000
7.650, 6.000, 0.000, 0.000, 3.142, 0.020, 6.350, 7.000
7.770, 6.000, 0.000, 0.000, 3.142, 0.020, 6.230, 7.000
7.890, 6.000, 0.000, 0.000, 3.142, 0.020, 6.110, 7.000
8.006, 5.840, -8.000, 0.000, 3.142, 0.020, 5.994, 7.000
8.120, 5.680, -8.000, 0.000, 3.142, 0.020, 5.880, 7.000
8.230, 5.520, -8.000, 0.000, 3.142, 0.020, 5.770, 7.000
8.338, 5.360, -8.000, 0.000, 3.142, 0.020, 5.662, 7.000
8.442, 5.200, -8.000, 0.000, 3.142, 0.020, 5.558, 7.000
8.542, 5.040, -8.000, 0.000, 3.142, 0.020, 5.458, 7.000
8.640, 4.880, -8.000, 0.000, 3.142, 0.020, 5.360, 7.000
8.734, 4.720, -8.000, 0.000, 3.142, 0.020, 5.266, 7.000
8.826, 4.560, -8.000, 0.000, 3.142, 0.020, 5.174, 7.000
8.914, 4.400, -8.000, 0.000, 3.142, 0.020, 5.086, 7.000
8.998, 4.240, -8.000, 0.000, 3.142, 0.020, 5.002, 7.000
9.080, 4.080, -8.000, 0.000, 3.142, 0.020, 4.920, 7.000
9.158, 3.920, -8.000, 0.000, 3.142, 0.020, 4.842, 7.000
9.234, 3.760, -8.000, 0.000, 3.142, 0.020, 4.766, 7.000
9.306, 3.600, -8.000, 0.000, 3.142, 0.020, 4.694, 7.000
9.374, 3.440, -8.000, 0.000, 3.142, 0.020, 4.626, 7.000
9.440, 3.280, -8.000, 0.000, 3.142, 0.020, 4.560, 7.000
9.502, 3.120, -8.000, 0.000, 3.142, 0.020, 4.498, 7.000
9.562, 2.960, -8.000, 0.000, 3.142, 0.020, 4.438, 7.000
9.618, 2.800, -8.000, 0.000, 3.142, 0.020, 4.382, 7.000
9.670, 2.640, -8.000, 0.000, 3.142, 0.020, 4.330, 7.000
9.720, 2.480, -8.000, 0.000, 3.142, 0.020, 4.280, 7.000
9.766, 2.320, -8.000, 0.000, 3.142, 0.020, 4.234, 7.000
9.810, 2.160, -8.000, 0.000, 3.142, 0.020, 4.190, 7.000
9.850, 2.000, -8.000, 0.000, 3.142, 0.020, 4.150, 7.000
9.886, 1.840, -8.000, 0.000, 3.142, 0.020, 4.114, 7.000
9.920, 1.680, -8.000, 0.000, 3.142, 0.020, 4.080, 7.000
9.950, 1.520, -8.000, 0.000, 3.142, 0.020, 4.050, 7.000
9.978, 1.360, -8.000, 0.000, 3.142, 0.020, 4.022, 7.000
10.002, 1.200, -8.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.022, 1.040, -8.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.040, 0.880, -8.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.054, 0.720, -8.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.066, 0.560, -8.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.074, 0.400, -8.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.078, 0.000, 0.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.078, 0.000, 0.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.078, 0.000, 0.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.078, 0.000, 0.000, 0.000, 3.142, 0.020, 4.000, 7.000
10.078, 0.000, 0.000, 0.000, 3.142, 0.020, 4.000, 7.000
