position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 14.000, 8.090
0.003, 0.160, 8.000, 400.000, 0.000, 0.020, 13.997, 8.090
0.010, 0.320, 8.000, 0.000, 0.000, 0.020, 13.990, 8.090
0.019, 0.480, 8.000, -0.000, 0.000, 0.020, 13.981, 8.090
0.032, 0.640, 8.000, 0.000, 0.000, 0.020, 13.968, 8.090
0.048, 0.800, 8.000, -0.000, 0.000, 0.020, 13.952, 8.090
0.067, 0.960, 8.000, 0.000, 0.000, 0.020, 13.933, 8.090
0.090, 1.120, 8.000, -0.000, 0.000, 0.020, 13.910, 8.090
0.115, 1.280, 8.000, 0.000, 0.000, 0.020, 13.885, 8.090
0.144, 1.440, 8.000, 0.000, 0.000, 0.020, 13.856, 8.090
0.176, 1.600, 8.000, 0.000, 0.000, 0.020, 13.824, 8.090
0.211, 1.760, 8.000, -0.000, 0.000, 0.020, 13.789, 8.090
0.250, 1.920, 8.000, 0.000, 0.000, 0.020, 13.750, 8.090
0.291, 2.080, 8.000, 0.000, 0.000, 0.020, 13.709, 8.090
0.336, 2.240, 8.000, -0.000, 0.000, 0.020, 13.664, 8.090
0.384, 2.400, 8.000, 0.000, 0.000, 0.020, 13.616, 8.090
0.435, 2.560, 8.000, 0.000, 0.000, 0.020, 13.565, 8.090
0.490, 2.720, 8.000, 0.000, 0.000, 0.020, 13.510, 8.090
0.547, 2.880, 8.000, 0.000, 0.000, 0.020, 13.453, 8.090
0.608, 3.040, 8.000, -0.000, 0.000, 0.020, 13.392, 8.090
0.672, 3.200, 8.000, 0.000, 0.000, 0.020, 13.328, 8.090
0.739, 3.360, 8.000, -0.000, 0.000, 0.020, 13.261, 8.090
0.810, 3.520, 8.000, -0.000, 0.000, 0.020, 13.190, 8.090
0.883, 3.680, 8.000, 0.000, 0.000, 0.020, 13.117, 8.090
0.960, 3.840, 8.000, -0.000, 0.000, 0.020, 13.040, 8.090
1.040, 4.000, 8.000, 0.000, 0.000, 0.020, 12.960, 8.090
1.123, 4.160, 8.000, -0.000, 0.000, 0.020, 12.877, 8.090
1.210, 4.320, 8.000, 0.000, 0.000, 0.020, 12.790, 8.090
1.299, 4.480, 8.000, -0.000, 0.000, 0.020, 12.701, 8.090
1.392, 4.640, 8.000, 0.000, 0.000, 0.020, 12.608, 8.090
1.488, 4.800, 8.000, 0.000, 0.000, 0.020, 12.512, 8.090
1.587, 4.960, 8.000, 0.000, 0.000, 0.020, 12.413, 8.090
1.690, 5.120, 8.000, -0.000, 0.000, 0.020, 12.310, 8.090
1.795, 5.280, 8.000, 0.000, 0.000, 0.020, 12.205, 8.090
1.904, 5.440, 8.000, 0.000, 0.000, 0.020, 12.096, 8.090
2.016, 5.600, 8.000, -0.000, 0.000, 0.020, 11.984, 8.090
2.131, 5.760, 8.000, 0.000, 0.000, 0.020, 11.869, 8.090
2.250, 5.920, 8.000, 0.000, 0.000, 0.020, 11.750, 8.090
2.370, 6.000, 4.000, -200.000, 0.000, 0.020, 11.630, 8.090
2.490, 6.000, 0.000, -200.000, 0.000, 0.020, 11.510, 8.090
2.610, 6.000, 0.000, 0.000, 0.000, 0.020, 11.390, 8.090
2.730, 6.000, 0.000, 0.000, 0.000, 0.020, 11.270, 8.090
2.850, 6.000, 0.000, 0.000, 0.000, 0.020, 11.150, 8.090
2.970, 6.000, 0.000, 0.000, 0.000, 0.020, 11.030, 8.090
3.090, 6.000, 0.000, 0.000, 0.000, 0.020, 10.910, 8.090
3.210, 6.000, 0.000, 0.000, 0.000, 0.020, 10.790, 8.090
3.330, 6.000, 0.000, 0.000, 0.000, 0.020, 10.670, 8.090
3.450, 6.000, 0.000, 0.000, 0.000, 0.020, 10.550, 8.090
