position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -2.618, 0.020, 15.500, 24.250
0.003, 0.160, 8.000, 0.000, -2.618, 0.020, 15.497, 24.248
0.010, 0.320, 8.000, 0.000, -2.618, 0.020, 15.492, 24.245
0.019, 0.480, 8.000, 0.000, -2.618, 0.020, 15.483, 24.240
0.032, 0.640, 8.000, 0.000, -2.618, 0.020, 15.472, 24.234
0.048, 0.800, 8.000, 0.000, -2.618, 0.020, 15.458, 24.226
0.067, 0.960, 8.000, 0.000, -2.618, 0.020, 15.442, 24.216
0.090, 1.120, 8.000, 0.000, -2.618, 0.020, 15.422, 24.205
0.115, 1.280, 8.000, 0.000, -2.619, 0.020, 15.400, 24.192
0.144, 1.440, 8.000, 0.000, -2.619, 0.020, 15.375, 24.178
0.176, 1.600, 8.000, 0.000, -2.620, 0.020, 15.348, 24.162
0.211, 1.760, 8.000, 0.000, -2.620, 0.020, 15.317, 24.145
0.250, 1.920, 8.000, 0.000, -2.621, 0.020, 15.284, 24.125
0.291, 2.080, 8.000, 0.000, -2.622, 0.020, 15.248, 24.105
0.336, 2.240, 8.000, 0.000, -2.623, 0.020, 15.209, 24.083
0.384, 2.400, 8.000, 0.000, -2.625, 0.020, 15.167, 24.059
0.435, 2.560, 8.000, 0.000, -2.626, 0.020, 15.122, 24.033
0.490, 2.720, 8.000, 0.000, -2.628, 0.020, 15.075, 24.007
0.547, 2.880, 8.000, 0.000, -2.631, 0.020, 15.025, 23.979
0.608, 3.040, 8.000, 0.000, -2.633, 0.020, 14.972, 23.949
0.672, 3.200, 8.000, 0.000, -2.636, 0.020, 14.916, 23.918
0.739, 3.360, 8.000, 0.000, -2.639, 0.020, 14.857, 23.885
0.810, 3.520, 8.000, 0.000, -2.643, 0.020, 14.795, 23.852
0.883, 3.680, 8.000, 0.000, -2.646, 0.020, 14.731, 23.816
0.960, 3.840, 8.000, 0.000, -2.650, 0.020, 14.663, 23.780
1.040, 4.000, 8.000, 0.000, -2.654, 0.020, 14.592, 23.742
1.123, 4.160, 8.000, 0.000, -2.659, 0.020, 14.519, 23.704
1.210, 4.320, 8.000, 0.000, -2.663, 0.020, 14.442, 23.664
1.299, 4.480, 8.000, 0.000, -2.668, 0.020, 14.362, 23.623
1.392, 4.640, 8.000, 0.000, -2.673, 0.020, 14.280, 23.581
1.488, 4.800, 8.000, 0.000, -2.677, 0.020, 14.194, 23.537
1.587, 4.960, 8.000, 0.000, -2.682, 0.020, 14.105, 23.493
1.690, 5.120, 8.000, 0.000, -2.686, 0.020, 14.013, 23.448
1.795, 5.280, 8.000, 0.000, -2.690, 0.020, 13.918, 23.402
1.904, 5.440, 8.000, 0.000, -2.694, 0.020, 13.821, 23.354
2.016, 5.600, 8.000, 0.000, -2.697, 0.020, 13.719, 23.306
2.131, 5.760, 8.000, 0.000, -2.700, 0.020, 13.615, 23.257
2.250, 5.920, 8.000, 0.000, -2.702, 0.020, 13.508, 23.206
2.371, 6.080, 8.000, 0.000, -2.703, 0.020, 13.398, 23.154
2.496, 6.240, 8.000, 0.000, -2.703, 0.020, 13.285, 23.101
2.624, 6.400, 8.000, 0.000, -2.702, 0.020, 13.169, 23.047
2.755, 6.560, 8.000, 0.000, -2.700, 0.020, 13.051, 22.991
2.890, 6.720, 8.000, 0.000, -2.696, 0.020, 12.929, 22.933
3.027, 6.880, 8.000, 0.000, -2.691, 0.020, 12.805, 22.874
3.168, 7.040, 8.000, 0.000, -2.685, 0.020, 12.679, 22.812
3.312, 7.200, 8.000, 0.000, -2.676, 0.020, 12.550, 22.748
3.459, 7.360, 8.000, 0.000, -2.665, 0.020, 12.419, 22.681
3.610, 7.520, 8.000, 0.000, -2.651, 0.020, 12.285, 22.611
3.763, 7.680, 8.000, 0.000, -2.635, 0.020, 12.151, 22.538
3.920, 7.840, 8.000, 0.000, -2.615, 0.020, 12.014, 22.460
4.080, 8.000, 8.000, 0.000, -2.592, 0.020, 11.877, 22.378
4.243, 8.160, 8.000, 0.000, -2.566, 0.020, 11.739, 22.291
4.410, 8.320, 8.000, 0.000, -2.535, 0.020, 11.601, 22.199
4.579, 8.480, 8.000, 0.000, -2.500, 0.020, 11.463, 22.100
4.750, 8.548, 0.000, 0.000, -2.460, 0.020, 11.328, 21.995
4.918, 8.388, -8.000, 0.000, -2.418, 0.020, 11.200, 21.886
5.082, 8.228, -8.000, 0.000, -2.373, 0.020, 11.079, 21.775
5.244, 8.068, -8.000, 0.000, -2.326, 0.020, 10.966, 21.660
5.402, 7.908, -8.000, 0.000, -2.278, 0.020, 10.860, 21.542
5.557, 7.748, -8.000, 0.000, -2.229, 0.020, 10.762, 21.422
5.709, 7.588, -8.000, 0.000, -2.180, 0.020, 10.672, 21.300
5.857, 7.428, -8.000, 0.000, -2.131, 0.020, 10.591, 21.176
6.003, 7.268, -8.000, 0.000, -2.084, 0.020, 10.516, 21.051
6.145, 7.108, -8.000, 0.000, -2.038, 0.020, 10.449, 20.925
6.284, 6.948, -8.000, 0.000, -1.995, 0.020, 10.389, 20.800
6.419, 6.788, -8.000, 0.000, -1.954, 0.020, 10.336, 20.675
6.552, 6.628, -8.000, 0.000, -1.916, 0.020, 10.289, 20.551
6.681, 6.468, -8.000, 0.000, -1.881, 0.020, 10.247, 20.429
6.808, 6.308, -8.000, 0.000, -1.848, 0.020, 10.211, 20.308
6.930, 6.148, -8.000, 0.000, -1.819, 0.020, 10.179, 20.189
7.050, 5.988, -8.000, 0.000, -1.791, 0.020, 10.151, 20.073
7.167, 5.828, -8.000, 0.000, -1.766, 0.020, 10.127, 19.959
7.280, 5.668, -8.000, 0.000, -1.744, 0.020, 10.106, 19.847
7.390, 5.508, -8.000, 0.000, -1.723, 0.020, 10.088, 19.739
7.497, 5.348, -8.000, 0.000, -1.705, 0.020, 10.073, 19.633
7.601, 5.188, -8.000, 0.000, -1.688, 0.020, 10.060, 19.530
7.702, 5.028, -8.000, 0.000, -1.673, 0.020, 10.049, 19.430
7.799, 4.868, -8.000, 0.000, -1.660, 0.020, 10.040, 19.333
7.893, 4.708, -8.000, 0.000, -1.647, 0.020, 10.032, 19.239
7.984, 4.548, -8.000, 0.000, -1.637, 0.020, 10.026, 19.149
8.072, 4.388, -8.000, 0.000, -1.627, 0.020, 10.020, 19.061
8.156, 4.228, -8.000, 0.000, -1.619, 0.020, 10.016, 18.977
8.238, 4.068, -8.000, 0.000, -1.611, 0.020, 10.012, 18.895
8.316, 3.908, -8.000, 0.000, -1.605, 0.020, 10.009, 18.817
8.391, 3.748, -8.000, 0.000, -1.599, 0.020, 10.007, 18.742
8.463, 3.588, -8.000, 0.000, -1.594, 0.020, 10.005, 18.670
8.531, 3.428, -8.000, 0.000, -1.589, 0.020, 10.004, 18.602
8.597, 3.268, -8.000, 0.000, -1.586, 0.020, 10.003, 18.537
8.659, 3.108, -8.000, 0.000, -1.583, 0.020, 10.002, 18.474
8.718, 2.948, -8.000, 0.000, -1.580, 0.020, 10.001, 18.415
8.773, 2.788, -8.000, 0.000, -1.578, 0.020, 10.001, 18.360
8.826, 2.628, -8.000, 0.000, -1.576, 0.020, 10.001, 18.307
8.875, 2.468, -8.000, 0.000, -1.574, 0.020, 10.000, 18.258
8.921, 2.308, -8.000, 0.000, -1.573, 0.020, 10.000, 18.212
8.964, 2.148, -8.000, 0.000, -1.572, 0.020, 10.000, 18.169
9.004, 1.988, -8.000, 0.000, -1.572, 0.020, 10.000, 18.129
9.041, 1.828, -8.000, 0.000, -1.571, 0.020, 10.000, 18.092
9.074, 1.668, -8.000, 0.000, -1.571, 0.020, 10.000, 18.059
9.104, 1.508, -8.000, 0.000, -1.571, 0.020, 10.000, 18.029
9.131, 1.348, -8.000, 0.000, -1.571, 0.020, 10.000, 18.002
9.155, 1.188, -8.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.175, 1.028, -8.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.193, 0.868, -8.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.207, 0.708, -8.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.218, 0.548, -8.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.226, 0.388, -8.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.230, 0.000, 0.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.230, 0.000, 0.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.230, 0.000, 0.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.230, 0.000, 0.000, 0.000, -1.571, 0.020, 10.000, 18.000
9.230, 0.000, 0.000, 0.000, -1.571, 0.020, 10.000, 18.000
