position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -5.760, 0.020, 14.955, 25.194
0.003, 0.160, 7.999, 399.927, -5.760, 0.020, 14.952, 25.193
0.010, 0.320, 7.990, -0.434, -5.760, 0.020, 14.947, 25.189
0.019, 0.479, 7.973, -0.861, -5.760, 0.020, 14.938, 25.185
0.032, 0.638, 7.947, -1.273, -5.760, 0.020, 14.927, 25.178
0.048, 0.796, 7.914, -1.663, -5.760, 0.020, 14.913, 25.170
0.067, 0.954, 7.873, -2.024, -5.760, 0.020, 14.897, 25.161
0.089, 1.110, 7.826, -2.347, -5.760, 0.020, 14.878, 25.150
0.114, 1.266, 7.774, -2.627, -5.760, 0.020, 14.856, 25.137
0.143, 1.420, 7.717, -2.855, -5.761, 0.020, 14.831, 25.123
0.174, 1.573, 7.656, -3.025, -5.761, 0.020, 14.804, 25.107
0.209, 1.725, 7.594, -3.130, -5.762, 0.020, 14.774, 25.090
0.246, 1.876, 7.530, -3.165, -5.763, 0.020, 14.741, 25.071
0.287, 2.025, 7.468, -3.122, -5.764, 0.020, 14.706, 25.051
0.330, 2.173, 7.408, -2.999, -5.765, 0.020, 14.669, 25.029
0.377, 2.320, 7.352, -2.790, -5.766, 0.020, 14.628, 25.007
0.426, 2.466, 7.302, -2.494, -5.768, 0.020, 14.585, 24.982
0.478, 2.612, 7.260, -2.109, -5.770, 0.020, 14.540, 24.956
0.533, 2.756, 7.227, -1.635, -5.772, 0.020, 14.492, 24.929
0.591, 2.900, 7.206, -1.074, -5.775, 0.020, 14.441, 24.901
0.652, 3.044, 7.197, -0.430, -5.778, 0.020, 14.388, 24.872
0.716, 3.188, 7.203, 0.293, -5.781, 0.020, 14.332, 24.841
0.783, 3.333, 7.225, 1.087, -5.784, 0.020, 14.274, 24.809
0.852, 3.478, 7.264, 1.945, -5.788, 0.020, 14.212, 24.776
0.925, 3.625, 7.321, 2.857, -5.792, 0.020, 14.149, 24.741
