position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -1.571, 0.020, 8.910, 18.000
0.003, 0.160, 8.000, 399.977, -1.571, 0.020, 8.910, 18.003
0.010, 0.320, 7.997, -0.139, -1.571, 0.020, 8.910, 18.010
0.019, 0.480, 7.991, -0.278, -1.571, 0.020, 8.910, 18.019
0.032, 0.639, 7.983, -0.416, -1.571, 0.020, 8.910, 18.032
0.048, 0.799, 7.972, -0.553, -1.571, 0.020, 8.910, 18.048
0.067, 0.958, 7.958, -0.687, -1.571, 0.020, 8.910, 18.067
0.089, 1.117, 7.942, -0.820, -1.571, 0.020, 8.910, 18.090
0.115, 1.275, 7.923, -0.950, -1.571, 0.020, 8.910, 18.115
0.144, 1.433, 7.901, -1.077, -1.571, 0.020, 8.910, 18.144
0.175, 1.591, 7.877, -1.203, -1.570, 0.020, 8.910, 18.176
0.210, 1.748, 7.851, -1.325, -1.570, 0.020, 8.910, 18.211
0.248, 1.904, 7.822, -1.446, -1.570, 0.020, 8.910, 18.249
0.290, 2.060, 7.790, -1.566, -1.570, 0.020, 8.910, 18.290
0.334, 2.215, 7.757, -1.684, -1.569, 0.020, 8.910, 18.334
0.381, 2.370, 7.721, -1.803, -1.569, 0.020, 8.910, 18.382
0.432, 2.523, 7.682, -1.923, -1.568, 0.020, 8.909, 18.432
0.485, 2.676, 7.641, -2.045, -1.567, 0.020, 8.909, 18.486
0.542, 2.828, 7.598, -2.170, -1.566, 0.020, 8.909, 18.542
0.602, 2.979, 7.552, -2.301, -1.565, 0.020, 8.909, 18.602
0.664, 3.129, 7.503, -2.438, -1.564, 0.020, 8.908, 18.664
0.730, 3.278, 7.451, -2.585, -1.562, 0.020, 8.908, 18.730
0.798, 3.426, 7.396, -2.742, -1.561, 0.020, 8.907, 18.798
0.870, 3.573, 7.338, -2.913, -1.559, 0.020, 8.906, 18.870
0.944, 3.718, 7.276, -3.101, -1.556, 0.020, 8.905, 18.944
1.021, 3.863, 7.210, -3.308, -1.554, 0.020, 8.904, 19.021
1.101, 4.005, 7.139, -3.538, -1.551, 0.020, 8.903, 19.102
1.184, 4.147, 7.063, -3.795, -1.548, 0.020, 8.901, 19.184
1.270, 4.286, 6.982, -4.084, -1.544, 0.020, 8.899, 19.270
1.359, 4.424, 6.894, -4.409, -1.540, 0.020, 8.896, 19.359
1.450, 4.560, 6.798, -4.775, -1.536, 0.020, 8.893, 19.450
1.544, 4.694, 6.694, -5.191, -1.531, 0.020, 8.890, 19.544
1.640, 4.826, 6.581, -5.662, -1.526, 0.020, 8.886, 19.640
1.739, 4.955, 6.457, -6.197, -1.520, 0.020, 8.881, 19.739
