position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 5.768, 0.020, 20.000, 10.000
0.003, -0.160, -8.000, 0.000, 5.768, 0.020, 20.003, 9.998
0.010, -0.320, -8.000, 0.000, 5.768, 0.020, 20.008, 9.995
0.019, -0.480, -8.000, 0.000, 5.768, 0.020, 20.017, 9.991
0.032, -0.640, -8.000, 0.000, 5.768, 0.020, 20.028, 9.984
0.048, -0.800, -8.000, 0.000, 5.768, 0.020, 20.042, 9.976
0.067, -0.960, -8.000, 0.000, 5.767, 0.020, 20.058, 9.967
0.090, -1.120, -8.000, 0.000, 5.766, 0.020, 20.078, 9.956
0.115, -1.280, -8.000, 0.000, 5.764, 0.020, 20.100, 9.943
0.144, -1.440, -8.000, 0.000, 5.762, 0.020, 20.125, 9.929
0.176, -1.600, -8.000, 0.000, 5.759, 0.020, 20.153, 9.913
0.211, -1.760, -8.000, 0.000, 5.756, 0.020, 20.183, 9.895
0.250, -1.920, -8.000, 0.000, 5.751, 0.020, 20.216, 9.876
0.291, -2.080, -8.000, 0.000, 5.745, 0.020, 20.252, 9.855
0.336, -2.240, -8.000, 0.000, 5.738, 0.020, 20.291, 9.831
0.384, -2.400, -8.000, 0.000, 5.730, 0.020, 20.332, 9.806
0.435, -2.560, -8.000, 0.000, 5.721, 0.020, 20.375, 9.779
0.490, -2.720, -8.000, 0.000, 5.711, 0.020, 20.421, 9.750
0.547, -2.880, -8.000, 0.000, 5.700, 0.020, 20.469, 9.719
0.608, -3.040, -8.000, 0.000, 5.687, 0.020, 20.520, 9.685
0.672, -3.200, -8.000, 0.000, 5.674, 0.020, 20.572, 9.649
0.739, -3.360, -8.000, 0.000, 5.660, 0.020, 20.627, 9.610
0.810, -3.520, -8.000, 0.000, 5.645, 0.020, 20.684, 9.568
0.883, -3.680, -8.000, 0.000, 5.630, 0.020, 20.743, 9.524
0.960, -3.840, -8.000, 0.000, 5.615, 0.020, 20.804, 9.477
1.040, -4.000, -8.000, 0.000, 5.601, 0.020, 20.866, 9.427
1.123, -4.160, -8.000, 0.000, 5.587, 0.020, 20.930, 9.374
1.210, -4.320, -8.000, 0.000, 5.573, 0.020, 20.996, 9.318
1.299, -4.480, -8.000, 0.000, 5.561, 0.020, 21.064, 9.259
1.392, -4.640, -8.000, 0.000, 5.551, 0.020, 21.133, 9.198
1.488, -4.800, -8.000, 0.000, 5.543, 0.020, 21.204, 9.133
1.587, -4.960, -8.000, 0.000, 5.537, 0.020, 21.277, 9.066
1.690, -5.120, -8.000, 0.000, 5.533, 0.020, 21.352, 8.996
1.795, -5.280, -8.000, 0.000, 5.533, 0.020, 21.429, 8.924
1.904, -5.440, -8.000, 0.000, 5.537, 0.020, 21.509, 8.850
2.016, -5.600, -8.000, 0.000, 5.545, 0.020, 21.592, 8.774
2.131, -5.760, -8.000, 0.000, 5.558, 0.020, 21.677, 8.697
2.250, -5.920, -8.000, 0.000, 5.576, 0.020, 21.767, 8.620
2.371, -6.080, -8.000, 0.000, 5.602, 0.020, 21.860, 8.542
2.496, -6.240, -8.000, 0.000, 5.635, 0.020, 21.958, 8.465
2.624, -6.400, -8.000, 0.000, 5.677, 0.020, 22.062, 8.390
2.753, -6.459, 0.000, 0.000, 5.728, 0.020, 22.170, 8.319
2.879, -6.299, 8.000, 0.000, 5.786, 0.020, 22.279, 8.255
3.002, -6.139, 8.000, 0.000, 5.851, 0.020, 22.388, 8.200
3.122, -5.979, 8.000, 0.000, 5.921, 0.020, 22.499, 8.154
3.238, -5.819, 8.000, 0.000, 5.995, 0.020, 22.609, 8.117
3.351, -5.659, 8.000, 0.000, 6.069, 0.020, 22.718, 8.089
3.461, -5.499, 8.000, 0.000, 6.143, 0.020, 22.827, 8.069
3.568, -5.339, 8.000, 0.000, 6.213, 0.020, 22.933, 8.058
3.671, -5.179, 8.000, 0.000, 6.278, 0.020, 23.036, 8.054
3.772, -5.019, 8.000, 0.000, 0.055, 0.020, 23.137, 8.057
3.869, -4.859, 8.000, 0.000, 0.109, 0.020, 23.233, 8.065
3.963, -4.699, 8.000, 0.000, 0.156, 0.020, 23.327, 8.077
4.054, -4.539, 8.000, 0.000, 0.198, 0.020, 23.416, 8.093
4.141, -4.379, 8.000, 0.000, 0.235, 0.020, 23.501, 8.112
4.226, -4.219, 8.000, 0.000, 0.267, 0.020, 23.583, 8.133
4.307, -4.059, 8.000, 0.000, 0.295, 0.020, 23.661, 8.156
4.385, -3.899, 8.000, 0.000, 0.319, 0.020, 23.735, 8.179
4.460, -3.739, 8.000, 0.000, 0.340, 0.020, 23.806, 8.203
4.531, -3.579, 8.000, 0.000, 0.357, 0.020, 23.873, 8.228
4.600, -3.419, 8.000, 0.000, 0.372, 0.020, 23.937, 8.252
4.665, -3.259, 8.000, 0.000, 0.385, 0.020, 23.998, 8.276
4.727, -3.099, 8.000, 0.000, 0.396, 0.020, 24.055, 8.300
4.785, -2.939, 8.000, 0.000, 0.405, 0.020, 24.109, 8.323
4.841, -2.779, 8.000, 0.000, 0.413, 0.020, 24.160, 8.345
4.893, -2.619, 8.000, 0.000, 0.419, 0.020, 24.208, 8.366
4.943, -2.459, 8.000, 0.000, 0.424, 0.020, 24.253, 8.386
4.989, -2.299, 8.000, 0.000, 0.427, 0.020, 24.295, 8.405
5.031, -2.139, 8.000, 0.000, 0.430, 0.020, 24.334, 8.423
5.071, -1.979, 8.000, 0.000, 0.433, 0.020, 24.370, 8.439
5.107, -1.819, 8.000, 0.000, 0.434, 0.020, 24.403, 8.455
5.140, -1.659, 8.000, 0.000, 0.435, 0.020, 24.433, 8.469
5.170, -1.499, 8.000, 0.000, 0.436, 0.020, 24.460, 8.481
5.197, -1.339, 8.000, 0.000, 0.436, 0.020, 24.484, 8.493
5.221, -1.179, 8.000, 0.000, 3.578, 0.020, 24.494, 8.497
5.241, -1.019, 8.000, 0.000, 3.578, 0.020, 24.476, 8.489
5.258, -0.859, 8.000, 0.000, 3.578, 0.020, 24.460, 8.481
5.272, -0.699, 8.000, 0.000, 3.578, 0.020, 24.448, 8.476
5.283, -0.539, 8.000, 0.000, 3.578, 0.020, 24.438, 8.471
5.291, -0.379, 8.000, 0.000, 3.578, 0.020, 24.431, 8.468
5.295, 0.000, 0.000, 0.000, 3.578, 0.020, 24.427, 8.466
5.295, 0.000, 0.000, 0.000, 3.578, 0.020, 24.427, 8.466
5.295, 0.000, 0.000, 0.000, 3.578, 0.020, 24.427, 8.466
5.295, 0.000, 0.000, 0.000, 3.578, 0.020, 24.427, 8.466
5.295, 0.000, 0.000, 0.000, 3.578, 0.020, 24.427, 8.466
5.295, 0.000, 0.000, 0.000, 3.578, 0.020, 24.427, 8.466
5.298, 0.160, 8.000, 0.000, 3.578, 0.020, 24.424, 8.465
5.305, 0.320, 8.000, 0.000, 3.578, 0.020, 24.418, 8.462
5.314, 0.480, 8.000, 0.000, 3.578, 0.020, 24.410, 8.458
5.327, 0.640, 8.000, 0.000, 3.578, 0.020, 24.398, 8.452
5.343, 0.800, 8.000, 0.000, 3.578, 0.020, 24.383, 8.446
