position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 0.000, 1.090
0.003, 0.160, 8.000, 400.012, 6.283, 0.020, 0.003, 1.090
0.010, 0.320, 8.002, 0.071, 6.283, 0.020, 0.010, 1.090
0.019, 0.480, 8.004, 0.141, 6.283, 0.020, 0.019, 1.090
0.032, 0.640, 8.009, 0.211, 6.283, 0.020, 0.032, 1.090
0.048, 0.801, 8.014, 0.280, 6.283, 0.020, 0.048, 1.090
0.067, 0.961, 8.021, 0.347, 6.283, 0.020, 0.067, 1.090
0.090, 1.122, 8.029, 0.412, 6.283, 0.020, 0.090, 1.090
0.115, 1.282, 8.039, 0.476, 6.283, 0.020, 0.115, 1.090
0.144, 1.443, 8.050, 0.537, 6.283, 0.020, 0.144, 1.090
0.176, 1.605, 8.062, 0.595, 6.283, 0.020, 0.176, 1.090
0.212, 1.766, 8.075, 0.650, 6.283, 0.020, 0.212, 1.090
0.250, 1.928, 8.089, 0.702, 6.283, 0.020, 0.250, 1.090
0.292, 2.090, 8.104, 0.750, 6.282, 0.020, 0.292, 1.090
0.337, 2.252, 8.120, 0.795, 6.282, 0.020, 0.337, 1.090
0.385, 2.415, 8.136, 0.835, 6.282, 0.020, 0.385, 1.090
0.437, 2.578, 8.154, 0.871, 6.282, 0.020, 0.437, 1.090
0.492, 2.742, 8.172, 0.902, 6.281, 0.020, 0.492, 1.090
0.550, 2.905, 8.190, 0.928, 6.281, 0.020, 0.550, 1.090
0.611, 3.070, 8.209, 0.949, 6.280, 0.020, 0.611, 1.090
0.676, 3.234, 8.229, 0.965, 6.280, 0.020, 0.676, 1.089
0.744, 3.399, 8.248, 0.975, 6.279, 0.020, 0.744, 1.089
0.815, 3.564, 8.268, 0.979, 6.278, 0.020, 0.815, 1.089
0.890, 3.730, 8.287, 0.978, 6.277, 0.020, 0.890, 1.088
0.968, 3.896, 8.307, 0.970, 6.276, 0.020, 0.968, 1.088
1.049, 4.063, 8.326, 0.956, 6.275, 0.020, 1.049, 1.087
1.134, 4.230, 8.344, 0.936, 6.274, 0.020, 1.134, 1.086
1.221, 4.397, 8.363, 0.909, 6.272, 0.020, 1.221, 1.086
1.313, 4.565, 8.380, 0.875, 6.271, 0.020, 1.313, 1.085
1.407, 4.733, 8.397, 0.835, 6.269, 0.020, 1.407, 1.083
