position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 2.627, 0.020, 19.463, 9.051
-0.003, -0.160, -8.009, -400.450, 2.627, 0.020, 20.540, 10.947
-0.010, -0.321, -8.063, -2.689, 2.627, 0.020, 20.545, 10.944
-0.019, -0.485, -8.169, -5.307, 2.627, 0.020, 20.554, 10.939
-0.032, -0.651, -8.325, -7.787, 2.626, 0.020, 20.565, 10.933
-0.049, -0.822, -8.526, -10.056, 2.626, 0.020, 20.579, 10.925
-0.069, -0.997, -8.767, -12.043, 2.625, 0.020, 20.597, 10.915
-0.092, -1.178, -9.040, -13.677, 2.624, 0.020, 20.617, 10.903
-0.120, -1.365, -9.338, -14.888, 2.623, 0.020, 20.641, 10.890
-0.151, -1.558, -9.650, -15.609, 2.621, 0.020, 20.668, 10.874
-0.186, -1.757, -9.966, -15.775, 2.618, 0.020, 20.698, 10.857
-0.225, -1.962, -10.272, -15.331, 2.614, 0.020, 20.732, 10.837
-0.269, -2.174, -10.557, -14.231, 2.609, 0.020, 20.770, 10.815
-0.316, -2.390, -10.806, -12.444, 2.604, 0.020, 20.811, 10.791
-0.369, -2.610, -11.005, -9.955, 2.597, 0.020, 20.856, 10.764
-0.425, -2.833, -11.140, -6.774, 2.589, 0.020, 20.904, 10.734
-0.486, -3.057, -11.199, -2.937, 2.580, 0.020, 20.956, 10.702
-0.552, -3.280, -11.169, 1.486, 2.570, 0.020, 21.011, 10.667
-0.622, -3.501, -11.042, 6.389, 2.558, 0.020, 21.070, 10.629
-0.696, -3.717, -10.809, 11.630, 2.546, 0.020, 21.132, 10.587
-0.775, -3.926, -10.468, 17.036, 2.532, 0.020, 21.196, 10.543
-0.857, -4.127, -10.020, 22.407, 2.518, 0.020, 21.264, 10.495
-0.944, -4.316, -9.469, 27.541, 2.504, 0.020, 21.333, 10.444
-1.034, -4.493, -8.824, 32.248, 2.489, 0.020, 21.405, 10.390
-1.127, -4.655, -8.097, 36.378, 2.474, 0.020, 21.479, 10.333
-1.223, -4.801, -7.300, 39.845, 2.459, 0.020, 21.554, 10.273
-1.321, -4.930, -6.447, 42.645, 2.445, 0.020, 21.630, 10.210
-1.422, -5.041, -5.550, 44.866, 2.432, 0.020, 21.707, 10.145
-1.525, -5.133, -4.616, 46.694, 2.420, 0.020, 21.784, 10.078
-1.629, -5.206, -3.648, 48.399, 2.409, 0.020, 21.862, 10.008
-1.734, -5.259, -2.641, 50.327, 2.401, 0.020, 21.940, 9.938
-1.840, -5.290, -1.584, 52.878, 2.395, 0.020, 22.018, 9.866
-1.946, -5.299, -0.454, 56.498, 2.392, 0.020, 22.095, 9.794
-2.051, -5.284, 0.779, 61.657, 2.392, 0.020, 22.173, 9.722
-2.156, -5.241, 2.156, 68.835, 2.395, 0.020, 22.249, 9.651
-2.260, -5.166, 3.726, 78.486, 2.403, 0.020, 22.325, 9.581
-2.361, -5.055, 5.545, 90.955, 2.416, 0.020, 22.401, 9.513
-2.459, -4.902, 7.671, 106.298, 2.435, 0.020, 22.475, 9.449
-2.553, -4.699, 10.149, 123.912, 2.460, 0.020, 22.547, 9.389
-2.642, -4.439, 12.986, 141.828, 2.493, 0.020, 22.617, 9.334
-2.724, -4.117, 16.096, 155.490, 2.535, 0.020, 22.683, 9.285
-2.797, -3.679, 21.902, 290.342, 2.586, 0.020, 22.745, 9.245
-2.955, -2.151, 22.165, -189.684, 2.780, 0.020, 22.884, 9.174
-2.991, -1.812, 16.975, -259.500, 2.853, 0.020, 22.919, 9.162
-3.023, -1.594, 10.876, -304.932, 2.928, 0.020, 22.950, 9.154
-3.053, -1.501, 4.675, -310.057, 3.001, 0.020, 22.979, 9.149
-3.083, -1.516, -0.770, -272.271, 3.071, 0.020, 23.009, 9.145
-3.115, -1.613, -4.847, -203.865, 3.137, 0.020, 23.042, 9.144
-3.151, -1.760, -7.342, -124.750, -3.087, 0.020, 23.077, 9.145
-3.189, -1.928, -8.395, -52.614, -3.033, 0.020, 23.115, 9.148
-3.231, -2.095, -8.341, 2.706, -2.985, 0.020, 23.157, 9.154
-3.276, -2.246, -7.557, 39.165, -2.943, 0.020, 23.201, 9.162
-3.323, -2.373, -6.368, 59.476, -2.906, 0.020, 23.247, 9.172
-3.373, -2.473, -5.007, 68.035, -2.874, 0.020, 23.295, 9.184
-3.424, -2.546, -3.626, 69.033, -2.847, 0.020, 23.344, 9.199
-3.476, -2.592, -2.312, 65.708, -2.823, 0.020, 23.394, 9.214
-3.528, -2.614, -1.107, 60.268, -2.802, 0.020, 23.443, 9.231
-3.580, -2.615, -0.025, 54.089, -2.784, 0.020, 23.492, 9.249
-3.632, -2.596, 0.934, 47.958, -2.769, 0.020, 23.541, 9.268
-3.683, -2.560, 1.780, 42.282, -2.756, 0.020, 23.588, 9.287
-3.733, -2.510, 2.524, 37.239, -2.746, 0.020, 23.635, 9.306
-3.782, -2.446, 3.182, 32.870, -2.737, 0.020, 23.680, 9.325
-3.830, -2.371, 3.765, 29.151, -2.729, 0.020, 23.723, 9.344
-3.876, -2.285, 4.285, 26.016, -2.723, 0.020, 23.765, 9.362
-3.919, -2.190, 4.753, 23.390, -2.718, 0.020, 23.805, 9.380
-3.961, -2.087, 5.177, 21.190, -2.714, 0.020, 23.843, 9.397
-4.001, -1.975, 5.564, 19.339, -2.711, 0.020, 23.879, 9.414
-4.038, -1.857, 5.919, 17.761, -2.709, 0.020, 23.913, 9.429
-4.072, -1.732, 6.247, 16.389, -2.707, 0.020, 23.944, 9.444
-4.104, -1.601, 6.550, 15.159, -2.706, 0.020, 23.973, 9.457
-4.134, -1.464, 6.830, 14.016, -2.706, 0.020, 24.000, 9.470
-4.160, -1.323, 7.088, 12.912, -2.705, 0.020, 24.024, 9.481
-6.361, -1.019, 5400.109, 539252.144, 0.436, 0.020, 24.937, 7.501
-6.378, -0.860, 7.983, -269606.310, 0.436, 0.020, 24.921, 7.493
-6.392, -0.700, 7.993, 0.520, 0.436, 0.020, 24.908, 7.487
-6.403, -0.540, 8.002, 0.421, 0.436, 0.020, 24.899, 7.483
-6.411, -0.379, 8.008, 0.323, 0.436, 0.020, 24.892, 7.480
-8.484, 0.000, 18.904, 545.641, 0.436, 0.020, 23.966, 9.454
-8.484, 0.000, 0.000, -945.224, 0.436, 0.020, 23.966, 9.454
-8.484, 0.000, 0.000, 0.000, 0.436, 0.020, 23.966, 9.454
-8.484, 0.000, 0.000, 0.000, 0.436, 0.020, 23.966, 9.454
-8.484, 0.000, 0.000, 0.000, 0.436, 0.020, 23.966, 9.454
-8.484, 0.000, 0.000, 0.000, 0.436, 0.020, 23.966, 9.454
-8.481, 0.160, 7.984, 399.178, 0.436, 0.020, 23.963, 9.453
-8.474, 0.319, 7.982, -0.095, 0.436, 0.020, 23.958, 9.450
-8.465, 0.479, 7.978, -0.190, 0.436, 0.020, 23.949, 9.446
-8.452, 0.638, 7.972, -0.284, 0.436, 0.020, 23.937, 9.441
-8.436, 0.798, 7.965, -0.377, 0.436, 0.020, 23.923, 9.434
-8.417, 0.957, 7.955, -0.469, 0.436, 0.020, 23.906, 9.426
-8.395, 1.116, 7.944, -0.559, 0.436, 0.020, 23.885, 9.416
-8.369, 1.274, 7.931, -0.648, 0.436, 0.020, 23.862, 9.406
-8.340, 1.433, 7.916, -0.734, 0.436, 0.020, 23.836, 9.393
-8.309, 1.591, 7.900, -0.818, 0.436, 0.020, 23.807, 9.380
-8.274, 1.748, 7.882, -0.900, 0.435, 0.020, 23.776, 9.365
-8.236, 1.905, 7.863, -0.978, 0.435, 0.020, 23.741, 9.349
-8.194, 2.062, 7.841, -1.054, 0.435, 0.020, 23.704, 9.332
-8.150, 2.219, 7.819, -1.127, 0.434, 0.020, 23.664, 9.313
-8.102, 2.375, 7.795, -1.196, 0.434, 0.020, 23.620, 9.293
-8.052, 2.530, 7.770, -1.263, 0.433, 0.020, 23.575, 9.272
-7.998, 2.685, 7.743, -1.326, 0.433, 0.020, 23.526, 9.249
-7.941, 2.839, 7.715, -1.386, 0.432, 0.020, 23.474, 9.226
-7.882, 2.993, 7.687, -1.442, 0.431, 0.020, 23.420, 9.201
-7.819, 3.146, 7.657, -1.496, 0.430, 0.020, 23.363, 9.174
-7.753, 3.298, 7.626, -1.546, 0.429, 0.020, 23.303, 9.147
-7.684, 3.450, 7.594, -1.592, 0.428, 0.020, 23.240, 9.118
-7.612, 3.602, 7.561, -1.636, 0.426, 0.020, 23.174, 9.088
-7.537, 3.752, 7.528, -1.676, 0.425, 0.020, 23.106, 9.057
-7.459, 3.902, 7.493, -1.713, 0.423, 0.020, 23.035, 9.025
