position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.02000, 0.00000, 12.00000, false
0.00320, 0.16000, 8.00000, 0.00000, -0.00000, 0.02000, 0.00320, 12.00000, false
0.00960, 0.32000, 8.00000, 0.00000, -0.00000, 0.02000, 0.00960, 12.00000, false
0.01920, 0.48000, 8.00000, 0.00000, -0.00001, 0.02000, 0.01920, 12.00000, false
0.03200, 0.64000, 8.00000, 0.00000, -0.00003, 0.02000, 0.03200, 12.00000, false
0.04800, 0.80000, 8.00000, 0.00000, -0.00006, 0.02000, 0.04800, 12.00000, false
0.06720, 0.96000, 8.00000, 0.00000, -0.00011, 0.02000, 0.06720, 12.00000, false
0.08960, 1.12000, 8.00000, 0.00000, -0.00020, 0.02000, 0.08960, 11.99999, false
0.11520, 1.28000, 8.00000, 0.00000, -0.00034, 0.02000, 0.11520, 11.99999, false
0.14400, 1.44000, 8.00000, 0.00000, -0.00052, 0.02000, 0.14400, 11.99997, false
0.17600, 1.60000, 8.00000, 0.00000, -0.00078, 0.02000, 0.17600, 11.99995, false
0.21120, 1.76000, 8.00000, 0.00000, -0.00112, 0.02000, 0.21120, 11.99992, false
0.24960, 1.92000, 8.00000, 0.00000, -0.00155, 0.02000, 0.24960, 11.99987, false
0.29120, 2.08000, 8.00000, 0.00000, -0.00211, 0.02000, 0.29120, 11.99979, false
0.33600, 2.24000, 8.00000, 0.00000, -0.00279, 0.02000, 0.33600, 11.99968, false
0.38400, 2.40000, 8.00000, 0.00000, -0.00363, 0.02000, 0.38400, 11.99953, false
0.43520, 2.56000, 8.00000, 0.00000, -0.00464, 0.02000, 0.43520, 11.99932, false
0.48960, 2.72000, 8.00000, 0.00000, -0.00585, 0.02000, 0.48960, 11.99903, false
0.54720, 2.88000, 8.00000, 0.00000, -0.00727, 0.02000, 0.54720, 11.99866, false
0.60800, 3.04000, 8.00000, 0.00000, -0.00893, 0.02000, 0.60800, 11.99817, false
0.67200, 3.20000, 8.00000, 0.00000, -0.01084, 0.02000, 0.67199, 11.99753, false
0.73920, 3.36000, 8.00000, 0.00000, -0.01305, 0.02000, 0.73919, 11.99673, false
0.80960, 3.52000, 8.00000, 0.00000, -0.01556, 0.02000, 0.80958, 11.99573, false
0.88320, 3.68000, 8.00000, 0.00000, -0.01841, 0.02000, 0.88317, 11.99448, false
0.96000, 3.84000, 8.00000, 0.00000, -0.02162, 0.02000, 0.95995, 11.99294, false
1.04000, 4.00000, 8.00000, 0.00000, -0.02522, 0.02000, 1.03993, 11.99107, false
1.12320, 4.16000, 8.00000, 0.00000, -0.02923, 0.02000, 1.12310, 11.98881, false
1.20960, 4.32000, 8.00000, 0.00000, -0.03369, 0.02000, 1.20946, 11.98609, false
1.29920, 4.48000, 8.00000, 0.00000, -0.03862, 0.02000, 1.29900, 11.98286, false
1.39200, 4.64000, 8.00000, 0.00000, -0.04404, 0.02000, 1.39172, 11.97902, false
1.48800, 4.80000, 8.00000, 0.00000, -0.05000, 0.02000, 1.48761, 11.97451, false
1.58720, 4.96000, 8.00000, 0.00000, -0.05651, 0.02000, 1.58667, 11.96924, false
1.68960, 5.12000, 8.00000, 0.00000, -0.06361, 0.02000, 1.68889, 11.96309, false
1.79520, 5.28000, 8.00000, 0.00000, -0.07132, 0.02000, 1.79425, 11.95598, false
1.90400, 5.44000, 8.00000, 0.00000, -0.07968, 0.02000, 1.90274, 11.94777, false
2.01600, 5.60000, 8.00000, 0.00000, -0.08870, 0.02000, 2.01434, 11.93836, false
2.13120, 5.76000, 8.00000, 0.00000, -0.09843, 0.02000, 2.12904, 11.92760, false
2.24960, 5.92000, 8.00000, 0.00000, -0.10887, 0.02000, 2.24680, 11.91536, false
2.36960, 6.00000, 0.00000, 0.00000, -0.11991, 0.02000, 2.36602, 11.90166, false
2.48960, 6.00000, 0.00000, 0.00000, -0.13140, 0.02000, 2.48507, 11.88663, false
2.60960, 6.00000, 0.00000, 0.00000, -0.14331, 0.02000, 2.60394, 11.87020, false
2.72960, 6.00000, 0.00000, 0.00000, -0.15563, 0.02000, 2.72260, 11.85234, false
2.84960, 6.00000, 0.00000, 0.00000, -0.16835, 0.02000, 2.84103, 11.83299, false
