position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.02000, 0.00000, 13.09020, false
0.00320, 0.16001, 8.00071, 400.03571, -0.00000, 0.02000, 0.00320, 13.09020, false
0.00960, 0.32011, 8.00500, 0.21405, -0.00000, 0.02000, 0.00960, 13.09020, false
0.01921, 0.48038, 8.01354, 0.42701, -0.00001, 0.02000, 0.01921, 13.09020, false
0.03203, 0.64091, 8.02629, 0.63781, -0.00003, 0.02000, 0.03203, 13.09020, false
0.04806, 0.80177, 8.04320, 0.84544, -0.00006, 0.02000, 0.04806, 13.09020, false
0.06733, 0.96306, 8.06418, 1.04893, -0.00011, 0.02000, 0.06733, 13.09020, false
0.08982, 1.12484, 8.08913, 1.24740, -0.00020, 0.02000, 0.08982, 13.09019, false
0.11557, 1.28720, 8.11793, 1.44008, -0.00034, 0.02000, 0.11557, 13.09019, false
0.14457, 1.45021, 8.15046, 1.62631, -0.00052, 0.02000, 0.14457, 13.09017, false
0.17685, 1.61394, 8.18657, 1.80556, -0.00078, 0.02000, 0.17685, 13.09015, false
0.21242, 1.77846, 8.22611, 1.97739, -0.00112, 0.02000, 0.21242, 13.09012, false
0.25129, 1.94384, 8.26895, 2.14155, -0.00155, 0.02000, 0.25129, 13.09007, false
0.29350, 2.11014, 8.31490, 2.29788, -0.00211, 0.02000, 0.29350, 13.08999, false
0.33905, 2.27742, 8.36383, 2.44637, -0.00279, 0.02000, 0.33905, 13.08988, false
0.38796, 2.44573, 8.41557, 2.58710, -0.00363, 0.02000, 0.38796, 13.08972, false
0.44026, 2.61513, 8.46998, 2.72028, -0.00464, 0.02000, 0.44026, 13.08951, false
0.49598, 2.78566, 8.52690, 2.84619, -0.00585, 0.02000, 0.49597, 13.08922, false
0.55512, 2.95739, 8.58620, 2.96517, -0.00727, 0.02000, 0.55512, 13.08883, false
0.61773, 3.13034, 8.64776, 3.07761, -0.00893, 0.02000, 0.61773, 13.08832, false
0.68382, 3.30457, 8.71143, 3.18386, -0.01084, 0.02000, 0.68381, 13.08767, false
0.75342, 3.48012, 8.77712, 3.28431, -0.01305, 0.02000, 0.75341, 13.08684, false
0.82657, 3.65701, 8.84470, 3.37920, -0.01556, 0.02000, 0.82654, 13.08579, false
0.90327, 3.83529, 8.91408, 3.46873, -0.01841, 0.02000, 0.90324, 13.08449, false
0.98357, 4.01499, 8.98514, 3.55286, -0.02162, 0.02000, 0.98352, 13.08289, false
1.06749, 4.19615, 9.05776, 3.63141, -0.02522, 0.02000, 1.06742, 13.08092, false
1.15507, 4.37879, 9.13184, 3.70383, -0.02923, 0.02000, 1.15497, 13.07854, false
1.24633, 4.56293, 9.20723, 3.76930, -0.03369, 0.02000, 1.24618, 13.07567, false
1.34130, 4.74861, 9.28376, 3.82658, -0.03862, 0.02000, 1.34109, 13.07224, false
1.44002, 4.93583, 9.36124, 3.87386, -0.04404, 0.02000, 1.43972, 13.06817, false
1.54251, 5.12462, 9.43941, 3.90884, -0.05000, 0.02000, 1.54210, 13.06335, false
1.64881, 5.31498, 9.51798, 3.92854, -0.05651, 0.02000, 1.64825, 13.05770, false
1.75895, 5.50691, 9.59657, 3.92916, -0.06361, 0.02000, 1.75819, 13.05109, false
1.87295, 5.70040, 9.67469, 3.90620, -0.07132, 0.02000, 1.87194, 13.04341, false
1.99086, 5.89544, 9.75177, 3.85414, -0.07968, 0.02000, 1.98951, 13.03452, false
2.11270, 6.09198, 9.82710, 3.76651, -0.08870, 0.02000, 2.11092, 13.02427, false
2.23850, 6.28998, 9.89982, 3.63589, -0.09843, 0.02000, 2.23617, 13.01253, false
2.36829, 6.48936, 9.96890, 3.45383, -0.10887, 0.02000, 2.36526, 12.99910, false
2.50033, 6.60183, 5.62369, -217.26026, -0.11991, 0.02000, 2.49644, 12.98403, false
2.63285, 6.62598, 1.20771, -220.79934, -0.13140, 0.02000, 2.62791, 12.96743, false
2.76583, 6.64928, 1.16478, -2.14642, -0.14331, 0.02000, 2.75964, 12.94923, false
2.89926, 6.67165, 1.11841, -2.31818, -0.15563, 0.02000, 2.89159, 12.92936, false
3.03312, 6.69301, 1.06835, -2.50328, -0.16835, 0.02000, 3.02370, 12.90777, false
3.16739, 6.71330, 1.01437, -2.69902, -0.18143, 0.02000, 3.15592, 12.88442, false
3.30204, 6.73243, 0.95632, -2.90226, -0.19487, 0.02000, 3.28819, 12.85923, false
3.43705, 6.75031, 0.89413, -3.10950, -0.20864, 0.02000, 3.42046, 12.83218, false
3.57238, 6.76687, 0.82779, -3.31704, -0.22271, 0.02000, 3.55266, 12.80322, false
3.70802, 6.78201, 0.75738, -3.52077, -0.23705, 0.02000, 3.68473, 12.77232, false
3.84394, 6.79567, 0.68304, -3.71663, -0.25165, 0.02000, 3.81661, 12.73944, false
3.98009, 6.80778, 0.60504, -3.90033, -0.26647, 0.02000, 3.94822, 12.70456, false
4.11646, 6.81825, 0.52368, -4.06776, -0.28148, 0.02000, 4.07950, 12.66767, false
4.25300, 6.82704, 0.43939, -4.21486, -0.29666, 0.02000, 4.21038, 12.62875, false
4.38968, 6.83409, 0.35263, -4.33798, -0.31196, 0.02000, 4.34078, 12.58779, false
4.52647, 6.83937, 0.26395, -4.43383, -0.32736, 0.02000, 4.47064, 12.54481, false
4.66332, 6.84285, 0.17396, -4.49965, -0.34282, 0.02000, 4.59988, 12.49980, false
4.80021, 6.84451, 0.08329, -4.53338, -0.35832, 0.02000, 4.72845, 12.45279, false
4.93710, 6.84437, -0.00738, -4.53363, -0.37381, 0.02000, 4.85627, 12.40379, false
5.07395, 6.84242, -0.09738, -4.49976, -0.38926, 0.02000, 4.98327, 12.35284, false
5.21072, 6.83870, -0.18602, -4.43197, -0.40465, 0.02000, 5.10941, 12.29996, false
5.34739, 6.83324, -0.27264, -4.33117, -0.41994, 0.02000, 5.23462, 12.24519, false
5.48391, 6.82611, -0.35662, -4.19906, -0.43510, 0.02000, 5.35886, 12.18859, false
5.62026, 6.81736, -0.43738, -4.03796, -0.45009, 0.02000, 5.48207, 12.13019, false
5.75640, 6.80708, -0.51440, -3.85077, -0.46490, 0.02000, 5.60421, 12.07006, false
5.89231, 6.79533, -0.58721, -3.64082, -0.47949, 0.02000, 5.72524, 12.00824, false
6.02795, 6.78222, -0.65545, -3.41178, -0.49384, 0.02000, 5.84514, 11.94480, false
6.16331, 6.76785, -0.71880, -3.16751, -0.50793, 0.02000, 5.96386, 11.87980, false
6.29835, 6.75231, -0.77704, -2.91193, -0.52173, 0.02000, 6.08140, 11.81330, false
6.43307, 6.73571, -0.83002, -2.64893, -0.53523, 0.02000, 6.19774, 11.74537, false
6.56743, 6.71815, -0.87766, -2.38221, -0.54840, 0.02000, 6.31285, 11.67608, false
6.70143, 6.69975, -0.91997, -2.11524, -0.56124, 0.02000, 6.42675, 11.60549, false
6.83504, 6.68061, -0.95699, -1.85119, -0.57373, 0.02000, 6.53942, 11.53367, false
6.96826, 6.66084, -0.98885, -1.59282, -0.58585, 0.02000, 6.65086, 11.46068, false
7.10107, 6.64052, -1.01570, -1.34254, -0.59760, 0.02000, 6.76109, 11.38660, false
7.23346, 6.61977, -1.03774, -1.10231, -0.60897, 0.02000, 6.87011, 11.31148, false
7.36543, 6.59866, -1.05522, -0.87366, -0.61996, 0.02000, 6.97794, 11.23539, false
7.49698, 6.57730, -1.06837, -0.65780, -0.63055, 0.02000, 7.08460, 11.15839, false
7.62810, 6.55575, -1.07748, -0.45546, -0.64074, 0.02000, 7.19010, 11.08055, false
7.75878, 6.53409, -1.08282, -0.26714, -0.65054, 0.02000, 7.29448, 11.00191, false
7.88903, 6.51240, -1.08468, -0.09293, -0.65994, 0.02000, 7.39775, 10.92254, false
8.01884, 6.49073, -1.08334, 0.06726, -0.66895, 0.02000, 7.49994, 10.84249, false
8.14822, 6.46915, -1.07906, 0.21381, -0.67755, 0.02000, 7.60109, 10.76181, false
8.27718, 6.44771, -1.07212, 0.34722, -0.68577, 0.02000, 7.70122, 10.68056, false
8.40571, 6.42645, -1.06275, 0.46820, -0.69359, 0.02000, 7.80038, 10.59877, false
8.53381, 6.40543, -1.05120, 0.57753, -0.70103, 0.02000, 7.89858, 10.51650, false
8.66151, 6.38467, -1.03768, 0.67608, -0.70809, 0.02000, 7.99587, 10.43379, false
8.78879, 6.36423, -1.02239, 0.76477, -0.71477, 0.02000, 8.09227, 10.35069, false
8.91567, 6.34412, -1.00549, 0.84459, -0.72108, 0.02000, 8.18783, 10.26722, false
9.04216, 6.32437, -0.98716, 0.91647, -0.72703, 0.02000, 8.28259, 10.18343, false
9.16826, 6.30502, -0.96754, 0.98139, -0.73263, 0.02000, 8.37657, 10.09935, false
9.29398, 6.28609, -0.94673, 1.04029, -0.73788, 0.02000, 8.46981, 10.01501, false
9.41934, 6.26759, -0.92485, 1.09407, -0.74279, 0.02000, 8.56234, 9.93046, false
9.54433, 6.24955, -0.90198, 1.14362, -0.74736, 0.02000, 8.65421, 9.84571, false
9.66897, 6.23199, -0.87818, 1.18976, -0.75162, 0.02000, 8.74545, 9.76079, false
9.79327, 6.21492, -0.85352, 1.23325, -0.75556, 0.02000, 8.83609, 9.67574, false
9.91723, 6.19836, -0.82802, 1.27487, -0.75920, 0.02000, 8.92617, 9.59057, false
10.04088, 6.18232, -0.80171, 1.31523, -0.76255, 0.02000, 9.01572, 9.50530, false
10.16422, 6.16683, -0.77461, 1.35502, -0.76561, 0.02000, 9.10477, 9.41997, false
10.28725, 6.15190, -0.74672, 1.39476, -0.76839, 0.02000, 9.19335, 9.33458, false
10.41000, 6.13753, -0.71802, 1.43499, -0.77092, 0.02000, 9.28150, 9.24916, false
10.53248, 6.12376, -0.68850, 1.47616, -0.77319, 0.02000, 9.36925, 9.16372, false
10.65469, 6.11060, -0.65812, 1.51870, -0.77522, 0.02000, 9.45663, 9.07827, false
10.77340, 5.93561, -8.74975, -404.58149, -0.77697, 0.02000, 9.54135, 8.99511, false
10.88865, 5.76216, -8.67247, 3.86398, -0.77848, 0.02000, 9.62346, 8.91425, false
11.00045, 5.59015, -8.60045, 3.60109, -0.77976, 0.02000, 9.70301, 8.83569, false
11.10884, 5.41948, -8.53354, 3.34556, -0.78086, 0.02000, 9.78004, 8.75944, false
11.21384, 5.25005, -8.47159, 3.09767, -0.78177, 0.02000, 9.85459, 8.68549, false
11.31548, 5.08176, -8.41443, 2.85766, -0.78254, 0.02000, 9.92669, 8.61386, false
11.41377, 4.91452, -8.36192, 2.62578, -0.78317, 0.02000, 9.99637, 8.54453, false
11.50873, 4.74824, -8.31387, 2.40228, -0.78369, 0.02000, 10.06365, 8.47751, false
11.60039, 4.58284, -8.27012, 2.18741, -0.78411, 0.02000, 10.12856, 8.41280, false
11.68875, 4.41823, -8.23049, 1.98144, -0.78444, 0.02000, 10.19111, 8.35039, false
11.77384, 4.25433, -8.19480, 1.78463, -0.78471, 0.02000, 10.25132, 8.29027, false
11.85566, 4.09108, -8.16286, 1.59726, -0.78491, 0.02000, 10.30921, 8.23245, false
11.93423, 3.92839, -8.13447, 1.41956, -0.78506, 0.02000, 10.36479, 8.17691, false
12.00955, 3.76620, -8.10943, 1.25179, -0.78518, 0.02000, 10.41807, 8.12367, false
12.08164, 3.60445, -8.08755, 1.09415, -0.78526, 0.02000, 10.46905, 8.07270, false
12.15050, 3.44308, -8.06861, 0.94681, -0.78532, 0.02000, 10.51775, 8.02401, false
12.21614, 3.28203, -8.05241, 0.80990, -0.78535, 0.02000, 10.56417, 7.97760, false
12.27857, 3.12125, -8.03874, 0.68352, -0.78538, 0.02000, 10.60831, 7.93346, false
12.33778, 2.96070, -8.02739, 0.56769, -0.78539, 0.02000, 10.65018, 7.89159, false
12.39379, 2.80034, -8.01814, 0.46238, -0.78540, 0.02000, 10.68979, 7.85199, false
12.44659, 2.64013, -8.01079, 0.36751, -0.78540, 0.02000, 10.72712, 7.81465, false
12.49619, 2.48002, -8.00513, 0.28294, -0.78540, 0.02000, 10.76220, 7.77958, false
12.50848, 0.61466, -93.26799, -4263.14307, -0.78540, 0.02000, 10.77089, 7.77089, false
12.50848, 0.00000, -30.73318, 3126.74077, -0.78540, 0.02000, 10.77089, 7.77089, false
