position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.02000, 0.00000, 10.90980, false
0.00320, 0.15999, 7.99929, 399.96429, -0.00000, 0.02000, 0.00320, 10.90980, false
0.00960, 0.31989, 7.99500, -0.21405, -0.00000, 0.02000, 0.00960, 10.90980, false
0.01919, 0.47962, 7.98646, -0.42701, -0.00001, 0.02000, 0.01919, 10.90980, false
0.03197, 0.63909, 7.97371, -0.63782, -0.00003, 0.02000, 0.03197, 10.90980, false
0.04794, 0.79823, 7.95680, -0.84544, -0.00006, 0.02000, 0.04794, 10.90980, false
0.06707, 0.95694, 7.93582, -1.04893, -0.00011, 0.02000, 0.06707, 10.90980, false
0.08938, 1.11516, 7.91087, -1.24740, -0.00020, 0.02000, 0.08938, 10.90979, false
0.11483, 1.27280, 7.88207, -1.44008, -0.00034, 0.02000, 0.11483, 10.90979, false
0.14343, 1.42979, 7.84954, -1.62632, -0.00052, 0.02000, 0.14343, 10.90977, false
0.17515, 1.58606, 7.81343, -1.80556, -0.00078, 0.02000, 0.17515, 10.90975, false
0.20998, 1.74154, 7.77389, -1.97740, -0.00112, 0.02000, 0.20998, 10.90972, false
0.24791, 1.89616, 7.73105, -2.14156, -0.00155, 0.02000, 0.24790, 10.90967, false
0.28890, 2.04986, 7.68510, -2.29790, -0.00211, 0.02000, 0.28890, 10.90960, false
0.33295, 2.20258, 7.63617, -2.44640, -0.00279, 0.02000, 0.33295, 10.90949, false
0.38004, 2.35427, 7.58443, -2.58715, -0.00363, 0.02000, 0.38004, 10.90934, false
0.43014, 2.50487, 7.53002, -2.72034, -0.00464, 0.02000, 0.43014, 10.90913, false
0.48322, 2.65433, 7.47309, -2.84628, -0.00585, 0.02000, 0.48322, 10.90885, false
0.53928, 2.80261, 7.41379, -2.96529, -0.00727, 0.02000, 0.53927, 10.90849, false
0.59827, 2.94966, 7.35223, -3.07774, -0.00893, 0.02000, 0.59826, 10.90801, false
0.66018, 3.09543, 7.28855, -3.18406, -0.01084, 0.02000, 0.66017, 10.90740, false
0.72498, 3.23988, 7.22286, -3.28453, -0.01305, 0.02000, 0.72496, 10.90663, false
