position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 17.354
0.003, -0.160, -8.000, 0.000, 0.000, 0.020, 5.503, 17.354
0.010, -0.320, -8.000, 0.000, 0.000, 0.020, 5.510, 17.354
0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 17.354
0.032, -0.640, -8.000, 0.000, 0.000, 0.020, 5.532, 17.354
0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 17.354
0.067, -0.960, -8.000, 0.000, 0.000, 0.020, 5.567, 17.354
0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 17.354
0.115, -1.280, -8.000, 0.000, 0.000, 0.020, 5.615, 17.354
0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 17.354
0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 17.354
0.211, -1.760, -8.000, 0.000, 0.000, 0.020, 5.711, 17.354
0.250, -1.920, -8.000, 0.000, 0.000, 0.020, 5.750, 17.354
0.291, -2.080, -8.000, 0.000, 0.000, 0.020, 5.791, 17.354
0.336, -2.240, -8.000, 0.000, 0.000, 0.020, 5.836, 17.354
0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 17.354
0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 17.354
0.490, -2.720, -8.000, 0.000, 0.000, 0.020, 5.990, 17.354
0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 17.354
0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 17.354
0.672, -3.200, -8.000, 0.000, 0.000, 0.020, 6.172, 17.354
0.739, -3.360, -8.000, 0.000, 0.000, 0.020, 6.239, 17.354
0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 17.354
0.883, -3.680, -8.000, 0.000, 0.000, 0.020, 6.383, 17.354
0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 17.354
1.040, -4.000, 0.000, 0.000, 0.000, 0.020, 6.540, 17.354
1.120, -4.000, 0.000, 0.000, 0.000, 0.020, 6.620, 17.354
1.200, -4.000, 0.000, 0.000, 0.000, 0.020, 6.700, 17.354
1.280, -4.000, 0.000, 0.000, 0.000, 0.020, 6.780, 17.354
1.360, -4.000, 0.000, 0.000, 0.000, 0.020, 6.860, 17.354
1.440, -4.000, 0.000, 0.000, 0.000, 0.020, 6.940, 17.354
1.520, -4.000, 0.000, 0.000, 0.000, 0.020, 7.020, 17.354
1.600, -4.000, 0.000, 0.000, 0.000, 0.020, 7.100, 17.354
1.680, -4.000, 0.000, 0.000, 0.000, 0.020, 7.180, 17.354
1.760, -4.000, 0.000, 0.000, 0.000, 0.020, 7.260, 17.354
1.840, -4.000, 0.000, 0.000, 0.000, 0.020, 7.340, 17.354
1.920, -4.000, 0.000, 0.000, 0.000, 0.020, 7.420, 17.354
2.000, -4.000, 0.000, 0.000, 0.000, 0.020, 7.500, 17.354
2.080, -4.000, 0.000, 0.000, 0.000, 0.020, 7.580, 17.354
2.160, -4.000, 0.000, 0.000, 0.000, 0.020, 7.660, 17.354
2.240, -4.000, 0.000, 0.000, 0.000, 0.020, 7.740, 17.354
2.320, -4.000, 0.000, 0.000, 0.000, 0.020, 7.820, 17.354
2.400, -4.000, 0.000, 0.000, 0.000, 0.020, 7.900, 17.354
2.480, -4.000, 0.000, 0.000, 0.000, 0.020, 7.980, 17.354
2.560, -4.000, 0.000, 0.000, 0.000, 0.020, 8.060, 17.354
2.640, -4.000, 0.000, 0.000, 0.000, 0.020, 8.140, 17.354
2.720, -4.000, 0.000, 0.000, 0.000, 0.020, 8.220, 17.354
2.800, -4.000, 0.000, 0.000, 0.000, 0.020, 8.300, 17.354
2.880, -4.000, 0.000, 0.000, 0.000, 0.020, 8.380, 17.354
2.960, -4.000, 0.000, 0.000, 0.000, 0.020, 8.460, 17.354
3.040, -4.000, 0.000, 0.000, 0.000, 0.020, 8.540, 17.354
3.120, -4.000, 0.000, 0.000, 0.000, 0.020, 8.620, 17.354
3.200, -4.000, 0.000, 0.000, 0.000, 0.020, 8.700, 17.354
3.280, -4.000, 0.000, 0.000, 0.000, 0.020, 8.780, 17.354
3.360, -4.000, 0.000, 0.000, 0.000, 0.020, 8.860, 17.354
3.440, -4.000, 0.000, 0.000, 0.000, 0.020, 8.940, 17.354
3.520, -4.000, 0.000, 0.000, 0.000, 0.020, 9.020, 17.354
3.600, -4.000, 0.000, 0.000, 0.000, 0.020, 9.100, 17.354
3.680, -4.000, 0.000, 0.000, 0.000, 0.020, 9.180, 17.354
3.760, -4.000, 0.000, 0.000, 0.000, 0.020, 9.260, 17.354
3.840, -4.000, 0.000, 0.000, 0.000, 0.020, 9.340, 17.354
