position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 18.444
-0.003, -0.160, -8.000, -400.000, 0.000, 0.020, 5.503, 16.264
-0.010, -0.320, -8.000, -0.000, 0.000, 0.020, 5.510, 16.264
-0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 16.264
-0.032, -0.640, -8.000, -0.000, 0.000, 0.020, 5.532, 16.264
-0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 16.264
-0.067, -0.960, -8.000, -0.000, 0.000, 0.020, 5.567, 16.264
-0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 16.264
-0.115, -1.280, -8.000, -0.000, 0.000, 0.020, 5.615, 16.264
-0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 16.264
-0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 16.264
-0.211, -1.760, -8.000, -0.000, 0.000, 0.020, 5.711, 16.264
-0.250, -1.920, -8.000, -0.000, 0.000, 0.020, 5.750, 16.264
-0.291, -2.080, -8.000, -0.000, 0.000, 0.020, 5.791, 16.264
-0.336, -2.240, -8.000, -0.000, 0.000, 0.020, 5.836, 16.264
-0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 16.264
-0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 16.264
-0.490, -2.720, -8.000, -0.000, 0.000, 0.020, 5.990, 16.264
-0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 16.264
-0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 16.264
-0.672, -3.200, -8.000, -0.000, 0.000, 0.020, 6.172, 16.264
-0.739, -3.360, -8.000, -0.000, 0.000, 0.020, 6.239, 16.264
-0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 16.264
-0.883, -3.680, -8.000, -0.000, 0.000, 0.020, 6.383, 16.264
-0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 16.264
-1.040, -4.000, -8.000, 0.000, 0.000, 0.020, 6.540, 16.264
-1.120, -4.000, 0.000, 400.000, 0.000, 0.020, 6.620, 16.264
-1.200, -4.000, 0.000, 0.000, 0.000, 0.020, 6.700, 16.264
-1.280, -4.000, 0.000, 0.000, 0.000, 0.020, 6.780, 16.264
-1.360, -4.000, 0.000, 0.000, 0.000, 0.020, 6.860, 16.264
-1.440, -4.000, 0.000, 0.000, 0.000, 0.020, 6.940, 16.264
-1.520, -4.000, 0.000, 0.000, 0.000, 0.020, 7.020, 16.264
-1.600, -4.000, 0.000, 0.000, 0.000, 0.020, 7.100, 16.264
-1.680, -4.000, -0.000, -0.000, 0.000, 0.020, 7.180, 16.264
-1.760, -4.000, 0.000, 0.000, 0.000, 0.020, 7.260, 16.264
-1.840, -4.000, 0.000, 0.000, 0.000, 0.020, 7.340, 16.264
-1.920, -4.000, 0.000, 0.000, 0.000, 0.020, 7.420, 16.264
-2.000, -4.000, 0.000, 0.000, 0.000, 0.020, 7.500, 16.264
-2.080, -4.000, 0.000, 0.000, 0.000, 0.020, 7.580, 16.264
-2.160, -4.000, 0.000, 0.000, 0.000, 0.020, 7.660, 16.264
-2.240, -4.000, 0.000, 0.000, 0.000, 0.020, 7.740, 16.264
-2.320, -4.000, -0.000, -0.000, 0.000, 0.020, 7.820, 16.264
-2.400, -4.000, -0.000, 0.000, 0.000, 0.020, 7.900, 16.264
-2.480, -4.000, 0.000, 0.000, 0.000, 0.020, 7.980, 16.264
-2.560, -4.000, 0.000, 0.000, 0.000, 0.020, 8.060, 16.264
-2.640, -4.000, 0.000, 0.000, 0.000, 0.020, 8.140, 16.264
-2.720, -4.000, 0.000, 0.000, 0.000, 0.020, 8.220, 16.264
-2.800, -4.000, 0.000, 0.000, 0.000, 0.020, 8.300, 16.264
-2.880, -4.000, 0.000, 0.000, 0.000, 0.020, 8.380, 16.264
-2.960, -4.000, 0.000, 0.000, 0.000, 0.020, 8.460, 16.264
-3.040, -4.000, 0.000, 0.000, 0.000, 0.020, 8.540, 16.264
-3.120, -4.000, 0.000, 0.000, 0.000, 0.020, 8.620, 16.264
-3.200, -4.000, 0.000, 0.000, 0.000, 0.020, 8.700, 16.264
-3.280, -4.000, 0.000, 0.000, 0.000, 0.020, 8.780, 16.264
-3.360, -4.000, 0.000, 0.000, 0.000, 0.020, 8.860, 16.264
-3.440, -4.000, -0.000, -0.000, 0.000, 0.020, 8.940, 16.264
-3.520, -4.000, 0.000, 0.000, 0.000, 0.020, 9.020, 16.264
-3.600, -4.000, 0.000, 0.000, 0.000, 0.020, 9.100, 16.264
-3.680, -4.000, 0.000, 0.000, 0.000, 0.020, 9.180, 16.264
-3.760, -4.000, 0.000, 0.000, 0.000, 0.020, 9.260, 16.264
-3.840, -4.000, 0.000, 0.000, 0.000, 0.020, 9.340, 16.264
-3.920, -4.000, 0.000, 0.000, 0.000, 0.020, 9.420, 16.264
-4.000, -4.000, 0.000, 0.000, 0.000, 0.020, 9.500, 16.264
-4.080, -4.000, 0.000, 0.000, 0.000, 0.020, 9.580, 16.264
-4.160, -4.000, 0.000, 0.000, 0.000, 0.020, 9.660, 16.264
-4.240, -4.000, 0.000, 0.000, 0.000, 0.020, 9.740, 16.264
-4.320, -4.000, 0.000, 0.000, 0.000, 0.020, 9.820, 16.264
-4.400, -4.000, 0.000, 0.000, 0.000, 0.020, 9.900, 16.264
-4.480, -4.000, -200.000, -20000.000, 0.000, 0.020, 9.980, 16.264
-4.560, -4.007, -0.325, 9983.735, 0.000, 0.020, 10.060, 16.264
-4.641, -4.029, -1.104, -38.952, 0.001, 0.020, 10.141, 16.264
-4.722, -4.051, -1.110, -0.302, 0.002, 0.020, 10.222, 16.264
-4.803, -4.072, -1.082, 1.432, 0.003, 0.020, 10.303, 16.264
-4.885, -4.094, -1.055, 1.349, 0.005, 0.020, 10.385, 16.265
-4.967, -4.114, -1.029, 1.275, 0.007, 0.020, 10.467, 16.265
-5.050, -4.134, -1.005, 1.208, 0.009, 0.020, 10.550, 16.266
-5.133, -4.154, -0.982, 1.149, 0.012, 0.020, 10.633, 16.267
-5.217, -4.173, -0.960, 1.098, 0.015, 0.020, 10.717, 16.268
