position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 9.646
0.003, -0.160, -8.000, 0.000, 0.000, 0.020, 5.503, 9.646
0.010, -0.320, -8.000, 0.000, 0.000, 0.020, 5.510, 9.646
0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 9.646
0.032, -0.640, -8.000, 0.000, 0.000, 0.020, 5.532, 9.646
0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 9.646
0.067, -0.960, -8.000, 0.000, 0.000, 0.020, 5.567, 9.646
0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 9.646
0.115, -1.280, -8.000, 0.000, 0.000, 0.020, 5.615, 9.646
0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 9.646
0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 9.646
0.211, -1.760, -8.000, 0.000, 0.000, 0.020, 5.711, 9.646
0.250, -1.920, -8.000, 0.000, 0.000, 0.020, 5.750, 9.646
0.291, -2.080, -8.000, 0.000, 0.000, 0.020, 5.791, 9.646
0.336, -2.240, -8.000, 0.000, 0.000, 0.020, 5.836, 9.646
0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 9.646
0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 9.646
0.490, -2.720, -8.000, 0.000, 0.000, 0.020, 5.990, 9.646
0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 9.646
0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 9.646
0.672, -3.200, -8.000, 0.000, 0.000, 0.020, 6.172, 9.646
0.739, -3.360, -8.000, 0.000, 0.000, 0.020, 6.239, 9.646
0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 9.646
0.883, -3.680, -8.000, 0.000, 0.000, 0.020, 6.383, 9.646
0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 9.646
1.040, -4.000, 0.000, 0.000, 0.000, 0.020, 6.540, 9.646
1.120, -4.000, 0.000, 0.000, 0.000, 0.020, 6.620, 9.646
1.200, -4.000, 0.000, 0.000, 0.000, 0.020, 6.700, 9.646
1.280, -4.000, 0.000, 0.000, 0.000, 0.020, 6.780, 9.646
1.360, -4.000, 0.000, 0.000, 0.000, 0.020, 6.860, 9.646
1.440, -4.000, 0.000, 0.000, 0.000, 0.020, 6.940, 9.646
1.520, -4.000, 0.000, 0.000, 0.000, 0.020, 7.020, 9.646
1.600, -4.000, 0.000, 0.000, 0.000, 0.020, 7.100, 9.646
1.680, -4.000, 0.000, 0.000, 0.000, 0.020, 7.180, 9.646
1.760, -4.000, 0.000, 0.000, 0.000, 0.020, 7.260, 9.646
1.840, -4.000, 0.000, 0.000, 0.000, 0.020, 7.340, 9.646
1.920, -4.000, 0.000, 0.000, 0.000, 0.020, 7.420, 9.646
2.000, -4.000, 0.000, 0.000, 0.000, 0.020, 7.500, 9.646
2.080, -4.000, 0.000, 0.000, 0.000, 0.020, 7.580, 9.646
2.160, -4.000, 0.000, 0.000, 0.000, 0.020, 7.660, 9.646
2.240, -4.000, 0.000, 0.000, 0.000, 0.020, 7.740, 9.646
2.320, -4.000, 0.000, 0.000, 0.000, 0.020, 7.820, 9.646
2.400, -4.000, 0.000, 0.000, 0.000, 0.020, 7.900, 9.646
2.480, -4.000, 0.000, 0.000, 0.000, 0.020, 7.980, 9.646
2.560, -4.000, 0.000, 0.000, 0.000, 0.020, 8.060, 9.646
2.640, -4.000, 0.000, 0.000, 0.000, 0.020, 8.140, 9.646
2.720, -4.000, 0.000, 0.000, 0.000, 0.020, 8.220, 9.646
2.800, -4.000, 0.000, 0.000, 0.000, 0.020, 8.300, 9.646
2.880, -4.000, 0.000, 0.000, 0.000, 0.020, 8.380, 9.646
2.960, -4.000, 0.000, 0.000, 0.000, 0.020, 8.460, 9.646
3.040, -4.000, 0.000, 0.000, 0.000, 0.020, 8.540, 9.646
3.120, -4.000, 0.000, 0.000, 0.000, 0.020, 8.620, 9.646
3.200, -4.000, 0.000, 0.000, 0.000, 0.020, 8.700, 9.646
3.280, -4.000, 0.000, 0.000, 0.000, 0.020, 8.780, 9.646
3.360, -4.000, 0.000, 0.000, 0.000, 0.020, 8.860, 9.646
3.440, -4.000, 0.000, 0.000, 0.000, 0.020, 8.940, 9.646
3.520, -4.000, 0.000, 0.000, 0.000, 0.020, 9.020, 9.646
3.600, -4.000, 0.000, 0.000, 0.000, 0.020, 9.100, 9.646
3.680, -4.000, 0.000, 0.000, 0.000, 0.020, 9.180, 9.646
3.760, -4.000, 0.000, 0.000, 0.000, 0.020, 9.260, 9.646
3.840, -4.000, 0.000, 0.000, 0.000, 0.020, 9.340, 9.646
3.920, -4.000, 0.000, 0.000, 0.000, 0.020, 9.420, 9.646
4.000, -4.000, 0.000, 0.000, 0.000, 0.020, 9.500, 9.646
4.080, -4.000, 0.000, 0.000, 0.000, 0.020, 9.580, 9.646
4.160, -4.000, 0.000, 0.000, 0.000, 0.020, 9.660, 9.646
4.240, -4.000, 0.000, 0.000, 0.000, 0.020, 9.740, 9.646
4.320, -4.000, 0.000, 0.000, 0.000, 0.020, 9.820, 9.646
4.400, -4.000, 0.000, 0.000, 0.000, 0.020, 9.900, 9.646
4.400, -4.000, 0.000, 0.000, 0.000, 0.020, 9.900, 9.646
4.480, -4.000, 0.000, 0.000, 0.000, 0.020, 9.980, 9.646
4.560, -4.000, 0.000, 0.000, 6.283, 0.020, 10.060, 9.646
4.640, -4.000, 0.000, 0.000, 6.283, 0.020, 10.140, 9.646
4.720, -4.000, 0.000, 0.000, 6.282, 0.020, 10.220, 9.646
4.800, -4.000, 0.000, 0.000, 6.280, 0.020, 10.300, 9.646
4.880, -4.000, 0.000, 0.000, 6.279, 0.020, 10.380, 9.645
4.960, -4.000, 0.000, 0.000, 6.276, 0.020, 10.460, 9.645
