position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 10.736
-0.003, -0.160, -8.000, -400.000, 0.000, 0.020, 5.503, 8.556
-0.010, -0.320, -8.000, -0.000, 0.000, 0.020, 5.510, 8.556
-0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 8.556
-0.032, -0.640, -8.000, -0.000, 0.000, 0.020, 5.532, 8.556
-0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 8.556
-0.067, -0.960, -8.000, -0.000, 0.000, 0.020, 5.567, 8.556
-0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 8.556
-0.115, -1.280, -8.000, -0.000, 0.000, 0.020, 5.615, 8.556
-0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 8.556
-0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 8.556
-0.211, -1.760, -8.000, -0.000, 0.000, 0.020, 5.711, 8.556
-0.250, -1.920, -8.000, -0.000, 0.000, 0.020, 5.750, 8.556
-0.291, -2.080, -8.000, -0.000, 0.000, 0.020, 5.791, 8.556
-0.336, -2.240, -8.000, -0.000, 0.000, 0.020, 5.836, 8.556
-0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 8.556
-0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 8.556
-0.490, -2.720, -8.000, -0.000, 0.000, 0.020, 5.990, 8.556
-0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 8.556
-0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 8.556
-0.672, -3.200, -8.000, -0.000, 0.000, 0.020, 6.172, 8.556
-0.739, -3.360, -8.000, -0.000, 0.000, 0.020, 6.239, 8.556
-0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 8.556
-0.883, -3.680, -8.000, -0.000, 0.000, 0.020, 6.383, 8.556
-0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 8.556
-1.040, -4.000, -8.000, 0.000, 0.000, 0.020, 6.540, 8.556
-1.120, -4.000, 0.000, 400.000, 0.000, 0.020, 6.620, 8.556
-1.200, -4.000, 0.000, 0.000, 0.000, 0.020, 6.700, 8.556
-1.280, -4.000, 0.000, 0.000, 0.000, 0.020, 6.780, 8.556
-1.360, -4.000, 0.000, 0.000, 0.000, 0.020, 6.860, 8.556
-1.440, -4.000, 0.000, 0.000, 0.000, 0.020, 6.940, 8.556
-1.520, -4.000, 0.000, 0.000, 0.000, 0.020, 7.020, 8.556
-1.600, -4.000, 0.000, 0.000, 0.000, 0.020, 7.100, 8.556
-1.680, -4.000, -0.000, -0.000, 0.000, 0.020, 7.180, 8.556
-1.760, -4.000, 0.000, 0.000, 0.000, 0.020, 7.260, 8.556
-1.840, -4.000, 0.000, 0.000, 0.000, 0.020, 7.340, 8.556
-1.920, -4.000, 0.000, 0.000, 0.000, 0.020, 7.420, 8.556
-2.000, -4.000, 0.000, 0.000, 0.000, 0.020, 7.500, 8.556
-2.080, -4.000, 0.000, 0.000, 0.000, 0.020, 7.580, 8.556
-2.160, -4.000, 0.000, 0.000, 0.000, 0.020, 7.660, 8.556
-2.240, -4.000, 0.000, 0.000, 0.000, 0.020, 7.740, 8.556
-2.320, -4.000, -0.000, -0.000, 0.000, 0.020, 7.820, 8.556
-2.400, -4.000, -0.000, 0.000, 0.000, 0.020, 7.900, 8.556
-2.480, -4.000, 0.000, 0.000, 0.000, 0.020, 7.980, 8.556
-2.560, -4.000, 0.000, 0.000, 0.000, 0.020, 8.060, 8.556
-2.640, -4.000, 0.000, 0.000, 0.000, 0.020, 8.140, 8.556
-2.720, -4.000, 0.000, 0.000, 0.000, 0.020, 8.220, 8.556
-2.800, -4.000, 0.000, 0.000, 0.000, 0.020, 8.300, 8.556
-2.880, -4.000, 0.000, 0.000, 0.000, 0.020, 8.380, 8.556
-2.960, -4.000, 0.000, 0.000, 0.000, 0.020, 8.460, 8.556
-3.040, -4.000, 0.000, 0.000, 0.000, 0.020, 8.540, 8.556
-3.120, -4.000, 0.000, 0.000, 0.000, 0.020, 8.620, 8.556
-3.200, -4.000, 0.000, 0.000, 0.000, 0.020, 8.700, 8.556
-3.280, -4.000, 0.000, 0.000, 0.000, 0.020, 8.780, 8.556
-3.360, -4.000, 0.000, 0.000, 0.000, 0.020, 8.860, 8.556
-3.440, -4.000, -0.000, -0.000, 0.000, 0.020, 8.940, 8.556
-3.520, -4.000, 0.000, 0.000, 0.000, 0.020, 9.020, 8.556
-3.600, -4.000, 0.000, 0.000, 0.000, 0.020, 9.100, 8.556
-3.680, -4.000, 0.000, 0.000, 0.000, 0.020, 9.180, 8.556
-3.760, -4.000, 0.000, 0.000, 0.000, 0.020, 9.260, 8.556
-3.840, -4.000, 0.000, 0.000, 0.000, 0.020, 9.340, 8.556
-3.920, -4.000, 0.000, 0.000, 0.000, 0.020, 9.420, 8.556
-4.000, -4.000, 0.000, 0.000, 0.000, 0.020, 9.500, 8.556
-4.080, -4.000, 0.000, 0.000, 0.000, 0.020, 9.580, 8.556
-4.160, -4.000, 0.000, 0.000, 0.000, 0.020, 9.660, 8.556
-4.240, -4.000, 0.000, 0.000, 0.000, 0.020, 9.740, 8.556
-4.320, -4.000, 0.000, 0.000, 0.000, 0.020, 9.820, 8.556
-4.400, -4.000, 0.000, 0.000, 0.000, 0.020, 9.900, 8.556
-4.480, -4.000, -200.000, -20000.000, 0.000, 0.020, 9.980, 8.556
