position,velocity,acceleration,jerk,heading,dt,x,y
0.000, -0.000, 0.000, 0.000, 0.000, 0.020, 5.500, 8.556
-0.003, -0.160, -8.000, -400.000, 0.000, 0.020, 5.503, 10.736
-0.010, -0.320, -8.000, -0.000, 0.000, 0.020, 5.510, 10.736
-0.019, -0.480, -8.000, 0.000, 0.000, 0.020, 5.519, 10.736
-0.032, -0.640, -8.000, -0.000, 0.000, 0.020, 5.532, 10.736
-0.048, -0.800, -8.000, 0.000, 0.000, 0.020, 5.548, 10.736
-0.067, -0.960, -8.000, -0.000, 0.000, 0.020, 5.567, 10.736
-0.090, -1.120, -8.000, 0.000, 0.000, 0.020, 5.590, 10.736
-0.115, -1.280, -8.000, -0.000, 0.000, 0.020, 5.615, 10.736
-0.144, -1.440, -8.000, 0.000, 0.000, 0.020, 5.644, 10.736
-0.176, -1.600, -8.000, 0.000, 0.000, 0.020, 5.676, 10.736
-0.211, -1.760, -8.000, -0.000, 0.000, 0.020, 5.711, 10.736
-0.250, -1.920, -8.000, -0.000, 0.000, 0.020, 5.750, 10.736
-0.291, -2.080, -8.000, -0.000, 0.000, 0.020, 5.791, 10.736
-0.336, -2.240, -8.000, -0.000, 0.000, 0.020, 5.836, 10.736
-0.384, -2.400, -8.000, 0.000, 0.000, 0.020, 5.884, 10.736
-0.435, -2.560, -8.000, 0.000, 0.000, 0.020, 5.935, 10.736
-0.490, -2.720, -8.000, -0.000, 0.000, 0.020, 5.990, 10.736
-0.547, -2.880, -8.000, 0.000, 0.000, 0.020, 6.047, 10.736
-0.608, -3.040, -8.000, 0.000, 0.000, 0.020, 6.108, 10.736
-0.672, -3.200, -8.000, -0.000, 0.000, 0.020, 6.172, 10.736
-0.739, -3.360, -8.000, -0.000, 0.000, 0.020, 6.239, 10.736
-0.810, -3.520, -8.000, 0.000, 0.000, 0.020, 6.310, 10.736
-0.883, -3.680, -8.000, -0.000, 0.000, 0.020, 6.383, 10.736
-0.960, -3.840, -8.000, 0.000, 0.000, 0.020, 6.460, 10.736
-1.040, -4.000, -8.000, 0.000, 0.000, 0.020, 6.540, 10.736
-1.120, -4.000, 0.000, 400.000, 0.000, 0.020, 6.620, 10.736
-1.200, -4.000, 0.000, 0.000, 0.000, 0.020, 6.700, 10.736
-1.280, -4.000, 0.000, 0.000, 0.000, 0.020, 6.780, 10.736
-1.360, -4.000, 0.000, 0.000, 0.000, 0.020, 6.860, 10.736
-1.440, -4.000, 0.000, 0.000, 0.000, 0.020, 6.940, 10.736
-1.520, -4.000, 0.000, 0.000, 0.000, 0.020, 7.020, 10.736
-1.600, -4.000, 0.000, 0.000, 0.000, 0.020, 7.100, 10.736
-1.680, -4.000, -0.000, -0.000, 0.000, 0.020, 7.180, 10.736
-1.760, -4.000, 0.000, 0.000, 0.000, 0.020, 7.260, 10.736
-1.840, -4.000, 0.000, 0.000, 0.000, 0.020, 7.340, 10.736
-1.920, -4.000, 0.000, 0.000, 0.000, 0.020, 7.420, 10.736
-2.000, -4.000, 0.000, 0.000, 0.000, 0.020, 7.500, 10.736
-2.080, -4.000, 0.000, 0.000, 0.000, 0.020, 7.580, 10.736
-2.160, -4.000, 0.000, 0.000, 0.000, 0.020, 7.660, 10.736
-2.240, -4.000, 0.000, 0.000, 0.000, 0.020, 7.740, 10.736
-2.320, -4.000, -0.000, -0.000, 0.000, 0.020, 7.820, 10.736
-2.400, -4.000, -0.000, 0.000, 0.000, 0.020, 7.900, 10.736
-2.480, -4.000, 0.000, 0.000, 0.000, 0.020, 7.980, 10.736
-2.560, -4.000, 0.000, 0.000, 0.000, 0.020, 8.060, 10.736
-2.640, -4.000, 0.000, 0.000, 0.000, 0.020, 8.140, 10.736
-2.720, -4.000, 0.000, 0.000, 0.000, 0.020, 8.220, 10.736
-2.800, -4.000, 0.000, 0.000, 0.000, 0.020, 8.300, 10.736
-2.880, -4.000, 0.000, 0.000, 0.000, 0.020, 8.380, 10.736
-2.960, -4.000, 0.000, 0.000, 0.000, 0.020, 8.460, 10.736
-3.040, -4.000, 0.000, 0.000, 0.000, 0.020, 8.540, 10.736
-3.120, -4.000, 0.000, 0.000, 0.000, 0.020, 8.620, 10.736
-3.200, -4.000, 0.000, 0.000, 0.000, 0.020, 8.700, 10.736
-3.280, -4.000, 0.000, 0.000, 0.000, 0.020, 8.780, 10.736
-3.360, -4.000, 0.000, 0.000, 0.000, 0.020, 8.860, 10.736
-3.440, -4.000, -0.000, -0.000, 0.000, 0.020, 8.940, 10.736
-3.520, -4.000, 0.000, 0.000, 0.000, 0.020, 9.020, 10.736
-3.600, -4.000, 0.000, 0.000, 0.000, 0.020, 9.100, 10.736
-3.680, -4.000, 0.000, 0.000, 0.000, 0.020, 9.180, 10.736
-3.760, -4.000, 0.000, 0.000, 0.000, 0.020, 9.260, 10.736
-3.840, -4.000, 0.000, 0.000, 0.000, 0.020, 9.340, 10.736
-3.920, -4.000, 0.000, 0.000, 0.000, 0.020, 9.420, 10.736
-4.000, -4.000, 0.000, 0.000, 0.000, 0.020, 9.500, 10.736
-4.080, -4.000, 0.000, 0.000, 0.000, 0.020, 9.580, 10.736
-4.160, -4.000, 0.000, 0.000, 0.000, 0.020, 9.660, 10.736
-4.240, -4.000, 0.000, 0.000, 0.000, 0.020, 9.740, 10.736
-4.320, -4.000, 0.000, 0.000, 0.000, 0.020, 9.820, 10.736
-4.400, -4.000, 0.000, 0.000, 0.000, 0.020, 9.900, 10.736
-4.480, -4.000, -200.000, -20000.000, 0.000, 0.020, 9.980, 10.736
-4.560, -4.007, -0.325, 9983.735, 6.283, 0.020, 10.060, 10.736
-4.641, -4.029, -1.104, -38.952, 6.283, 0.020, 10.141, 10.736
-4.722, -4.051, -1.110, -0.302, 6.282, 0.020, 10.222, 10.736
-4.803, -4.072, -1.082, 1.432, 6.280, 0.020, 10.303, 10.736
-4.885, -4.094, -1.055, 1.349, 6.279, 0.020, 10.385, 10.735
-4.967, -4.114, -1.029, 1.275, 6.276, 0.020, 10.467, 10.735
