position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 2.00000, 13.50000, false
0.03000, 0.60000, 12.00000, 0.00000, 0.00007, 0.05000, 2.03000, 13.50000, false
0.09000, 1.20000, 12.00000, 0.00000, 0.00067, 0.05000, 2.09000, 13.50002, false
0.18000, 1.80000, 12.00000, 0.00000, 0.00266, 0.05000, 2.18000, 13.50016, false
0.30000, 2.40000, 12.00000, 0.00000, 0.00734, 0.05000, 2.30000, 13.50074, false
0.45000, 3.00000, 0.00000, 0.00000, 0.01648, 0.05000, 2.44999, 13.50248, false
0.60000, 3.00000, 0.00000, 0.00000, 0.02937, 0.05000, 2.59995, 13.50587, false
0.75000, 3.00000, 0.00000, 0.00000, 0.04625, 0.05000, 2.74984, 13.51149, false
0.90000, 3.00000, 0.00000, 0.00000, 0.06747, 0.05000, 2.89960, 13.51995, false
1.05000, 3.00000, 0.00000, 0.00000, 0.09350, 0.05000, 3.04911, 13.53195, false
1.20000, 3.00000, 0.00000, 0.00000, 0.12495, 0.05000, 3.19822, 13.54823, false
1.35000, 3.00000, 0.00000, 0.00000, 0.16258, 0.05000, 3.34668, 13.56964, false
1.50000, 3.00000, 0.00000, 0.00000, 0.20729, 0.05000, 3.49413, 13.59713, false
1.65000, 3.00000, 0.00000, 0.00000, 0.26009, 0.05000, 3.64006, 13.63175, false
1.80000, 3.00000, 0.00000, 0.00000, 0.32200, 0.05000, 3.78376, 13.67467, false
1.95000, 3.00000, 0.00000, 0.00000, 0.39388, 0.05000, 3.92427, 13.72709, false
2.10000, 3.00000, 0.00000, 0.00000, 0.47614, 0.05000, 4.06031, 13.79017, false
2.25000, 3.00000, 0.00000, 0.00000, 0.56828, 0.05000, 4.19033, 13.86487, false
2.40000, 3.00000, 0.00000, 0.00000, 0.66848, 0.05000, 4.31255, 13.95172, false
2.55000, 3.00000, 0.00000, 0.00000, 0.77348, 0.05000, 4.42520, 14.05067, false
2.70000, 3.00000, 0.00000, 0.00000, 0.87899, 0.05000, 4.52678, 14.16094, false
2.85000, 3.00000, 0.00000, 0.00000, 0.98059, 0.05000, 4.61638, 14.28115, false
3.00000, 3.00000, 0.00000, 0.00000, 1.07473, 0.05000, 4.69378, 14.40958, false
3.15000, 3.00000, 0.00000, 0.00000, 1.15927, 0.05000, 4.75940, 14.54441, false
3.30000, 3.00000, 0.00000, 0.00000, 1.23346, 0.05000, 4.81413, 14.68403, false
3.45000, 3.00000, 0.00000, 0.00000, 1.29752, 0.05000, 4.85910, 14.82711, false
3.60000, 3.00000, 0.00000, 0.00000, 1.35226, 0.05000, 4.89550, 14.97261, false
3.75000, 3.00000, 0.00000, 0.00000, 1.39868, 0.05000, 4.92451, 15.11976, false
3.90000, 3.00000, 0.00000, 0.00000, 1.43781, 0.05000, 4.94722, 15.26802, false
4.05000, 3.00000, 0.00000, 0.00000, 1.47056, 0.05000, 4.96460, 15.41700, false
4.20000, 3.00000, 0.00000, 0.00000, 1.49774, 0.05000, 4.97751, 15.56644, false
4.35000, 3.00000, 0.00000, 0.00000, 1.51999, 0.05000, 4.98674, 15.71616, false
4.50000, 3.00000, 0.00000, 0.00000, 1.53781, 0.05000, 4.99297, 15.86602, false
4.65000, 3.00000, 0.00000, 0.00000, 1.55157, 0.05000, 4.99684, 16.01597, false
4.80000, 3.00000, 0.00000, 0.00000, 1.56154, 0.05000, 4.99893, 16.16596, false
4.95000, 3.00000, 0.00000, 0.00000, 1.56784, 0.05000, 4.99980, 16.31596, false
5.07000, 2.40000, -12.00000, 0.00000, 1.57028, 0.05000, 4.99998, 16.43596, false
5.16000, 1.80000, -12.00000, 0.00000, 1.57068, 0.05000, 5.00000, 16.52596, false
5.25000, 1.80000, 0.00000, 0.00000, 1.57173, 0.05000, 4.99998, 16.61596, false
5.30000, 1.00000, 0.00000, 0.00000, 1.57289, 0.05000, 4.99990, 16.66596, false
5.35000, 1.00000, 0.00000, 0.00000, 1.57445, 0.05000, 4.99976, 16.71596, false
5.40000, 1.00000, 0.00000, 0.00000, 1.57641, 0.05000, 4.99953, 16.76595, false
5.45000, 1.00000, 0.00000, 0.00000, 1.57877, 0.05000, 4.99919, 16.81595, false
5.50000, 1.00000, 0.00000, 0.00000, 1.58154, 0.05000, 4.99873, 16.86595, false
5.55000, 1.00000, 0.00000, 0.00000, 1.58472, 0.05000, 4.99811, 16.91595, false
5.60000, 1.00000, 0.00000, 0.00000, 1.58831, 0.05000, 4.99733, 16.96594, false
5.65000, 1.00000, 0.00000, 0.00000, 1.59232, 0.05000, 4.99635, 17.01593, false
5.70000, 1.00000, 0.00000, 0.00000, 1.59675, 0.05000, 4.99517, 17.06592, false
5.75000, 1.00000, 0.00000, 0.00000, 1.60162, 0.05000, 4.99375, 17.11590, false
