position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 2.00000, 14.61500, false
0.02494, 0.49884, 9.97682, 199.53635, 0.00005, 0.05000, 2.02494, 14.61500, false
0.07448, 0.99078, 9.83874, -2.76150, 0.00047, 0.05000, 2.07448, 14.61501, false
0.14794, 1.46911, 9.56666, -5.44155, 0.00185, 0.05000, 2.14794, 14.61509, false
0.24430, 1.92732, 9.16412, -8.05096, 0.00511, 0.05000, 2.24430, 14.61541, false
0.36223, 2.35860, 8.62560, -10.77025, 0.01145, 0.05000, 2.36223, 14.61636, false
0.49997, 2.75484, 7.92482, -14.01567, 0.02244, 0.05000, 2.49995, 14.61865, false
0.63341, 2.66877, -1.72145, -192.92535, 0.03730, 0.05000, 2.63333, 14.62259, false
0.76223, 2.57628, -1.84978, -2.56670, 0.05630, 0.05000, 2.76201, 14.62856, false
0.88596, 2.47465, -2.03259, -3.65620, 0.07985, 0.05000, 2.88546, 14.63691, false
1.00400, 2.36093, -2.27443, -4.83667, 0.10851, 0.05000, 3.00299, 14.64795, false
1.11560, 2.23194, -2.57973, -6.10619, 0.14294, 0.05000, 3.11371, 14.66186, false
1.21982, 2.08444, -2.94996, -7.40461, 0.18399, 0.05000, 3.21656, 14.67874, false
1.31560, 1.91554, -3.37807, -8.56203, 0.23262, 0.05000, 3.31029, 14.69845, false
1.40178, 1.72359, -3.83890, -9.21660, 0.28984, 0.05000, 3.39357, 14.72059, false
1.47727, 1.50987, -4.27451, -8.71226, 0.35665, 0.05000, 3.46519, 14.74446, false
1.54133, 1.28103, -4.57673, -6.04447, 0.43372, 0.05000, 3.52436, 14.76899, false
1.59393, 1.05209, -4.57875, -0.04030, 0.52106, 0.05000, 3.57114, 14.79305, false
1.63633, 0.84800, -4.08179, 9.93923, 0.61754, 0.05000, 3.60691, 14.81582, false
1.67137, 0.70075, -2.94502, 22.73526, 0.72064, 0.05000, 3.63443, 14.83751, false
1.70336, 0.63977, -1.21967, 34.50702, 0.82646, 0.05000, 3.65732, 14.85985, false
1.73730, 0.67890, 0.78265, 40.04648, 0.93053, 0.05000, 3.67895, 14.88601, false
1.77776, 0.80915, 2.60495, 36.44602, 1.02876, 0.05000, 3.70142, 14.91966, false
1.82793, 1.00346, 3.88627, 25.62635, 1.11828, 0.05000, 3.72524, 14.96381, false
1.88940, 1.22937, 4.51806, 12.63573, 1.19767, 0.05000, 3.74979, 15.02017, false
1.96239, 1.45987, 4.61001, 1.83906, 1.26672, 0.05000, 3.77391, 15.08906, false
2.04628, 1.67778, 4.35822, -5.03580, 1.32600, 0.05000, 3.79653, 15.16984, false
2.14002, 1.87482, 3.94083, -8.34789, 1.37645, 0.05000, 3.81685, 15.26135, false
2.24246, 2.04877, 3.47905, -9.23552, 1.41909, 0.05000, 3.83440, 15.36228, false
2.35250, 2.20080, 3.04055, -8.77003, 1.45493, 0.05000, 3.84900, 15.47135, false
2.46918, 2.33361, 2.65631, -7.68471, 1.48481, 0.05000, 3.86068, 15.58744, false
2.59170, 2.45043, 2.33641, -6.39803, 1.50945, 0.05000, 3.86964, 15.70963, false
2.71943, 2.55447, 2.08069, -5.11446, 1.52943, 0.05000, 3.87614, 15.83719, false
2.85186, 2.64872, 1.88503, -3.91313, 1.54518, 0.05000, 3.88053, 15.96956, false
2.98866, 2.73596, 1.74474, -2.80589, 1.55702, 0.05000, 3.88317, 16.10633, false
3.12960, 2.81877, 1.65626, -1.76964, 1.56514, 0.05000, 3.88450, 16.24726, false
