position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.02000, 2.00000, 12.38500, false
0.00320, 0.16005, 8.00238, 400.11897, 0.00000, 0.02000, 2.00320, 12.38500, false
0.00961, 0.32038, 8.01664, 0.71309, 0.00001, 0.02000, 2.00961, 12.38500, false
0.01923, 0.48128, 8.04509, 1.42252, 0.00003, 0.02000, 2.01923, 12.38500, false
0.03209, 0.64303, 8.08759, 2.12505, 0.00009, 0.02000, 2.03209, 12.38500, false
0.04821, 0.80591, 8.14396, 2.81825, 0.00019, 0.02000, 2.04821, 12.38500, false
0.06762, 0.97019, 8.21398, 3.50093, 0.00037, 0.02000, 2.06762, 12.38501, false
0.09034, 1.13614, 8.29744, 4.17343, 0.00066, 0.02000, 2.09034, 12.38502, false
0.11642, 1.30403, 8.39420, 4.83799, 0.00109, 0.02000, 2.11642, 12.38504, false
0.14590, 1.47411, 8.50418, 5.49896, 0.00171, 0.02000, 2.14590, 12.38508, false
0.17884, 1.64666, 8.62745, 6.16313, 0.00254, 0.02000, 2.17884, 12.38515, false
0.21527, 1.82194, 8.76424, 6.83988, 0.00365, 0.02000, 2.21527, 12.38527, false
0.25528, 2.00024, 8.91507, 7.54147, 0.00509, 0.02000, 2.25528, 12.38544, false
0.29892, 2.18186, 9.08074, 8.28334, 0.00692, 0.02000, 2.29892, 12.38570, false
0.34626, 2.36711, 9.26243, 9.08433, 0.00920, 0.02000, 2.34626, 12.38608, false
0.39739, 2.55634, 9.46177, 9.96729, 0.01201, 0.02000, 2.39738, 12.38662, false
0.45238, 2.74996, 9.68096, 10.95944, 0.01541, 0.02000, 2.45237, 12.38737, false
0.51135, 2.94842, 9.92283, 12.09328, 0.01951, 0.02000, 2.51133, 12.38840, false
0.57440, 3.15224, 10.19098, 13.40746, 0.02439, 0.02000, 2.57436, 12.38978, false
0.64075, 3.31757, 8.26631, -96.23314, 0.03009, 0.02000, 2.64069, 12.39159, false
0.70781, 3.35319, 1.78127, -324.25200, 0.03642, 0.02000, 2.70772, 12.39381, false
0.77561, 3.38994, 1.83767, 2.81991, 0.04342, 0.02000, 2.77546, 12.39652, false
0.84417, 3.42800, 1.90271, 3.25211, 0.05110, 0.02000, 2.84395, 12.39975, false
0.91352, 3.46753, 1.97668, 3.69829, 0.05948, 0.02000, 2.91319, 12.40358, false
0.98370, 3.50873, 2.05988, 4.15994, 0.06861, 0.02000, 2.98322, 12.40807, false
1.05473, 3.55178, 2.15263, 4.63779, 0.07851, 0.02000, 3.05406, 12.41328, false
1.12667, 3.59689, 2.25527, 5.13174, 0.08921, 0.02000, 3.12575, 12.41931, false
1.19956, 3.64425, 2.36808, 5.64044, 0.10077, 0.02000, 3.19831, 12.42621, false
1.27344, 3.69407, 2.49130, 6.16094, 0.11322, 0.02000, 3.27177, 12.43410, false
1.34837, 3.74658, 2.62506, 6.68821, 0.12661, 0.02000, 3.34616, 12.44306, false
1.42441, 3.80196, 2.76935, 7.21459, 0.14100, 0.02000, 3.42152, 12.45320, false
1.50162, 3.86044, 2.92393, 7.72898, 0.15643, 0.02000, 3.49788, 12.46463, false
1.58006, 3.92221, 3.08825, 8.21588, 0.17297, 0.02000, 3.57526, 12.47749, false
1.65981, 3.98743, 3.26134, 8.65451, 0.19069, 0.02000, 3.65370, 12.49190, false
1.74093, 4.05627, 3.44169, 9.01739, 0.20963, 0.02000, 3.73320, 12.50803, false
1.82351, 4.12881, 3.62708, 9.26945, 0.22988, 0.02000, 3.81380, 12.52602, false
1.90761, 4.20510, 3.81440, 9.36635, 0.25150, 0.02000, 3.89547, 12.54606, false
1.99331, 4.28509, 3.99948, 9.25399, 0.27455, 0.02000, 3.97823, 12.56834, false
2.08069, 4.36862, 4.17684, 8.86803, 0.29911, 0.02000, 4.06204, 12.59305, false
2.16980, 4.45541, 4.33953, 8.13426, 0.32521, 0.02000, 4.14684, 12.62041, false
2.26070, 4.54499, 4.47896, 6.97133, 0.35293, 0.02000, 4.23257, 12.65064, false
2.35343, 4.63669, 4.58486, 5.29511, 0.38229, 0.02000, 4.31911, 12.68395, false
2.44802, 4.72960, 4.64538, 3.02608, 0.41332, 0.02000, 4.40632, 12.72059, false
2.54447, 4.82255, 4.64740, 0.10118, 0.44601, 0.02000, 4.49400, 12.76076, false
2.64275, 4.91409, 4.57716, -3.51218, 0.48035, 0.02000, 4.58193, 12.80467, false
2.74280, 5.00251, 4.42120, -7.79809, 0.51627, 0.02000, 4.66982, 12.85248, false
2.84452, 5.08587, 4.16771, -12.67437, 0.55369, 0.02000, 4.75733, 12.90433, false
2.94776, 5.16203, 3.80815, -17.97822, 0.59248, 0.02000, 4.84408, 12.96031, false
3.05234, 5.22881, 3.33895, -23.45991, 0.63247, 0.02000, 4.92965, 13.02042, false
3.15802, 5.28407, 2.76313, -28.79084, 0.67344, 0.02000, 5.01359, 13.08462, false
3.26454, 5.32590, 2.09136, -33.58872, 0.71517, 0.02000, 5.09546, 13.15278, false
3.37159, 5.35274, 1.34215, -37.46049, 0.75738, 0.02000, 5.17478, 13.22467, false
3.47886, 5.36356, 0.54101, -40.05701, 0.79978, 0.02000, 5.25115, 13.30000, false
3.58602, 5.35793, -0.28157, -41.12871, 0.84208, 0.02000, 5.32418, 13.37842, false
3.69274, 5.33607, -1.09295, -40.56911, 0.88399, 0.02000, 5.39356, 13.45951, false
3.79872, 5.29884, -1.86163, -38.43407, 0.92523, 0.02000, 5.45905, 13.54283, false
3.90367, 5.24763, -2.56026, -34.93161, 0.96556, 0.02000, 5.52049, 13.62792, false
4.00736, 5.18427, -3.16797, -30.38509, 1.00474, 0.02000, 5.57780, 13.71433, false
4.10958, 5.11084, -3.67156, -25.17991, 1.04261, 0.02000, 5.63097, 13.80163, false
4.21017, 5.02953, -4.06571, -19.70710, 1.07902, 0.02000, 5.68006, 13.88942, false
4.30902, 4.94249, -4.35202, -14.31588, 1.11387, 0.02000, 5.72521, 13.97736, false
4.40605, 4.85173, -4.53767, -9.28257, 1.14709, 0.02000, 5.76656, 14.06514, false
4.50123, 4.75906, -4.63362, -4.79734, 1.17864, 0.02000, 5.80431, 14.15252, false
4.59455, 4.66600, -4.65296, -0.96671, 1.20853, 0.02000, 5.83867, 14.23928, false
4.68603, 4.57381, -4.60947, 2.17453, 1.23676, 0.02000, 5.86988, 14.32527, false
4.77570, 4.48348, -4.51656, 4.64534, 1.26337, 0.02000, 5.89814, 14.41037, false
4.86361, 4.39575, -4.38654, 6.50110, 1.28841, 0.02000, 5.92368, 14.49449, false
4.94984, 4.31115, -4.23019, 7.81742, 1.31193, 0.02000, 5.94672, 14.57758, false
5.03444, 4.23002, -4.05663, 8.67792, 1.33400, 0.02000, 5.96747, 14.65960, false
5.11749, 4.15255, -3.87332, 9.16556, 1.35467, 0.02000, 5.98611, 14.74053, false
5.19906, 4.07883, -3.68618, 9.35710, 1.37402, 0.02000, 6.00283, 14.82038, false
5.27924, 4.00883, -3.49977, 9.32010, 1.39212, 0.02000, 6.01778, 14.89914, false
5.35809, 3.94248, -3.31753, 9.11198, 1.40903, 0.02000, 6.03114, 14.97686, false
5.43568, 3.87964, -3.14193, 8.78001, 1.42481, 0.02000, 6.04302, 15.05353, false
5.51209, 3.82015, -2.97469, 8.36214, 1.43952, 0.02000, 6.05358, 15.12920, false
5.58736, 3.76381, -2.81693, 7.88805, 1.45322, 0.02000, 6.06291, 15.20390, false
5.66157, 3.71042, -2.66932, 7.38061, 1.46596, 0.02000, 6.07114, 15.27765, false
5.73477, 3.65978, -2.53218, 6.85673, 1.47780, 0.02000, 6.07837, 15.35049, false
5.80700, 3.61167, -2.40561, 6.32889, 1.48877, 0.02000, 6.08468, 15.42244, false
5.87832, 3.56588, -2.28949, 5.80579, 1.49892, 0.02000, 6.09016, 15.49355, false
5.94876, 3.52220, -2.18363, 5.29311, 1.50829, 0.02000, 6.09488, 15.56384, false
6.01837, 3.48045, -2.08774, 4.79449, 1.51690, 0.02000, 6.09893, 15.63333, false
6.08718, 3.44042, -2.00150, 4.31172, 1.52480, 0.02000, 6.10236, 15.70205, false
6.15522, 3.40193, -1.92460, 3.84524, 1.53201, 0.02000, 6.10524, 15.77003, false
6.22251, 3.36479, -1.85671, 3.39463, 1.53856, 0.02000, 6.10762, 15.83728, false
6.28909, 3.32884, -1.79754, 2.95852, 1.54446, 0.02000, 6.10957, 15.90383, false
6.35497, 3.29391, -1.74683, 2.53509, 1.54973, 0.02000, 6.11113, 15.96969, false
6.42016, 3.25982, -1.70439, 2.12201, 1.55439, 0.02000, 6.11235, 16.03487, false
6.48127, 3.05518, -10.23214, -426.38714, 1.55825, 0.02000, 6.11323, 16.09597, false
6.53839, 2.85601, -9.95831, 13.69152, 1.56141, 0.02000, 6.11385, 16.15309, false
6.59162, 2.66180, -9.71054, 12.38813, 1.56395, 0.02000, 6.11429, 16.20632, false
6.64107, 2.47210, -9.48507, 11.27349, 1.56596, 0.02000, 6.11457, 16.25576, false
6.68680, 2.28652, -9.27893, 10.30702, 1.56751, 0.02000, 6.11476, 16.30149, false
6.72889, 2.10472, -9.08985, 9.45441, 1.56867, 0.02000, 6.11487, 16.34359, false
6.76742, 1.92640, -8.91611, 8.68672, 1.56950, 0.02000, 6.11494, 16.38212, false
6.80244, 1.75127, -8.75652, 7.97950, 1.57007, 0.02000, 6.11497, 16.41714, false
6.83402, 1.57906, -8.61028, 7.31228, 1.57041, 0.02000, 6.11499, 16.44872, false
6.86222, 1.40952, -8.47691, 6.66813, 1.57058, 0.02000, 6.11500, 16.47691, false
6.88706, 1.24244, -8.35447, 6.12225, 1.57062, 0.02000, 6.11500, 16.50176, false
6.90872, 1.08256, -7.99388, 18.02949, 1.57067, 0.02000, 6.11500, 16.52341, false
6.90872, 0.00000, -54.12790, -2306.70092, 1.57077, 0.02000, 6.11501, 16.54192, false
6.90872, 0.00000, 0.00000, 2706.39481, 1.57077, 0.02000, 6.11501, 16.54192, false
6.90872, 0.00000, 0.00000, 0.00000, 1.57077, 0.02000, 6.11501, 16.54192, false
6.91194, 0.16129, 8.06443, 403.22130, 1.57079, 0.02000, 6.11501, 16.54515, false
6.91840, 0.32286, 8.07853, 0.70503, 1.57084, 0.02000, 6.11501, 16.55161, false
6.92810, 0.48499, 8.10667, 1.40716, 1.57093, 0.02000, 6.11500, 16.56131, false
6.94106, 0.64797, 8.14875, 2.10388, 1.57107, 0.02000, 6.11500, 16.57427, false
6.95730, 0.81206, 8.20462, 2.79350, 1.57129, 0.02000, 6.11500, 16.59051, false
6.97685, 0.97754, 8.27413, 3.47546, 1.57161, 0.02000, 6.11498, 16.61006, false
6.99729, 1.02182, 2.21406, -303.00353, 1.57200, 0.02000, 6.11496, 16.63049, false
7.01779, 1.02544, 0.18059, -101.67331, 1.57245, 0.02000, 6.11493, 16.65100, false
7.03838, 1.02904, 0.18015, -0.02206, 1.57297, 0.02000, 6.11489, 16.67158, false
7.05903, 1.03263, 0.17982, -0.01667, 1.57356, 0.02000, 6.11484, 16.69224, false
7.07975, 1.03623, 0.17959, -0.01134, 1.57421, 0.02000, 6.11478, 16.71296, false
7.10055, 1.03982, 0.17947, -0.00608, 1.57492, 0.02000, 6.11470, 16.73376, false
7.12142, 1.04340, 0.17945, -0.00088, 1.57570, 0.02000, 6.11461, 16.75463, false
7.14236, 1.04700, 0.17953, 0.00426, 1.57655, 0.02000, 6.11450, 16.77556, false
7.16337, 1.05059, 0.17972, 0.00937, 1.57745, 0.02000, 6.11436, 16.79658, false
7.18445, 1.05419, 0.18001, 0.01442, 1.57842, 0.02000, 6.11421, 16.81766, false
7.20561, 1.05780, 0.18040, 0.01946, 1.57946, 0.02000, 6.11404, 16.83881, false
7.22684, 1.06142, 0.18089, 0.02445, 1.58056, 0.02000, 6.11385, 16.86004, false
7.24814, 1.06505, 0.18148, 0.02943, 1.58173, 0.02000, 6.11363, 16.88134, false
7.26951, 1.06869, 0.18217, 0.03440, 1.58296, 0.02000, 6.11338, 16.90271, false
7.29096, 1.07235, 0.18295, 0.03934, 1.58426, 0.02000, 6.11310, 16.92416, false
7.31248, 1.07602, 0.18384, 0.04430, 1.58562, 0.02000, 6.11280, 16.94568, false
7.33407, 1.07972, 0.18482, 0.04924, 1.58705, 0.02000, 6.11246, 16.96727, false
7.35574, 1.08344, 0.18591, 0.05419, 1.58855, 0.02000, 6.11210, 16.98894, false
7.37749, 1.08718, 0.18709, 0.05915, 1.59011, 0.02000, 6.11169, 17.01068, false
7.39930, 1.09095, 0.18837, 0.06414, 1.59175, 0.02000, 6.11125, 17.03249, false
7.42120, 1.09474, 0.18975, 0.06912, 1.59344, 0.02000, 6.11078, 17.05438, false
7.44317, 1.09857, 0.19124, 0.07414, 1.59521, 0.02000, 6.11026, 17.07634, false
7.46522, 1.10242, 0.19282, 0.07919, 1.59705, 0.02000, 6.10970, 17.09839, false
7.48735, 1.10631, 0.19451, 0.08427, 1.59896, 0.02000, 6.10910, 17.12050, false
7.50955, 1.11024, 0.19629, 0.08937, 1.60093, 0.02000, 6.10845, 17.14270, false
7.53183, 1.11420, 0.19818, 0.09453, 1.60298, 0.02000, 6.10776, 17.16497, false
7.55420, 1.11821, 0.20018, 0.09973, 1.60510, 0.02000, 6.10702, 17.18732, false
7.57664, 1.12225, 0.20228, 0.10496, 1.60730, 0.02000, 6.10622, 17.20976, false
7.59917, 1.12634, 0.20448, 0.11027, 1.60956, 0.02000, 6.10537, 17.23227, false
