position,velocity,acceleration,jerk,heading,dt,x,y
0.00595, 0.23781, 4.75625, 95.12492, 0.00000, 0.05000, 2.00595, 13.50000, false
0.02973, 0.71344, 9.51249, 95.12492, 0.00000, 0.05000, 2.02973, 13.50000, false
0.07729, 1.18906, 9.51249, 0.00000, 0.00000, 0.05000, 2.07729, 13.50000, false
0.14863, 1.66469, 9.51249, 0.00000, 0.00000, 0.05000, 2.14863, 13.50000, false
0.24376, 2.14031, 9.51249, 0.00000, 0.00000, 0.05000, 2.24376, 13.50000, false
0.36266, 2.61594, 9.51249, -0.00000, 0.00000, 0.05000, 2.36266, 13.50000, false
0.50535, 3.09156, 9.51249, 0.00000, 0.00000, 0.05000, 2.50535, 13.50000, false
0.67182, 3.56718, 9.51249, -0.00000, 0.00000, 0.05000, 2.67182, 13.50000, false
0.86207, 4.04281, 9.51249, 0.00000, 0.00000, 0.05000, 2.86207, 13.50000, false
1.07610, 4.51843, 9.51249, -0.00000, 0.00000, 0.05000, 3.07610, 13.50000, false
1.31391, 4.99406, 9.51249, 0.00000, 0.00000, 0.05000, 3.31391, 13.50000, false
1.57551, 5.46968, 9.51249, -0.00000, 0.00000, 0.05000, 3.57551, 13.50000, false
1.86088, 5.94531, 9.51249, 0.00000, 0.00000, 0.05000, 3.86088, 13.50000, false
2.17004, 6.42093, 9.51249, 0.00000, 0.00000, 0.05000, 4.17004, 13.50000, false
2.50297, 6.89656, 9.51249, -0.00000, 0.00000, 0.05000, 4.50297, 13.50000, false
2.85969, 7.37218, 9.51249, 0.00000, 0.00000, 0.05000, 4.85969, 13.50000, false
3.24019, 7.84781, 9.51249, 0.00000, 0.00000, 0.05000, 5.24019, 13.50000, false
3.64447, 8.32343, 9.51249, 0.00000, 0.00000, 0.05000, 5.64447, 13.50000, false
4.07254, 8.79906, 9.51249, -0.00000, 0.00000, 0.05000, 6.07254, 13.50000, false
4.52438, 9.27468, 9.51249, -0.00000, 0.00000, 0.05000, 6.52438, 13.50000, false
4.99406, 9.51249, 4.75625, -95.12492, 0.00000, 0.05000, 6.99406, 13.50000, false
5.46389, 9.28062, -4.63741, -187.87321, 0.00000, 0.05000, 7.46389, 13.50000, false
5.91618, 8.81094, -9.39366, -95.12492, 0.00000, 0.05000, 7.91618, 13.50000, false
6.34483, 8.33531, -9.51249, -2.37664, 0.00000, 0.05000, 8.34483, 13.50000, false
6.74971, 7.85969, -9.51249, -0.00000, 0.00000, 0.05000, 8.74971, 13.50000, false
7.13080, 7.38406, -9.51249, 0.00000, 0.00000, 0.05000, 9.13080, 13.50000, false
7.48811, 6.90844, -9.51249, 0.00000, 0.00000, 0.05000, 9.48811, 13.50000, false
7.82164, 6.43282, -9.51249, -0.00000, 0.00000, 0.05000, 9.82164, 13.50000, false
8.13139, 5.95719, -9.51249, 0.00000, 0.00000, 0.05000, 10.13139, 13.50000, false
8.41736, 5.48157, -9.51249, -0.00000, 0.00000, 0.05000, 10.41736, 13.50000, false
8.67955, 5.00594, -9.51249, 0.00000, 0.00000, 0.05000, 10.67955, 13.50000, false
8.91796, 4.53032, -9.51249, 0.00000, 0.00000, 0.05000, 10.91796, 13.50000, false
9.13258, 4.05469, -9.51249, -0.00000, 0.00000, 0.05000, 11.13258, 13.50000, false
9.32343, 3.57907, -9.51249, 0.00000, 0.00000, 0.05000, 11.32343, 13.50000, false
9.49049, 3.10344, -9.51249, 0.00000, 0.00000, 0.05000, 11.49049, 13.50000, false
9.63377, 2.62782, -9.51249, -0.00000, 0.00000, 0.05000, 11.63377, 13.50000, false
9.75327, 2.15219, -9.51249, 0.00000, 0.00000, 0.05000, 11.75327, 13.50000, false
9.84899, 1.67657, -9.51249, -0.00000, 0.00000, 0.05000, 11.84899, 13.50000, false
9.92093, 1.20094, -9.51249, 0.00000, 0.00000, 0.05000, 11.92093, 13.50000, false
9.96909, 0.72532, -9.51249, 0.00000, 0.00000, 0.05000, 11.96909, 13.50000, false
9.99346, 0.24970, -9.51249, 0.00000, 0.00000, 0.05000, 11.99346, 13.50000, false
9.99985, 0.00594, -4.87508, 92.74828, 0.00000, 0.05000, 11.99985, 13.50000, false
10.00000, 0.00000, -0.11883, 95.12492, 0.00000, 0.05000, 12.00000, 13.50000, false
10.00000, 0.00000, 0.00000, 2.37664, 0.00000, 0.05000, 12.00000, 13.50000, false
