position,velocity,acceleration,jerk,heading,dt,x,y
0.00040, 0.04000, 2.00000, 100.00000, 0.00000, 0.02000, 2.00040, 14.59020, false
0.00200, 0.08000, 2.00000, -0.00000, 0.00000, 0.02000, 2.00200, 14.59020, false
0.00560, 0.18000, 5.00000, 150.00000, 0.00000, 0.02000, 2.00560, 14.59020, false
0.01200, 0.32000, 7.00000, 100.00000, 0.00000, 0.02000, 2.01200, 14.59020, false
0.02200, 0.50000, 9.00000, 100.00000, 0.00000, 0.02000, 2.02200, 14.59020, false
0.03600, 0.70000, 10.00000, 50.00000, 0.00000, 0.02000, 2.03600, 14.59020, false
0.05400, 0.90000, 10.00000, -0.00000, 0.00000, 0.02000, 2.05400, 14.59020, false
0.07600, 1.10000, 10.00000, 0.00000, 0.00000, 0.02000, 2.07600, 14.59020, false
0.10200, 1.30000, 10.00000, -0.00000, 0.00000, 0.02000, 2.10200, 14.59020, false
0.13200, 1.50000, 10.00000, -0.00000, 0.00000, 0.02000, 2.13200, 14.59020, false
0.16600, 1.70000, 10.00000, 0.00000, 0.00000, 0.02000, 2.16600, 14.59020, false
0.20400, 1.90000, 10.00000, -0.00000, 0.00000, 0.02000, 2.20400, 14.59020, false
0.24600, 2.10000, 10.00000, 0.00000, 0.00000, 0.02000, 2.24600, 14.59020, false
0.29200, 2.30000, 10.00000, 0.00000, 0.00000, 0.02000, 2.29200, 14.59020, false
0.34200, 2.50000, 10.00000, -0.00000, 0.00000, 0.02000, 2.34200, 14.59020, false
0.39600, 2.70000, 10.00000, 0.00000, 0.00000, 0.02000, 2.39600, 14.59020, false
0.45400, 2.90000, 10.00000, -0.00000, 0.00000, 0.02000, 2.45400, 14.59020, false
0.51600, 3.10000, 10.00000, -0.00000, 0.00000, 0.02000, 2.51600, 14.59020, false
0.58200, 3.30000, 10.00000, 0.00000, 0.00000, 0.02000, 2.58200, 14.59020, false
0.65200, 3.50000, 10.00000, 0.00000, 0.00000, 0.02000, 2.65200, 14.59020, false
0.72600, 3.70000, 10.00000, 0.00000, 0.00000, 0.02000, 2.72600, 14.59020, false
0.80400, 3.90000, 10.00000, 0.00000, 0.00000, 0.02000, 2.80400, 14.59020, false
0.88600, 4.10000, 10.00000, -0.00000, 0.00000, 0.02000, 2.88600, 14.59020, false
0.97200, 4.30000, 10.00000, 0.00000, 0.00000, 0.02000, 2.97200, 14.59020, false
1.06200, 4.50000, 10.00000, 0.00000, 0.00000, 0.02000, 3.06200, 14.59020, false
1.15600, 4.70000, 10.00000, -0.00000, 0.00000, 0.02000, 3.15600, 14.59020, false
1.25400, 4.90000, 10.00000, -0.00000, 0.00000, 0.02000, 3.25400, 14.59020, false
1.35600, 5.10000, 10.00000, 0.00000, 0.00000, 0.02000, 3.35600, 14.59020, false
1.46200, 5.30000, 10.00000, 0.00000, 0.00000, 0.02000, 3.46200, 14.59020, false
1.57200, 5.50000, 10.00000, -0.00000, 0.00000, 0.02000, 3.57200, 14.59020, false
1.68600, 5.70000, 10.00000, 0.00000, 0.00000, 0.02000, 3.68600, 14.59020, false
1.80400, 5.90000, 10.00000, 0.00000, 0.00000, 0.02000, 3.80400, 14.59020, false
1.92600, 6.10000, 10.00000, -0.00000, 0.00000, 0.02000, 3.92600, 14.59020, false
2.05200, 6.30000, 10.00000, -0.00000, 0.00000, 0.02000, 4.05200, 14.59020, false
2.18200, 6.50000, 10.00000, 0.00000, 0.00000, 0.02000, 4.18200, 14.59020, false
2.31600, 6.70000, 10.00000, 0.00000, 0.00000, 0.02000, 4.31600, 14.59020, false
2.45400, 6.90000, 10.00000, -0.00000, 0.00000, 0.02000, 4.45400, 14.59020, false
2.59600, 7.10000, 10.00000, -0.00000, 0.00000, 0.02000, 4.59600, 14.59020, false
2.74200, 7.30000, 10.00000, 0.00000, 0.00000, 0.02000, 4.74200, 14.59020, false
2.89200, 7.50000, 10.00000, 0.00000, 0.00000, 0.02000, 4.89200, 14.59020, false
3.04600, 7.70000, 10.00000, -0.00000, 0.00000, 0.02000, 5.04600, 14.59020, false
3.20400, 7.90000, 10.00000, 0.00000, 0.00000, 0.02000, 5.20400, 14.59020, false
3.36600, 8.10000, 10.00000, -0.00000, 0.00000, 0.02000, 5.36600, 14.59020, false
3.53200, 8.30000, 10.00000, -0.00000, 0.00000, 0.02000, 5.53200, 14.59020, false
3.70200, 8.50000, 10.00000, 0.00000, 0.00000, 0.02000, 5.70200, 14.59020, false
3.87600, 8.70000, 10.00000, 0.00000, 0.00000, 0.02000, 5.87600, 14.59020, false
4.05400, 8.90000, 10.00000, -0.00000, 0.00000, 0.02000, 6.05400, 14.59020, false
4.23600, 9.10000, 10.00000, 0.00000, 0.00000, 0.02000, 6.23600, 14.59020, false
4.42200, 9.30000, 10.00000, -0.00000, 0.00000, 0.02000, 6.42200, 14.59020, false
4.61200, 9.50000, 10.00000, -0.00000, 0.00000, 0.02000, 6.61200, 14.59020, false
4.80560, 9.68000, 9.00000, -50.00000, 0.00000, 0.02000, 6.80560, 14.59020, false
5.00200, 9.82000, 7.00000, -100.00000, 0.00000, 0.02000, 7.00200, 14.59020, false
