position,velocity,acceleration,jerk,heading,dt,x,y
0.01500, 0.60000, 12.00000, 240.00000, 0.00000, 0.05000, 2.01500, 12.40980, false
0.06000, 0.90000, 6.00000, -120.00000, 0.00000, 0.05000, 2.06000, 12.40980, false
0.13500, 1.50000, 12.00000, 120.00000, 0.00000, 0.05000, 2.13500, 12.40980, false
0.24000, 2.10000, 12.00000, 0.00000, 0.00000, 0.05000, 2.24000, 12.40980, false
0.37500, 2.70000, 12.00000, -0.00000, 0.00000, 0.05000, 2.37500, 12.40980, false
0.54000, 3.30000, 12.00000, 0.00000, 0.00000, 0.05000, 2.54000, 12.40980, false
0.73500, 3.90000, 12.00000, -0.00000, 0.00000, 0.05000, 2.73500, 12.40980, false
0.96000, 4.50000, 12.00000, -0.00000, 0.00000, 0.05000, 2.96000, 12.40980, false
1.21500, 5.10000, 12.00000, 0.00000, 0.00000, 0.05000, 3.21500, 12.40980, false
1.50000, 5.70000, 12.00000, 0.00000, 0.00000, 0.05000, 3.50000, 12.40980, false
1.81500, 6.30000, 12.00000, -0.00000, 0.00000, 0.05000, 3.81500, 12.40980, false
2.16000, 6.90000, 12.00000, -0.00000, 0.00000, 0.05000, 4.16000, 12.40980, false
2.53500, 7.50000, 12.00000, -0.00000, 0.00000, 0.05000, 4.53500, 12.40980, false
2.94000, 8.10000, 12.00000, -0.00000, 0.00000, 0.05000, 4.94000, 12.40980, false
3.37500, 8.70000, 12.00000, 0.00000, 0.00000, 0.05000, 5.37500, 12.40980, false
3.84000, 9.30000, 12.00000, -0.00000, 0.00000, 0.05000, 5.84000, 12.40980, false
4.33500, 9.90000, 12.00000, 0.00000, 0.00000, 0.05000, 6.33500, 12.40980, false
4.86000, 10.50000, 12.00000, -0.00000, 0.00000, 0.05000, 6.86000, 12.40980, false
5.41500, 11.10000, 12.00000, 0.00000, 0.00000, 0.05000, 7.41500, 12.40980, false
6.00000, 11.70000, 12.00000, 0.00000, 0.00000, 0.05000, 8.00000, 12.40980, false
6.60000, 12.00000, 6.00000, -120.00000, 0.00000, 0.05000, 8.60000, 12.40980, false
7.20000, 12.00000, -0.00000, -120.00000, 0.00000, 0.05000, 9.20000, 12.40980, false
7.80000, 12.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.80000, 12.40980, false
8.40000, 12.00000, -0.00000, -0.00000, 0.00000, 0.05000, 10.40000, 12.40980, false
9.00000, 12.00000, 0.00000, 0.00000, 0.00000, 0.05000, 11.00000, 12.40980, false
9.60000, 12.00000, 0.00000, 0.00000, 0.00000, 0.05000, 11.60000, 12.40980, false
10.20000, 12.00000, 0.00000, 0.00000, 0.00000, 0.05000, 12.20000, 12.40980, false
10.80000, 12.00000, 0.00000, 0.00000, 0.00000, 0.05000, 12.80000, 12.40980, false
11.40000, 12.00000, 0.00000, -0.00000, 0.00000, 0.05000, 13.40000, 12.40980, false
12.00000, 12.00000, 0.00000, 0.00000, 0.00000, 0.05000, 14.00000, 12.40980, false
12.60000, 12.00000, 0.00000, 0.00000, 0.00000, 0.05000, 14.60000, 12.40980, false
13.20000, 12.00000, 0.00000, 0.00000, 0.00000, 0.05000, 15.20000, 12.40980, false
13.80000, 12.00000, -0.00000, -0.00000, 0.00000, 0.05000, 15.80000, 12.40980, false
14.39000, 11.80000, -4.00000, -80.00000, 0.00000, 0.05000, 16.39000, 12.40980, false
14.95500, 11.30000, -10.00000, -120.00000, 0.00000, 0.05000, 16.95500, 12.40980, false
15.49000, 10.70000, -12.00000, -40.00000, 0.00000, 0.05000, 17.49000, 12.40980, false
15.99500, 10.10000, -12.00000, 0.00000, 0.00000, 0.05000, 17.99500, 12.40980, false
16.47000, 9.50000, -12.00000, -0.00000, 0.00000, 0.05000, 18.47000, 12.40980, false
16.91500, 8.90000, -12.00000, 0.00000, 0.00000, 0.05000, 18.91500, 12.40980, false
17.33000, 8.30000, -12.00000, -0.00000, 0.00000, 0.05000, 19.33000, 12.40980, false
17.71500, 7.70000, -12.00000, 0.00000, 0.00000, 0.05000, 19.71500, 12.40980, false
18.07000, 7.10000, -12.00000, 0.00000, 0.00000, 0.05000, 20.07000, 12.40980, false
18.39500, 6.50000, -12.00000, -0.00000, 0.00000, 0.05000, 20.39500, 12.40980, false
18.69000, 5.90000, -12.00000, 0.00000, 0.00000, 0.05000, 20.69000, 12.40980, false
18.95500, 5.30000, -12.00000, -0.00000, 0.00000, 0.05000, 20.95500, 12.40980, false
19.19000, 4.70000, -12.00000, 0.00000, 0.00000, 0.05000, 21.19000, 12.40980, false
19.39500, 4.10000, -12.00000, -0.00000, 0.00000, 0.05000, 21.39500, 12.40980, false
19.57000, 3.50000, -12.00000, 0.00000, 0.00000, 0.05000, 21.57000, 12.40980, false
19.71500, 2.90000, -12.00000, -0.00000, 0.00000, 0.05000, 21.71500, 12.40980, false
19.83000, 2.30000, -12.00000, -0.00000, 0.00000, 0.05000, 21.83000, 12.40980, false
19.91500, 1.70000, -12.00000, 0.00000, 0.00000, 0.05000, 21.91500, 12.40980, false
19.97000, 1.10000, -12.00000, 0.00000, 0.00000, 0.05000, 21.97000, 12.40980, false
19.99500, 0.50000, -12.00000, 0.00000, 0.00000, 0.05000, 21.99500, 12.40980, false
