position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 12.38500, true
-0.02000, -0.40000, -8.00000, -160.00000, 3.14159, 0.05000, 2.02000, 12.38500, true
-0.06000, -0.80000, -8.00000, 0.00000, 3.14159, 0.05000, 2.06000, 12.38500, true
-0.12000, -1.20000, -8.00000, -0.00000, 3.14159, 0.05000, 2.12000, 12.38500, true
-0.20000, -1.60000, -8.00000, -0.00000, 3.14159, 0.05000, 2.20000, 12.38500, true
-0.30000, -2.00000, -8.00000, 0.00000, 3.14159, 0.05000, 2.30000, 12.38500, true
-0.42000, -2.40000, -8.00000, 0.00000, 3.14159, 0.05000, 2.42000, 12.38500, true
-0.56000, -2.80000, -8.00000, 0.00000, 3.14159, 0.05000, 2.56000, 12.38500, true
-0.72000, -3.20000, -8.00000, 0.00000, 3.14159, 0.05000, 2.72000, 12.38500, true
-0.90000, -3.60000, -8.00000, -0.00000, 3.14159, 0.05000, 2.90000, 12.38500, true
-1.10000, -4.00000, -8.00000, -0.00000, 3.14159, 0.05000, 3.10000, 12.38500, true
-1.32000, -4.40000, -8.00000, -0.00000, 3.14159, 0.05000, 3.32000, 12.38500, true
-1.56000, -4.80000, -8.00000, -0.00000, 3.14159, 0.05000, 3.56000, 12.38500, true
-1.82000, -5.20000, -8.00000, 0.00000, 3.14159, 0.05000, 3.82000, 12.38500, true
-2.10000, -5.60000, -8.00000, 0.00000, 3.14159, 0.05000, 4.10000, 12.38500, true
-2.40000, -6.00000, -8.00000, -0.00000, 3.14159, 0.05000, 4.40000, 12.38500, true
-2.72000, -6.40000, -8.00000, 0.00000, 3.14159, 0.05000, 4.72000, 12.38500, true
-3.06000, -6.80000, -8.00000, -0.00000, 3.14159, 0.05000, 5.06000, 12.38500, true
-3.42000, -7.20000, -8.00000, -0.00000, 3.14159, 0.05000, 5.42000, 12.38500, true
-3.80000, -7.60000, -8.00000, 0.00000, 3.14159, 0.05000, 5.80000, 12.38500, true
-4.20000, -8.00000, -8.00000, -0.00000, 3.14159, 0.05000, 6.20000, 12.38500, true
-4.62000, -8.40000, -8.00000, -0.00000, 3.14159, 0.05000, 6.62000, 12.38500, true
-5.06000, -8.80000, -8.00000, 0.00000, 3.14159, 0.05000, 7.06000, 12.38500, true
-5.52000, -9.20000, -8.00000, -0.00000, 3.14159, 0.05000, 7.52000, 12.38500, true
-6.00000, -9.60000, -8.00000, 0.00000, 3.14159, 0.05000, 8.00000, 12.38500, true
-6.50000, -10.00000, -8.00000, 0.00000, 3.14159, 0.05000, 8.50000, 12.38500, true
-7.00000, -10.00000, -0.00000, 160.00000, 3.14159, 0.05000, 9.00000, 12.38500, true
-7.50000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 9.50000, 12.38500, true
-8.00000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 10.00000, 12.38500, true
-8.50000, -10.00000, 0.00000, -0.00000, 3.14159, 0.05000, 10.50000, 12.38500, true
-9.00000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 11.00000, 12.38500, true
-9.50000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 11.50000, 12.38500, true
-10.00000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 12.00000, 12.38500, true
-10.50000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 12.50000, 12.38500, true
-11.00000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 13.00000, 12.38500, true
-11.50000, -10.00000, 0.00000, -0.00000, 3.14159, 0.05000, 13.50000, 12.38500, true
-12.00000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 14.00000, 12.38500, true
-12.50000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 14.50000, 12.38500, true
-13.00000, -10.00000, -0.00000, -0.00000, 3.14159, 0.05000, 15.00000, 12.38500, true
-13.50000, -10.00000, 0.00000, 0.00000, 3.14159, 0.05000, 15.50000, 12.38500, true
