position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 2.00000, 13.50000, false
0.02000, 0.40000, 8.00000, 0.00000, 0.00000, 0.05000, 2.02000, 13.50000, false
0.06000, 0.80000, 8.00000, 0.00000, 0.00000, 0.05000, 2.06000, 13.50000, false
0.12000, 1.20000, 8.00000, 0.00000, 0.00000, 0.05000, 2.12000, 13.50000, false
0.20000, 1.60000, 8.00000, 0.00000, 0.00000, 0.05000, 2.20000, 13.50000, false
0.30000, 2.00000, 8.00000, 0.00000, 0.00000, 0.05000, 2.30000, 13.50000, false
0.42000, 2.40000, 8.00000, 0.00000, 0.00000, 0.05000, 2.42000, 13.50000, false
0.56000, 2.80000, 8.00000, 0.00000, 0.00000, 0.05000, 2.56000, 13.50000, false
0.72000, 3.20000, 8.00000, 0.00000, 0.00000, 0.05000, 2.72000, 13.50000, false
0.90000, 3.60000, 8.00000, 0.00000, 0.00000, 0.05000, 2.90000, 13.50000, false
1.10000, 4.00000, 8.00000, 0.00000, 0.00000, 0.05000, 3.10000, 13.50000, false
1.32000, 4.40000, 8.00000, 0.00000, 0.00000, 0.05000, 3.32000, 13.50000, false
1.56000, 4.80000, 8.00000, 0.00000, 0.00000, 0.05000, 3.56000, 13.50000, false
1.82000, 5.20000, 8.00000, 0.00000, 0.00000, 0.05000, 3.82000, 13.50000, false
2.10000, 5.60000, 8.00000, 0.00000, 0.00000, 0.05000, 4.10000, 13.50000, false
2.40000, 6.00000, 8.00000, 0.00000, 0.00000, 0.05000, 4.40000, 13.50000, false
2.71623, 6.32456, 0.00000, 0.00000, 0.00000, 0.05000, 4.71623, 13.50000, false
3.01246, 5.92456, -8.00000, 0.00000, 0.00000, 0.05000, 5.01246, 13.50000, false
3.28868, 5.52456, -8.00000, 0.00000, 0.00000, 0.05000, 5.28868, 13.50000, false
3.54491, 5.12456, -8.00000, 0.00000, 0.00000, 0.05000, 5.54491, 13.50000, false
3.78114, 4.72456, -8.00000, 0.00000, 0.00000, 0.05000, 5.78114, 13.50000, false
3.99737, 4.32456, -8.00000, 0.00000, 0.00000, 0.05000, 5.99737, 13.50000, false
4.19359, 3.92456, -8.00000, 0.00000, 0.00000, 0.05000, 6.19359, 13.50000, false
4.36982, 3.52456, -8.00000, 0.00000, 0.00000, 0.05000, 6.36982, 13.50000, false
4.52605, 3.12456, -8.00000, 0.00000, 0.00000, 0.05000, 6.52605, 13.50000, false
4.66228, 2.72456, -8.00000, 0.00000, 0.00000, 0.05000, 6.66228, 13.50000, false
4.77851, 2.32456, -8.00000, 0.00000, 0.00000, 0.05000, 6.77851, 13.50000, false
4.87473, 1.92456, -8.00000, 0.00000, 0.00000, 0.05000, 6.87473, 13.50000, false
4.95096, 1.52456, -8.00000, 0.00000, 0.00000, 0.05000, 6.95096, 13.50000, false
5.00719, 1.12456, -8.00000, 0.00000, 0.00000, 0.05000, 7.00000, 13.50000, false
5.04342, 0.72456, -8.00000, 0.00000, 0.00000, 0.05000, 7.00000, 13.50000, false
5.05964, 0.32456, -8.00000, 0.00000, 0.00000, 0.05000, 7.00000, 13.50000, false
5.05587, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 7.00000, 13.50000, false
5.05587, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 7.00000, 13.50000, false
