position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 2.00000, 14.61500, false
0.03000, 0.60000, 12.00000, 240.00000, 0.00000, 0.05000, 2.03000, 14.61500, false
0.09000, 1.20000, 12.00000, 0.00000, 0.00000, 0.05000, 2.09000, 14.61500, false
0.18000, 1.80000, 12.00000, -0.00000, 0.00000, 0.05000, 2.18000, 14.61500, false
0.30000, 2.40000, 12.00000, -0.00000, 0.00000, 0.05000, 2.30000, 14.61500, false
0.45000, 3.00000, 12.00000, 0.00000, 0.00000, 0.05000, 2.45000, 14.61500, false
0.63000, 3.60000, 12.00000, -0.00000, 0.00000, 0.05000, 2.63000, 14.61500, false
0.84000, 4.20000, 12.00000, -0.00000, 0.00000, 0.05000, 2.84000, 14.61500, false
1.08000, 4.80000, 12.00000, 0.00000, 0.00000, 0.05000, 3.08000, 14.61500, false
1.35000, 5.40000, 12.00000, 0.00000, 0.00000, 0.05000, 3.35000, 14.61500, false
1.65000, 6.00000, 12.00000, 0.00000, 0.00000, 0.05000, 3.65000, 14.61500, false
1.98000, 6.60000, 12.00000, -0.00000, 0.00000, 0.05000, 3.98000, 14.61500, false
2.34000, 7.20000, 12.00000, 0.00000, 0.00000, 0.05000, 4.34000, 14.61500, false
2.72730, 7.74597, 10.91933, -21.61332, 0.00000, 0.05000, 4.72730, 14.61500, false
3.08460, 7.14597, -12.00000, -458.38668, 0.00000, 0.05000, 5.08460, 14.61500, false
3.41190, 6.54597, -12.00000, -0.00000, 0.00000, 0.05000, 5.41190, 14.61500, false
3.70919, 5.94597, -12.00000, 0.00000, 0.00000, 0.05000, 5.70919, 14.61500, false
3.97649, 5.34597, -12.00000, 0.00000, 0.00000, 0.05000, 5.97649, 14.61500, false
4.21379, 4.74597, -12.00000, -0.00000, 0.00000, 0.05000, 6.21379, 14.61500, false
4.42109, 4.14597, -12.00000, 0.00000, 0.00000, 0.05000, 6.42109, 14.61500, false
4.59839, 3.54597, -12.00000, 0.00000, 0.00000, 0.05000, 6.59839, 14.61500, false
4.74569, 2.94597, -12.00000, -0.00000, 0.00000, 0.05000, 6.74569, 14.61500, false
4.86298, 2.34597, -12.00000, 0.00000, 0.00000, 0.05000, 6.86298, 14.61500, false
4.95028, 1.74597, -12.00000, -0.00000, 0.00000, 0.05000, 6.95028, 14.61500, false
5.00000, 0.99437, -15.03201, -60.64012, 0.00000, 0.05000, 7.00000, 14.61500, false
5.00000, 0.00000, -19.88733, -97.10643, 0.00000, 0.05000, 7.00000, 14.61500, false
5.00000, 0.00000, 0.00000, 397.74655, 0.00000, 0.05000, 7.00000, 14.61500, false
5.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 7.00000, 14.61500, false
