position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 12.38500, true
-0.02000, -0.40000, -8.00000, -160.00000, 3.14159, 0.05000, 2.02000, 12.38500, true
-0.06000, -0.80000, -8.00000, -0.00000, 3.14159, 0.05000, 2.06000, 12.38500, true
-0.12000, -1.20000, -8.00000, 0.00000, 3.14159, 0.05000, 2.12000, 12.38500, true
-0.20000, -1.60000, -8.00000, 0.00000, 3.14159, 0.05000, 2.20000, 12.38500, true
-0.30000, -2.00000, -8.00000, 0.00000, 3.14159, 0.05000, 2.30000, 12.38500, true
-0.42000, -2.40000, -8.00000, -0.00000, 3.14159, 0.05000, 2.42000, 12.38500, true
-0.56000, -2.80000, -8.00000, 0.00000, 3.14159, 0.05000, 2.56000, 12.38500, true
-0.72000, -3.20000, -8.00000, 0.00000, 3.14159, 0.05000, 2.72000, 12.38500, true
-0.90000, -3.60000, -8.00000, -0.00000, 3.14159, 0.05000, 2.90000, 12.38500, true
-1.10000, -4.00000, -8.00000, -0.00000, 3.14159, 0.05000, 3.10000, 12.38500, true
-1.32000, -4.40000, -8.00000, -0.00000, 3.14159, 0.05000, 3.32000, 12.38500, true
-1.56000, -4.80000, -8.00000, 0.00000, 3.14159, 0.05000, 3.56000, 12.38500, true
-1.82000, -5.20000, -8.00000, 0.00000, 3.14159, 0.05000, 3.82000, 12.38500, true
-2.10000, -5.60000, -8.00000, 0.00000, 3.14159, 0.05000, 4.10000, 12.38500, true
-2.40000, -6.00000, -8.00000, -0.00000, 3.14159, 0.05000, 4.40000, 12.38500, true
-2.71623, -6.32456, -6.49111, 30.17787, 3.14159, 0.05000, 4.71623, 12.38500, true
-3.01246, -5.92456, 8.00000, 289.82213, 3.14159, 0.05000, 5.01246, 12.38500, true
-3.28868, -5.52456, 8.00000, 0.00000, 3.14159, 0.05000, 5.28868, 12.38500, true
-3.54491, -5.12456, 8.00000, -0.00000, 3.14159, 0.05000, 5.54491, 12.38500, true
-3.78114, -4.72456, 8.00000, 0.00000, 3.14159, 0.05000, 5.78114, 12.38500, true
-3.99737, -4.32456, 8.00000, -0.00000, 3.14159, 0.05000, 5.99737, 12.38500, true
-4.19359, -3.92456, 8.00000, 0.00000, 3.14159, 0.05000, 6.19359, 12.38500, true
-4.36982, -3.52456, 8.00000, -0.00000, 3.14159, 0.05000, 6.36982, 12.38500, true
-4.52605, -3.12456, 8.00000, 0.00000, 3.14159, 0.05000, 6.52605, 12.38500, true
-4.66228, -2.72456, 8.00000, 0.00000, 3.14159, 0.05000, 6.66228, 12.38500, true
-4.77851, -2.32456, 8.00000, 0.00000, 3.14159, 0.05000, 6.77851, 12.38500, true
-4.87473, -1.92456, 8.00000, 0.00000, 3.14159, 0.05000, 6.87473, 12.38500, true
-4.95096, -1.52456, 8.00000, -0.00000, 3.14159, 0.05000, 6.95096, 12.38500, true
-5.00000, -0.98078, 10.87549, 57.50979, 3.14159, 0.05000, 7.00000, 12.38500, true
-5.00000, -0.00000, 19.61562, 174.80254, 3.14159, 0.05000, 7.00000, 12.38500, true
-5.00000, -0.00000, 0.00000, -392.31233, 3.14159, 0.05000, 7.00000, 12.38500, true
-5.00000, 0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.00000, 12.38500, true
-5.00000, 0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.00000, 12.38500, true
