position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 14.61500, true
-0.02500, -0.50000, -10.00000, -200.00000, 3.14159, 0.05000, 2.02500, 14.61500, true
-0.07500, -1.00000, -10.00000, -0.00000, 3.14159, 0.05000, 2.07500, 14.61500, true
-0.15000, -1.50000, -10.00000, 0.00000, 3.14159, 0.05000, 2.15000, 14.61500, true
-0.25000, -2.00000, -10.00000, 0.00000, 3.14159, 0.05000, 2.25000, 14.61500, true
-0.37500, -2.50000, -10.00000, -0.00000, 3.14159, 0.05000, 2.37500, 14.61500, true
-0.52500, -3.00000, -10.00000, -0.00000, 3.14159, 0.05000, 2.52500, 14.61500, true
-0.70000, -3.50000, -10.00000, 0.00000, 3.14159, 0.05000, 2.70000, 14.61500, true
-0.90000, -4.00000, -10.00000, 0.00000, 3.14159, 0.05000, 2.90000, 14.61500, true
-1.12500, -4.50000, -10.00000, -0.00000, 3.14159, 0.05000, 3.12500, 14.61500, true
-1.37500, -5.00000, -10.00000, -0.00000, 3.14159, 0.05000, 3.37500, 14.61500, true
-1.65000, -5.50000, -10.00000, -0.00000, 3.14159, 0.05000, 3.65000, 14.61500, true
-1.95000, -6.00000, -10.00000, 0.00000, 3.14159, 0.05000, 3.95000, 14.61500, true
-2.27500, -6.50000, -10.00000, -0.00000, 3.14159, 0.05000, 4.27500, 14.61500, true
-2.62500, -7.00000, -10.00000, -0.00000, 3.14159, 0.05000, 4.62500, 14.61500, true
-2.97855, -7.07107, -1.42136, 171.57288, 3.14159, 0.05000, 4.97855, 14.61500, true
-3.30711, -6.57107, 10.00000, 228.42712, 3.14159, 0.05000, 5.30711, 14.61500, true
-3.61066, -6.07107, 10.00000, -0.00000, 3.14159, 0.05000, 5.61066, 14.61500, true
-3.88921, -5.57107, 10.00000, 0.00000, 3.14159, 0.05000, 5.88921, 14.61500, true
-4.14277, -5.07107, 10.00000, 0.00000, 3.14159, 0.05000, 6.14277, 14.61500, true
-4.37132, -4.57107, 10.00000, -0.00000, 3.14159, 0.05000, 6.37132, 14.61500, true
-4.57487, -4.07107, 10.00000, -0.00000, 3.14159, 0.05000, 6.57487, 14.61500, true
-4.75343, -3.57107, 10.00000, 0.00000, 3.14159, 0.05000, 6.75343, 14.61500, true
-4.90698, -3.07107, 10.00000, -0.00000, 3.14159, 0.05000, 6.90698, 14.61500, true
-5.00000, -1.86039, 24.21356, 284.27125, 3.14159, 0.05000, 7.00000, 14.61500, true
-5.00000, -0.00000, 37.20779, 259.88463, 3.14159, 0.05000, 7.00000, 14.61500, true
-5.00000, -0.00000, 0.00000, -744.15588, 3.14159, 0.05000, 7.00000, 14.61500, true
-5.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 7.00000, 14.61500, true
