position,velocity,acceleration,jerk,heading,dt,x,y
0.00040, 0.04000, 2.00000, 100.00000, 0.00000, 0.02000, 2.00040, 13.50000, false
0.00200, 0.12000, 4.00000, 100.00000, 0.00000, 0.02000, 2.00200, 13.50000, false
0.00560, 0.24000, 6.00000, 100.00000, 0.00000, 0.02000, 2.00560, 13.50000, false
0.01200, 0.40000, 8.00000, 100.00000, 0.00000, 0.02000, 2.01200, 13.50000, false
0.02200, 0.60000, 10.00000, 100.00000, 0.00000, 0.02000, 2.02200, 13.50000, false
0.03600, 0.80000, 10.00000, 0.00000, 0.00000, 0.02000, 2.03600, 13.50000, false
0.05400, 1.00000, 10.00000, -0.00000, 0.00000, 0.02000, 2.05400, 13.50000, false
0.07600, 1.20000, 10.00000, 0.00000, 0.00000, 0.02000, 2.07600, 13.50000, false
0.10200, 1.40000, 10.00000, 0.00000, 0.00000, 0.02000, 2.10200, 13.50000, false
0.13200, 1.60000, 10.00000, 0.00000, 0.00000, 0.02000, 2.13200, 13.50000, false
0.16600, 1.80000, 10.00000, -0.00000, 0.00000, 0.02000, 2.16600, 13.50000, false
0.20400, 2.00000, 10.00000, 0.00000, 0.00000, 0.02000, 2.20400, 13.50000, false
0.24600, 2.20000, 10.00000, 0.00000, 0.00000, 0.02000, 2.24600, 13.50000, false
0.29200, 2.40000, 10.00000, -0.00000, 0.00000, 0.02000, 2.29200, 13.50000, false
0.34200, 2.60000, 10.00000, 0.00000, 0.00000, 0.02000, 2.34200, 13.50000, false
0.39600, 2.80000, 10.00000, -0.00000, 0.00000, 0.02000, 2.39600, 13.50000, false
0.45400, 3.00000, 10.00000, 0.00000, 0.00000, 0.02000, 2.45400, 13.50000, false
0.51600, 3.20000, 10.00000, 0.00000, 0.00000, 0.02000, 2.51600, 13.50000, false
0.58200, 3.40000, 10.00000, -0.00000, 0.00000, 0.02000, 2.58200, 13.50000, false
0.65200, 3.60000, 10.00000, 0.00000, 0.00000, 0.02000, 2.65200, 13.50000, false
0.72560, 3.76000, 8.00000, -100.00000, 0.00000, 0.02000, 2.72560, 13.50000, false
0.80200, 3.88000, 6.00000, -100.00000, 0.00000, 0.02000, 2.80200, 13.50000, false
0.88040, 3.96000, 4.00000, -100.00000, 0.00000, 0.02000, 2.88040, 13.50000, false
0.96000, 4.00000, 2.00000, -100.00000, 0.00000, 0.02000, 2.96000, 13.50000, false
1.04000, 4.00000, 0.00000, -100.00000, 0.00000, 0.02000, 3.04000, 13.50000, false
1.12000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.12000, 13.50000, false
1.20000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.20000, 13.50000, false
1.28000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.28000, 13.50000, false
1.36000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.36000, 13.50000, false
1.44000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.44000, 13.50000, false
1.52000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.52000, 13.50000, false
1.60000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.60000, 13.50000, false
1.68000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.68000, 13.50000, false
1.76000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.76000, 13.50000, false
1.84000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.84000, 13.50000, false
1.92000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 3.92000, 13.50000, false
2.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.00000, 13.50000, false
2.08000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.08000, 13.50000, false
2.16000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.16000, 13.50000, false
2.24000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.24000, 13.50000, false
2.32000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.32000, 13.50000, false
2.40000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.40000, 13.50000, false
2.48000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.48000, 13.50000, false
2.56000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.56000, 13.50000, false
2.64000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.64000, 13.50000, false
2.72000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.72000, 13.50000, false
2.80000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.80000, 13.50000, false
2.88000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.88000, 13.50000, false
2.96000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 4.96000, 13.50000, false
3.04000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.04000, 13.50000, false
3.12000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.12000, 13.50000, false
3.20000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.20000, 13.50000, false
3.28000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.28000, 13.50000, false
3.36000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.36000, 13.50000, false
3.44000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.44000, 13.50000, false
3.52000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.52000, 13.50000, false
3.60000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.60000, 13.50000, false
3.68000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.68000, 13.50000, false
3.76000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.76000, 13.50000, false
3.84000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.84000, 13.50000, false
3.92000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 5.92000, 13.50000, false
4.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.00000, 13.50000, false
4.08000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.08000, 13.50000, false
4.16000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.16000, 13.50000, false
4.24000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.24000, 13.50000, false
4.32000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.32000, 13.50000, false
4.40000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.40000, 13.50000, false
4.48000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.48000, 13.50000, false
4.56000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.56000, 13.50000, false
4.64000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.64000, 13.50000, false
4.72000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.72000, 13.50000, false
4.80000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.80000, 13.50000, false
4.88000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.88000, 13.50000, false
4.96000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 6.96000, 13.50000, false
5.04000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.04000, 13.50000, false
5.12000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.12000, 13.50000, false
5.20000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.20000, 13.50000, false
5.28000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.28000, 13.50000, false
5.36000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.36000, 13.50000, false
5.44000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.44000, 13.50000, false
5.52000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.52000, 13.50000, false
5.60000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.60000, 13.50000, false
5.68000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.68000, 13.50000, false
5.76000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.76000, 13.50000, false
5.84000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.84000, 13.50000, false
5.92000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 7.92000, 13.50000, false
6.00000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.00000, 13.50000, false
6.08000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.08000, 13.50000, false
6.16000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.16000, 13.50000, false
6.24000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.24000, 13.50000, false
6.32000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.32000, 13.50000, false
6.40000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.40000, 13.50000, false
6.48000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.48000, 13.50000, false
6.56000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.56000, 13.50000, false
6.64000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.64000, 13.50000, false
6.72000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.72000, 13.50000, false
6.80000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.80000, 13.50000, false
6.88000, 4.00000, 0.00000, 0.00000, 0.00000, 0.02000, 8.88000, 13.50000, false
