position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.02000, 2.00000, 14.61500, true
-0.00320, -0.16000, -8.00000, -400.00000, 3.14159, 0.02000, 2.00320, 14.61500, true
-0.00960, -0.32000, -8.00000, 0.00000, 3.14159, 0.02000, 2.00960, 14.61500, true
-0.01920, -0.48000, -8.00000, -0.00000, 3.14159, 0.02000, 2.01920, 14.61500, true
-0.03200, -0.64000, -8.00000, 0.00000, 3.14159, 0.02000, 2.03200, 14.61500, true
-0.04800, -0.80000, -8.00000, 0.00000, 3.14159, 0.02000, 2.04800, 14.61500, true
-0.06720, -0.96000, -8.00000, -0.00000, 3.14159, 0.02000, 2.06720, 14.61500, true
-0.08960, -1.12000, -8.00000, 0.00000, 3.14159, 0.02000, 2.08960, 14.61500, true
-0.11520, -1.28000, -8.00000, 0.00000, 3.14159, 0.02000, 2.11520, 14.61500, true
-0.14400, -1.44000, -8.00000, -0.00000, 3.14159, 0.02000, 2.14400, 14.61500, true
-0.17600, -1.60000, -8.00000, 0.00000, 3.14159, 0.02000, 2.17600, 14.61500, true
-0.21120, -1.76000, -8.00000, -0.00000, 3.14159, 0.02000, 2.21120, 14.61500, true
-0.24960, -1.92000, -8.00000, -0.00000, 3.14159, 0.02000, 2.24960, 14.61500, true
-0.29120, -2.08000, -8.00000, -0.00000, 3.14159, 0.02000, 2.29120, 14.61500, true
-0.33600, -2.24000, -8.00000, -0.00000, 3.14159, 0.02000, 2.33600, 14.61500, true
-0.38400, -2.40000, -8.00000, -0.00000, 3.14159, 0.02000, 2.38400, 14.61500, true
-0.43520, -2.56000, -8.00000, 0.00000, 3.14159, 0.02000, 2.43520, 14.61500, true
-0.48960, -2.72000, -8.00000, 0.00000, 3.14159, 0.02000, 2.48960, 14.61500, true
-0.54720, -2.88000, -8.00000, -0.00000, 3.14159, 0.02000, 2.54720, 14.61500, true
-0.60800, -3.04000, -8.00000, 0.00000, 3.14159, 0.02000, 2.60800, 14.61500, true
-0.67200, -3.20000, -8.00000, 0.00000, 3.14159, 0.02000, 2.67200, 14.61500, true
-0.73920, -3.36000, -8.00000, -0.00000, 3.14159, 0.02000, 2.73920, 14.61500, true
-0.80960, -3.52000, -8.00000, -0.00000, 3.14159, 0.02000, 2.80960, 14.61500, true
-0.88320, -3.68000, -8.00000, 0.00000, 3.14159, 0.02000, 2.88320, 14.61500, true
-0.96000, -3.84000, -8.00000, -0.00000, 3.14159, 0.02000, 2.96000, 14.61500, true
-1.04000, -4.00000, -8.00000, 0.00000, 3.14159, 0.02000, 3.04000, 14.61500, true
-1.12000, -4.00000, 0.00000, 400.00000, 3.14159, 0.02000, 3.12000, 14.61500, true
-1.20000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.20000, 14.61500, true
-1.28000, -4.00000, -0.00000, -0.00000, 3.14159, 0.02000, 3.28000, 14.61500, true
-1.36000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.36000, 14.61500, true
-1.44000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.44000, 14.61500, true
-1.52000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.52000, 14.61500, true
-1.60000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.60000, 14.61500, true
-1.68000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.68000, 14.61500, true
-1.76000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.76000, 14.61500, true
-1.84000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.84000, 14.61500, true
-1.92000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 3.92000, 14.61500, true
-2.00000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 4.00000, 14.61500, true
-2.08000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 4.08000, 14.61500, true
-2.16000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 4.16000, 14.61500, true
-2.24000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 4.24000, 14.61500, true
-2.32000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 4.32000, 14.61500, true
-2.40000, -4.00000, 0.00000, 0.00000, 3.14159, 0.02000, 4.40000, 14.61500, true
