position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 2.00000, 12.38500, false
0.02000, 0.40000, 8.00000, 160.00000, 0.00000, 0.05000, 2.02000, 12.38500, false
0.06000, 0.80000, 8.00000, 0.00000, 0.00000, 0.05000, 2.06000, 12.38500, false
0.12000, 1.20000, 8.00000, 0.00000, 0.00000, 0.05000, 2.12000, 12.38500, false
0.20000, 1.60000, 8.00000, 0.00000, 0.00000, 0.05000, 2.20000, 12.38500, false
0.30000, 2.00000, 8.00000, -0.00000, 0.00000, 0.05000, 2.30000, 12.38500, false
0.42000, 2.40000, 8.00000, 0.00000, 0.00000, 0.05000, 2.42000, 12.38500, false
0.56000, 2.80000, 8.00000, 0.00000, 0.00000, 0.05000, 2.56000, 12.38500, false
0.72000, 3.20000, 8.00000, -0.00000, 0.00000, 0.05000, 2.72000, 12.38500, false
0.90000, 3.60000, 8.00000, 0.00000, 0.00000, 0.05000, 2.90000, 12.38500, false
1.10000, 4.00000, 8.00000, 0.00000, 0.00000, 0.05000, 3.10000, 12.38500, false
1.30000, 4.00000, 0.00000, -160.00000, 0.00000, 0.05000, 3.30000, 12.38500, false
1.50000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 3.50000, 12.38500, false
1.70000, 4.00000, 0.00000, -0.00000, 0.00000, 0.05000, 3.70000, 12.38500, false
1.90000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 3.90000, 12.38500, false
2.10000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 4.10000, 12.38500, false
2.30000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 4.30000, 12.38500, false
2.50000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 4.50000, 12.38500, false
2.70000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 4.70000, 12.38500, false
2.90000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 4.90000, 12.38500, false
3.10000, 4.00000, 0.00000, -0.00000, 0.00000, 0.05000, 5.10000, 12.38500, false
3.30000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 5.30000, 12.38500, false
3.50000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 5.50000, 12.38500, false
3.70000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 5.70000, 12.38500, false
3.90000, 4.00000, 0.00000, -0.00000, 0.00000, 0.05000, 5.90000, 12.38500, false
4.10000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 6.10000, 12.38500, false
4.30000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 6.30000, 12.38500, false
4.50000, 4.00000, 0.00000, -0.00000, 0.00000, 0.05000, 6.50000, 12.38500, false
4.70000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 6.70000, 12.38500, false
4.90000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 6.90000, 12.38500, false
5.10000, 4.00000, 0.00000, -0.00000, 0.00000, 0.05000, 7.10000, 12.38500, false
5.30000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 7.30000, 12.38500, false
5.50000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 7.50000, 12.38500, false
5.70000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 7.70000, 12.38500, false
5.90000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 7.90000, 12.38500, false
6.10000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.10000, 12.38500, false
6.30000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 8.30000, 12.38500, false
6.50000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.50000, 12.38500, false
6.70000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 8.70000, 12.38500, false
6.90000, 4.00000, -0.00000, -0.00000, 0.00000, 0.05000, 8.90000, 12.38500, false
7.10000, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 9.10000, 12.38500, false
