position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 2.00000, 13.50000, false
0.02000, 0.40000, 8.00000, 0.00000, -0.00000, 0.05000, 2.02000, 13.50000, false
0.06000, 0.80000, 8.00000, 0.00000, -0.00003, 0.05000, 2.06000, 13.50000, false
0.12000, 1.20000, 8.00000, 0.00000, -0.00011, 0.05000, 2.12000, 13.50000, false
0.20000, 1.60000, 8.00000, 0.00000, -0.00030, 0.05000, 2.20000, 13.49998, false
0.30000, 2.00000, 8.00000, 0.00000, -0.00067, 0.05000, 2.30000, 13.49993, false
0.42000, 2.40000, 8.00000, 0.00000, -0.00131, 0.05000, 2.42000, 13.49982, false
0.56000, 2.80000, 8.00000, 0.00000, -0.00232, 0.05000, 2.56000, 13.49957, false
0.72000, 3.20000, 8.00000, 0.00000, -0.00382, 0.05000, 2.72000, 13.49908, false
0.90000, 3.60000, 8.00000, 0.00000, -0.00595, 0.05000, 2.90000, 13.49821, false
1.10000, 4.00000, 8.00000, 0.00000, -0.00888, 0.05000, 3.09999, 13.49673, false
1.32000, 4.40000, 8.00000, 0.00000, -0.01277, 0.05000, 3.31998, 13.49437, false
1.56000, 4.80000, 8.00000, 0.00000, -0.01782, 0.05000, 3.55995, 13.49071, false
1.82000, 5.20000, 8.00000, 0.00000, -0.02429, 0.05000, 3.81989, 13.48526, false
2.10000, 5.60000, 8.00000, 0.00000, -0.03242, 0.05000, 4.09978, 13.47735, false
2.40000, 6.00000, 8.00000, 0.00000, -0.04254, 0.05000, 4.39957, 13.46615, false
2.72000, 6.40000, 8.00000, 0.00000, -0.05503, 0.05000, 4.71919, 13.45059, false
3.06000, 6.80000, 8.00000, 0.00000, -0.07033, 0.05000, 5.05852, 13.42935, false
3.42000, 7.20000, 8.00000, 0.00000, -0.08899, 0.05000, 5.41738, 13.40078, false
3.80000, 7.60000, 8.00000, 0.00000, -0.11168, 0.05000, 5.79547, 13.36282, false
4.20000, 8.00000, 0.00000, 0.00000, -0.13922, 0.05000, 6.19233, 13.31291, false
4.60000, 8.00000, 0.00000, 0.00000, -0.17093, 0.05000, 6.58754, 13.25128, false
5.00000, 8.00000, 0.00000, 0.00000, -0.20729, 0.05000, 6.98042, 13.17625, false
5.40000, 8.00000, 0.00000, 0.00000, -0.24883, 0.05000, 7.37007, 13.08599, false
5.80000, 8.00000, 0.00000, 0.00000, -0.29608, 0.05000, 7.75534, 12.97856, false
6.20000, 8.00000, 0.00000, 0.00000, -0.34952, 0.05000, 8.13470, 12.85188, false
6.60000, 8.00000, 0.00000, 0.00000, -0.40951, 0.05000, 8.50626, 12.70393, false
7.00000, 8.00000, 0.00000, 0.00000, -0.47614, 0.05000, 8.86771, 12.53276, false
7.40000, 8.00000, 0.00000, 0.00000, -0.54913, 0.05000, 9.21631, 12.33679, false
7.80000, 8.00000, 0.00000, 0.00000, -0.62761, 0.05000, 9.54905, 12.11498, false
8.20000, 8.00000, 0.00000, 0.00000, -0.71013, 0.05000, 9.86284, 11.86709, false
8.60000, 8.00000, 0.00000, 0.00000, -0.79469, 0.05000, 10.15479, 11.59383, false
9.00000, 8.00000, 0.00000, 0.00000, -0.87899, 0.05000, 10.42260, 11.29687, false
9.40000, 8.00000, 0.00000, 0.00000, -0.96077, 0.05000, 10.66480, 10.97868, false
9.80000, 8.00000, 0.00000, 0.00000, -1.03814, 0.05000, 10.88091, 10.64220, false
10.20000, 8.00000, 0.00000, 0.00000, -1.10977, 0.05000, 11.07134, 10.29054, false
10.60000, 8.00000, 0.00000, 0.00000, -1.17494, 0.05000, 11.23729, 9.92666, false
11.00000, 8.00000, 0.00000, 0.00000, -1.23346, 0.05000, 11.38044, 9.55322, false
11.40000, 8.00000, 0.00000, 0.00000, -1.28549, 0.05000, 11.50275, 9.17242, false
11.80000, 8.00000, 0.00000, 0.00000, -1.33142, 0.05000, 11.60629, 8.78609, false
12.20000, 8.00000, 0.00000, 0.00000, -1.37177, 0.05000, 11.69309, 8.39565, false
12.60000, 8.00000, 0.00000, 0.00000, -1.40706, 0.05000, 11.76509, 8.00221, false
13.00000, 8.00000, 0.00000, 0.00000, -1.43781, 0.05000, 11.82407, 7.60659, false
13.40000, 8.00000, 0.00000, 0.00000, -1.46448, 0.05000, 11.87169, 7.20945, false
13.78000, 7.60000, -8.00000, 0.00000, -1.48643, 0.05000, 11.90777, 6.83117, false
14.14000, 7.20000, -8.00000, 0.00000, -1.50445, 0.05000, 11.93479, 6.47220, false
14.48000, 6.80000, -8.00000, 0.00000, -1.51919, 0.05000, 11.95477, 6.13279, false
14.80000, 6.40000, -8.00000, 0.00000, -1.53118, 0.05000, 11.96932, 5.81312, false
15.10000, 6.00000, -8.00000, 0.00000, -1.54087, 0.05000, 11.97971, 5.51330, false
15.38000, 5.60000, -8.00000, 0.00000, -1.54862, 0.05000, 11.98697, 5.23340, false
15.64000, 5.20000, -8.00000, 0.00000, -1.55474, 0.05000, 11.99192, 4.97344, false
15.88000, 4.80000, -8.00000, 0.00000, -1.55948, 0.05000, 11.99519, 4.73347, false
16.10000, 4.40000, -8.00000, 0.00000, -1.56309, 0.05000, 11.99727, 4.51348, false
16.30000, 4.00000, -8.00000, 0.00000, -1.56576, 0.05000, 11.99853, 4.31348, false
16.48000, 3.60000, -8.00000, 0.00000, -1.56766, 0.05000, 11.99926, 4.13348, false
16.64000, 3.20000, -8.00000, 0.00000, -1.56896, 0.05000, 11.99965, 3.97348, false
16.78000, 2.80000, -8.00000, 0.00000, -1.56980, 0.05000, 11.99985, 3.83348, false
16.90000, 2.40000, -8.00000, 0.00000, -1.57028, 0.05000, 11.99994, 3.71348, false
17.00000, 2.00000, -8.00000, 0.00000, -1.57053, 0.05000, 11.99998, 3.61348, false
17.08000, 1.60000, -8.00000, 0.00000, -1.57061, 0.05000, 11.99999, 3.53348, false
17.14000, 1.20000, -8.00000, 0.00000, -1.57062, 0.05000, 12.00000, 3.50000, false
17.18000, 0.80000, -8.00000, 0.00000, -1.57062, 0.05000, 12.00000, 3.50000, false
17.20000, 0.40000, -8.00000, 0.00000, -1.57062, 0.05000, 12.00000, 3.50000, false
17.20000, 0.00000, 0.00000, 0.00000, -1.57062, 0.05000, 12.00000, 3.50000, false
17.20000, 0.00000, 0.00000, 0.00000, -1.57062, 0.05000, 12.00000, 3.50000, false
