position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.05000, 2.00000, 14.61500, false
0.02501, 0.50010, 10.00209, 200.04181, -0.00000, 0.05000, 2.02501, 14.61500, false
0.07505, 1.00083, 10.01460, 0.25024, -0.00004, 0.05000, 2.07505, 14.61500, false
0.15019, 1.50281, 10.03948, 0.49762, -0.00017, 0.05000, 2.15019, 14.61499, false
0.25052, 2.00663, 10.07649, 0.74010, -0.00047, 0.05000, 2.25052, 14.61496, false
0.37616, 2.51290, 10.12535, 0.97714, -0.00104, 0.05000, 2.37616, 14.61487, false
0.52727, 3.02219, 10.18587, 1.21042, -0.00204, 0.05000, 2.52727, 14.61464, false
0.70403, 3.53510, 10.25808, 1.44435, -0.00361, 0.05000, 2.70403, 14.61415, false
0.90664, 4.05222, 10.34241, 1.68652, -0.00595, 0.05000, 2.90664, 14.61319, false
1.13535, 4.57421, 10.43982, 1.94824, -0.00928, 0.05000, 3.13534, 14.61146, false
1.39044, 5.10181, 10.55208, 2.24512, -0.01385, 0.05000, 3.39041, 14.60853, false
1.67224, 5.63591, 10.68197, 2.59788, -0.01994, 0.05000, 3.67217, 14.60379, false
1.98112, 6.17759, 10.83366, 3.03369, -0.02791, 0.05000, 3.98096, 14.59644, false
2.31753, 6.72825, 11.01305, 3.58799, -0.03814, 0.05000, 4.31719, 14.58538, false
2.68201, 7.28967, 11.22841, 4.30710, -0.05114, 0.05000, 4.68132, 14.56917, false
3.07522, 7.86422, 11.49098, 5.25150, -0.06747, 0.05000, 5.07384, 14.54595, false
3.49797, 8.45501, 11.81594, 6.49906, -0.08788, 0.05000, 5.49532, 14.51325, false
3.92449, 8.53038, 1.50723, -206.17421, -0.11168, 0.05000, 5.91973, 14.47088, false
4.35519, 8.61387, 1.66981, 3.25156, -0.13922, 0.05000, 6.34706, 14.41712, false
4.79053, 8.70682, 1.85900, 3.78390, -0.17093, 0.05000, 6.77720, 14.35003, false
5.23105, 8.81045, 2.07271, 4.27424, -0.20729, 0.05000, 7.20990, 14.26738, false
5.67733, 8.92568, 2.30454, 4.63663, -0.24883, 0.05000, 7.64467, 14.16665, false
6.12997, 9.05272, 2.54093, 4.72762, -0.29608, 0.05000, 8.08066, 14.04504, false
6.58950, 9.19060, 2.75743, 4.33001, -0.34952, 0.05000, 8.51652, 13.89947, false
7.05632, 9.33635, 2.91506, 3.15276, -0.40951, 0.05000, 8.95021, 13.72674, false
7.53053, 9.48429, 2.95884, 0.87550, -0.47614, 0.05000, 9.37878, 13.52374, false
8.01180, 9.62542, 2.82254, -2.72595, -0.54913, 0.05000, 9.79828, 13.28786, false
8.49918, 9.74765, 2.44454, -7.56011, -0.62761, 0.05000, 10.20380, 13.01749, false
8.99105, 9.83741, 1.79531, -12.98446, -0.71013, 0.05000, 10.58974, 12.71257, false
9.48519, 9.88276, 0.90707, -17.76478, -0.79469, 0.05000, 10.95051, 12.37489, false
9.97904, 9.87699, -0.11548, -20.45112, -0.87899, 0.05000, 11.28126, 12.00816, false
10.47009, 9.82097, -1.12042, -20.09873, -0.96077, 0.05000, 11.57870, 11.61745, false
10.95623, 9.72286, -1.96224, -16.83652, -1.03814, 0.05000, 11.84144, 11.20842, false
11.43600, 9.59528, -2.55153, -11.78579, -1.10977, 0.05000, 12.06993, 10.78656, false
11.90858, 9.45169, -2.87174, -6.40405, -1.17494, 0.05000, 12.26607, 10.35660, false
12.37376, 9.30358, -2.96224, -1.81005, -1.23346, 0.05000, 12.43260, 9.92225, false
12.83172, 9.15920, -2.88772, 1.49046, -1.28549, 0.05000, 12.57268, 9.48624, false
13.28290, 9.02356, -2.71281, 3.49821, -1.33142, 0.05000, 12.68950, 9.05045, false
13.72785, 8.89910, -2.48907, 4.47465, -1.37177, 0.05000, 12.78608, 8.61611, false
14.16718, 8.78650, -2.25202, 4.74116, -1.40706, 0.05000, 12.86518, 8.18396, false
14.60145, 8.68534, -2.02331, 4.57406, -1.43781, 0.05000, 12.92923, 7.75444, false
15.03118, 8.59460, -1.81465, 4.17332, -1.46448, 0.05000, 12.98040, 7.32777, false
15.45683, 8.51304, -1.63125, 3.66801, -1.48750, 0.05000, 13.02057, 6.90402, false
15.87879, 8.43931, -1.47455, 3.13387, -1.50720, 0.05000, 13.05143, 6.48318, false
16.27133, 7.85073, -11.77168, -205.94259, -1.52293, 0.05000, 13.07322, 6.09125, false
16.63523, 7.27796, -11.45544, 6.32484, -1.53540, 0.05000, 13.08830, 5.72766, false
16.97113, 6.71798, -11.19948, 5.11914, -1.54518, 0.05000, 13.09850, 5.39192, false
17.27955, 6.16853, -10.98908, 4.20804, -1.55273, 0.05000, 13.10520, 5.08357, false
17.56095, 5.62786, -10.81332, 3.51515, -1.55847, 0.05000, 13.10945, 4.80221, false
17.81568, 5.09465, -10.66425, 2.98148, -1.56271, 0.05000, 13.11203, 4.54749, false
18.04407, 4.56784, -10.53616, 2.56188, -1.56576, 0.05000, 13.11352, 4.31910, false
18.24640, 4.04659, -10.42507, 2.22179, -1.56784, 0.05000, 13.11432, 4.11677, false
18.42291, 3.53017, -10.32833, 1.93469, -1.56920, 0.05000, 13.11471, 3.94026, false
18.57381, 3.01796, -10.24432, 1.68029, -1.57000, 0.05000, 13.11489, 3.78937, false
18.69927, 2.50935, -10.17215, 1.44331, -1.57042, 0.05000, 13.11496, 3.66390, false
18.79946, 2.00377, -10.11152, 1.21271, -1.57059, 0.05000, 13.11499, 3.56371, false
18.86298, 1.27030, -14.66950, -91.15968, -1.57062, 0.05000, 13.11500, 3.50019, false
18.86298, 0.00000, -25.40596, -214.72927, -1.57062, 0.05000, 13.11500, 3.50019, false
