position,velocity,acceleration,jerk,heading,dt,x,y
0.01250, 0.50000, 10.00000, 200.00000, -0.00000, 0.05000, 2.01250, 12.38500, false
0.04998, 0.74961, 4.99217, -100.15664, -0.00002, 0.05000, 2.04998, 12.38500, false
0.11240, 1.24831, 9.97397, 99.63612, -0.00009, 0.05000, 2.11239, 12.38500, false
0.19967, 1.74546, 9.94300, -0.61940, -0.00030, 0.05000, 2.19967, 12.38498, false
0.31169, 2.24046, 9.90005, -0.85909, -0.00073, 0.05000, 2.31169, 12.38492, false
0.44833, 2.73273, 9.84535, -1.09394, -0.00150, 0.05000, 2.44833, 12.38478, false
0.60941, 3.22168, 9.77901, -1.32694, -0.00277, 0.05000, 2.60941, 12.38444, false
0.79475, 3.70672, 9.70080, -1.56407, -0.00471, 0.05000, 2.79474, 12.38375, false
1.00411, 4.18722, 9.61006, -1.81475, -0.00753, 0.05000, 3.00410, 12.38248, false
1.23723, 4.66249, 9.50544, -2.09242, -0.01145, 0.05000, 3.23722, 12.38029, false
1.49382, 5.13173, 9.38468, -2.41519, -0.01675, 0.05000, 3.49378, 12.37669, false
1.77352, 5.59394, 9.24434, -2.80694, -0.02375, 0.05000, 3.77342, 12.37106, false
2.07591, 6.04791, 9.07939, -3.29889, -0.03281, 0.05000, 4.07569, 12.36254, false
2.40052, 6.49205, 8.88280, -3.93185, -0.04438, 0.05000, 4.40006, 12.35007, false
2.74673, 6.92430, 8.64484, -4.75927, -0.05898, 0.05000, 4.74581, 12.33226, false
3.11383, 7.34191, 8.35230, -5.85071, -0.07728, 0.05000, 5.11206, 12.30736, false
3.48922, 7.50791, 3.32005, -100.64510, -0.09934, 0.05000, 5.48601, 12.27437, false
3.86065, 7.42854, -1.58743, -98.14947, -0.12495, 0.05000, 5.85511, 12.23292, false
4.22767, 7.34034, -1.76404, -3.53228, -0.15452, 0.05000, 6.21857, 12.18194, false
4.58977, 7.24200, -1.96679, -4.05507, -0.18850, 0.05000, 6.57539, 12.12030, false
4.94639, 7.13241, -2.19177, -4.49955, -0.22738, 0.05000, 6.92436, 12.04684, false
5.29693, 7.01094, -2.42943, -4.75313, -0.27171, 0.05000, 7.26410, 11.96045, false
5.64083, 6.87788, -2.66124, -4.63621, -0.32200, 0.05000, 7.59301, 11.86006, false
5.97758, 6.73509, -2.85580, -3.89126, -0.37868, 0.05000, 7.90938, 11.74468, false
6.30692, 6.58680, -2.96581, -2.20024, -0.44200, 0.05000, 8.21147, 11.61351, false
6.62894, 6.44034, -2.92909, 0.73442, -0.51188, 0.05000, 8.49765, 11.46587, false
6.94426, 6.30642, -2.67840, 5.01386, -0.58776, 0.05000, 8.76659, 11.30126, false
7.25417, 6.19824, -2.16367, 10.29459, -0.66848, 0.05000, 9.01743, 11.11926, false
7.56063, 6.12909, -1.38293, 15.61482, -0.75230, 0.05000, 9.24981, 10.91946, false
7.86607, 6.10881, -0.40569, 19.54483, -0.83702, 0.05000, 9.46377, 10.70149, false
8.17309, 6.14047, 0.63328, 20.77930, -0.92033, 0.05000, 9.65964, 10.46506, false
8.48406, 6.21931, 1.57671, 18.86866, -1.00011, 0.05000, 9.83780, 10.21019, false
8.80078, 6.33440, 2.30176, 14.50091, -1.07473, 0.05000, 9.99867, 9.93737, false
9.12438, 6.47217, 2.75556, 9.07603, -1.14319, 0.05000, 10.14268, 9.64757, false
9.45538, 6.61984, 2.95340, 3.95682, -1.20503, 0.05000, 10.27036, 9.34219, false
