position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 13.50000, true
0.02500, -0.50000, -10.00000, 0.00000, 3.14159, 0.05000, 2.02500, 13.50000, true
0.07500, -1.00000, -10.00000, 0.00000, 3.14155, 0.05000, 2.07500, 13.50000, true
0.15000, -1.50000, -10.00000, 0.00000, 3.14142, 0.05000, 2.15000, 13.49999, true
0.25000, -2.00000, -10.00000, 0.00000, 3.14113, 0.05000, 2.25000, 13.49996, true
0.37500, -2.50000, -10.00000, 0.00000, 3.14055, 0.05000, 2.37500, 13.49987, true
0.52500, -3.00000, -10.00000, 0.00000, 3.13955, 0.05000, 2.52500, 13.49964, true
0.70000, -3.50000, -10.00000, 0.00000, 3.13798, 0.05000, 2.70000, 13.49915, true
0.90000, -4.00000, -10.00000, 0.00000, 3.13564, 0.05000, 2.90000, 13.49821, true
1.12500, -4.50000, -10.00000, 0.00000, 3.13231, 0.05000, 3.12499, 13.49651, true
1.37500, -5.00000, -10.00000, 0.00000, 3.12774, 0.05000, 3.37497, 13.49363, true
1.65000, -5.50000, -10.00000, 0.00000, 3.12165, 0.05000, 3.64993, 13.48901, true
1.95000, -6.00000, -10.00000, 0.00000, 3.11368, 0.05000, 3.94985, 13.48187, true
2.27500, -6.50000, -10.00000, 0.00000, 3.10345, 0.05000, 4.27467, 13.47119, true
2.62500, -7.00000, -10.00000, 0.00000, 3.09046, 0.05000, 4.62432, 13.45563, true
3.00000, -7.50000, -10.00000, 0.00000, 3.07412, 0.05000, 4.99866, 13.43348, true
3.40000, -8.00000, 0.00000, 0.00000, 3.05371, 0.05000, 5.39746, 13.40255, true
3.80000, -8.00000, 0.00000, 0.00000, 3.02992, 0.05000, 5.79547, 13.36282, true
4.20000, -8.00000, 0.00000, 0.00000, 3.00238, 0.05000, 6.19233, 13.31291, true
4.60000, -8.00000, 0.00000, 0.00000, 2.97066, 0.05000, 6.58754, 13.25128, true
5.00000, -8.00000, 0.00000, 0.00000, 2.93430, 0.05000, 6.98042, 13.17625, true
5.40000, -8.00000, 0.00000, 0.00000, 2.89276, 0.05000, 7.37007, 13.08599, true
5.80000, -8.00000, 0.00000, 0.00000, 2.84551, 0.05000, 7.75534, 12.97856, true
6.20000, -8.00000, 0.00000, 0.00000, 2.79208, 0.05000, 8.13470, 12.85188, true
6.60000, -8.00000, 0.00000, 0.00000, 2.73209, 0.05000, 8.50626, 12.70393, true
7.00000, -8.00000, 0.00000, 0.00000, 2.66545, 0.05000, 8.86771, 12.53276, true
7.40000, -8.00000, 0.00000, 0.00000, 2.59246, 0.05000, 9.21631, 12.33679, true
7.80000, -8.00000, 0.00000, 0.00000, 2.51398, 0.05000, 9.54905, 12.11498, true
8.20000, -8.00000, 0.00000, 0.00000, 2.43146, 0.05000, 9.86284, 11.86709, true
8.60000, -8.00000, 0.00000, 0.00000, 2.34690, 0.05000, 10.15479, 11.59383, true
9.00000, -8.00000, 0.00000, 0.00000, 2.26260, 0.05000, 10.42260, 11.29687, true
9.40000, -8.00000, 0.00000, 0.00000, 2.18082, 0.05000, 10.66480, 10.97868, true
9.80000, -8.00000, 0.00000, 0.00000, 2.10345, 0.05000, 10.88091, 10.64220, true
10.20000, -8.00000, 0.00000, 0.00000, 2.03182, 0.05000, 11.07134, 10.29054, true
10.60000, -8.00000, 0.00000, 0.00000, 1.96665, 0.05000, 11.23729, 9.92666, true
11.00000, -8.00000, 0.00000, 0.00000, 1.90813, 0.05000, 11.38044, 9.55322, true
11.40000, -8.00000, 0.00000, 0.00000, 1.85610, 0.05000, 11.50275, 9.17242, true
11.80000, -8.00000, 0.00000, 0.00000, 1.81017, 0.05000, 11.60629, 8.78609, true
12.20000, -8.00000, 0.00000, 0.00000, 1.76982, 0.05000, 11.69309, 8.39565, true
12.60000, -8.00000, 0.00000, 0.00000, 1.73453, 0.05000, 11.76509, 8.00221, true
13.00000, -8.00000, 0.00000, 0.00000, 1.70379, 0.05000, 11.82407, 7.60659, true
13.40000, -8.00000, 0.00000, 0.00000, 1.67711, 0.05000, 11.87169, 7.20945, true
13.80000, -8.00000, 0.00000, 0.00000, 1.65410, 0.05000, 11.90944, 6.81125, true
14.20000, -8.00000, 0.00000, 0.00000, 1.63439, 0.05000, 11.93869, 6.41232, true
14.57500, -7.50000, 10.00000, 0.00000, 1.61866, 0.05000, 11.95950, 6.03790, true
14.92500, -7.00000, 10.00000, 0.00000, 1.60619, 0.05000, 11.97400, 5.68821, true
15.25000, -6.50000, 10.00000, 0.00000, 1.59642, 0.05000, 11.98387, 5.36336, true
15.55000, -6.00000, 10.00000, 0.00000, 1.58886, 0.05000, 11.99039, 5.06343, true
15.82500, -5.50000, 10.00000, 0.00000, 1.58312, 0.05000, 11.99454, 4.78846, true
16.07500, -5.00000, 10.00000, 0.00000, 1.57888, 0.05000, 11.99707, 4.53847, true
16.30000, -4.50000, 10.00000, 0.00000, 1.57584, 0.05000, 11.99853, 4.31348, true
16.50000, -4.00000, 10.00000, 0.00000, 1.57375, 0.05000, 11.99932, 4.11348, true
16.67500, -3.50000, 10.00000, 0.00000, 1.57239, 0.05000, 11.99971, 3.93848, true
16.82500, -3.00000, 10.00000, 0.00000, 1.57159, 0.05000, 11.99989, 3.78848, true
16.95000, -2.50000, 10.00000, 0.00000, 1.57117, 0.05000, 11.99996, 3.66348, true
17.05000, -2.00000, 10.00000, 0.00000, 1.57100, 0.05000, 11.99999, 3.56348, true
17.12500, -1.50000, 10.00000, 0.00000, 1.57097, 0.05000, 12.00000, 3.50000, true
17.17500, -1.00000, 10.00000, 0.00000, 1.57097, 0.05000, 12.00000, 3.50000, true
