position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 12.38500, true
-0.02999, -0.59985, -11.99699, -239.93981, 3.14159, 0.05000, 2.02999, 12.38500, true
-0.08993, -1.19880, -11.97898, 0.36012, 3.14153, 0.05000, 2.08993, 12.38500, true
-0.17973, -1.79596, -11.94321, 0.71540, 3.14135, 0.05000, 2.17973, 12.38499, true
-0.29925, -2.39046, -11.89008, 1.06267, 3.14092, 0.05000, 2.29925, 12.38493, true
-0.44833, -2.98146, -11.81999, 1.40190, 3.14009, 0.05000, 2.44833, 12.38478, true
-0.62673, -3.56812, -11.73311, 1.73752, 3.13866, 0.05000, 2.62673, 12.38439, true
-0.83421, -4.14958, -11.62914, 2.07948, 3.13640, 0.05000, 2.83421, 12.38356, true
-1.07046, -4.72492, -11.50692, 2.44429, 3.13303, 0.05000, 3.07045, 12.38195, true
-1.33511, -5.29313, -11.36412, 2.85609, 3.12824, 0.05000, 3.33509, 12.37907, true
-1.62776, -5.85296, -11.19671, 3.34823, 3.12165, 0.05000, 3.62770, 12.37424, true
-1.94791, -6.40288, -10.99842, 3.96572, 3.11281, 0.05000, 3.94775, 12.36648, true
-2.29495, -6.94088, -10.75998, 4.76888, 3.10119, 0.05000, 4.29459, 12.35454, true
-2.66816, -7.46428, -10.46804, 5.83873, 3.08614, 0.05000, 4.66738, 12.33675, true
-3.04775, -7.59170, -2.54840, 158.39286, 3.06784, 0.05000, 5.04618, 12.31235, true
-3.42380, -7.52100, 1.41416, 79.25105, 3.04636, 0.05000, 5.42089, 12.28072, true
-3.79595, -7.44303, 1.55929, 2.90270, 3.02140, 0.05000, 5.79090, 12.24083, true
-4.16377, -7.35647, 1.73120, 3.43810, 2.99255, 0.05000, 6.15542, 12.19160, true
-4.52677, -7.25999, 1.92954, 3.96690, 2.95938, 0.05000, 6.51347, 12.13190, true
-4.88440, -7.15244, 2.15112, 4.43161, 2.92139, 0.05000, 6.86391, 12.06060, true
-5.23605, -7.03306, 2.38759, 4.72943, 2.87806, 0.05000, 7.20538, 11.97655, true
-5.58115, -6.90194, 2.62228, 4.69373, 2.82885, 0.05000, 7.53630, 11.87868, true
-5.91918, -6.76063, 2.82631, 4.08051, 2.77331, 0.05000, 7.85500, 11.76599, true
-6.24982, -6.61287, 2.95525, 2.57880, 2.71115, 0.05000, 8.15971, 11.63764, true
