position,velocity,acceleration,jerk,heading,dt,x,y
0.00000, -0.00000, 0.00000, 0.00000, 3.14159, 0.05000, 2.00000, 14.61500, true
-0.02000, -0.40007, -8.00134, -160.02676, 3.14159, 0.05000, 2.02000, 14.61500, true
-0.06003, -0.80053, -8.00935, -0.16025, 3.14157, 0.05000, 2.06003, 14.61500, true
-0.12012, -1.20180, -8.02530, -0.31902, 3.14148, 0.05000, 2.12012, 14.61500, true
-0.20033, -1.60425, -8.04906, -0.47513, 3.14129, 0.05000, 2.20033, 14.61498, true
-0.30075, -2.00828, -8.08046, -0.62806, 3.14092, 0.05000, 2.30075, 14.61493, true
-0.42146, -2.41424, -8.11937, -0.77821, 3.14028, 0.05000, 2.42146, 14.61482, true
-0.56259, -2.82253, -8.16573, -0.92712, 3.13927, 0.05000, 2.56258, 14.61456, true
-0.72426, -3.23351, -8.21961, -1.07770, 3.13777, 0.05000, 2.72426, 14.61407, true
-0.90664, -3.64758, -8.28133, -1.23439, 3.13564, 0.05000, 2.90664, 14.61319, true
-1.10990, -4.06515, -8.35150, -1.40341, 3.13272, 0.05000, 3.10989, 14.61169, true
-1.33423, -4.48671, -8.43115, -1.59295, 3.12883, 0.05000, 3.33421, 14.60927, true
-1.57987, -4.91280, -8.52183, -1.81362, 3.12377, 0.05000, 3.57982, 14.60554, true
-1.84708, -5.34409, -8.62578, -2.07887, 3.11731, 0.05000, 3.84697, 14.59993, true
-2.13615, -5.78139, -8.74607, -2.40581, 3.10917, 0.05000, 4.13592, 14.59177, true
-2.44743, -6.22574, -8.88687, -2.81615, 3.09905, 0.05000, 4.44699, 14.58014, true
-2.78136, -6.67842, -9.05375, -3.33748, 3.08656, 0.05000, 4.78052, 14.56390, true
-3.13841, -7.14112, -9.25398, -4.00472, 3.07126, 0.05000, 5.13688, 14.54160, true
-3.51921, -7.61598, -9.49705, -4.86134, 3.05260, 0.05000, 5.51648, 14.51137, true
-3.92450, -8.10573, -9.79502, -5.95929, 3.02992, 0.05000, 5.91973, 14.47088, true
-4.35519, -8.61387, -10.16277, -7.35503, 3.00238, 0.05000, 6.34706, 14.41712, true
-4.79053, -8.70682, -1.85900, 166.07532, 2.97066, 0.05000, 6.77720, 14.35003, true
-5.23105, -8.81045, -2.07271, -4.27424, 2.93430, 0.05000, 7.20990, 14.26738, true
-5.67734, -8.92568, -2.30454, -4.63663, 2.89276, 0.05000, 7.64467, 14.16665, true
-6.12997, -9.05272, -2.54093, -4.72762, 2.84551, 0.05000, 8.08066, 14.04504, true
-6.58950, -9.19060, -2.75743, -4.33001, 2.79208, 0.05000, 8.51652, 13.89947, true
-7.05632, -9.33635, -2.91506, -3.15276, 2.73209, 0.05000, 8.95021, 13.72674, true
-7.53054, -9.48429, -2.95884, -0.87550, 2.66545, 0.05000, 9.37878, 13.52374, true
-8.01181, -9.62542, -2.82254, 2.72595, 2.59246, 0.05000, 9.79828, 13.28786, true
-8.49919, -9.74765, -2.44454, 7.56011, 2.51398, 0.05000, 10.20380, 13.01749, true
-8.99106, -9.83741, -1.79531, 12.98446, 2.43146, 0.05000, 10.58974, 12.71257, true
-9.48520, -9.88276, -0.90707, 17.76478, 2.34690, 0.05000, 10.95051, 12.37489, true
-9.97905, -9.87699, 0.11548, 20.45112, 2.26260, 0.05000, 11.28126, 12.00816, true
-10.47010, -9.82097, 1.12042, 20.09873, 2.18082, 0.05000, 11.57870, 11.61745, true
-10.95624, -9.72286, 1.96224, 16.83652, 2.10345, 0.05000, 11.84144, 11.20842, true
-11.43600, -9.59528, 2.55153, 11.78579, 2.03182, 0.05000, 12.06993, 10.78656, true
-11.90859, -9.45169, 2.87174, 6.40405, 1.96665, 0.05000, 12.26607, 10.35660, true
-12.37377, -9.30358, 2.96224, 1.81005, 1.90813, 0.05000, 12.43260, 9.92225, true
-12.83173, -9.15920, 2.88772, -1.49046, 1.85610, 0.05000, 12.57268, 9.48624, true
-13.28290, -9.02356, 2.71281, -3.49821, 1.81017, 0.05000, 12.68950, 9.05045, true
-13.72786, -8.89910, 2.48907, -4.47465, 1.76982, 0.05000, 12.78608, 8.61611, true
-14.16718, -8.78650, 2.25202, -4.74116, 1.73453, 0.05000, 12.86518, 8.18396, true
-14.60145, -8.68534, 2.02331, -4.57406, 1.70379, 0.05000, 12.92923, 7.75444, true
-15.03118, -8.59460, 1.81465, -4.17332, 1.67711, 0.05000, 12.98040, 7.32777, true
-15.43564, -8.08922, 10.10772, 165.86150, 1.65517, 0.05000, 13.01880, 6.92514, true
-15.81573, -7.60171, 9.75013, -7.15191, 1.63715, 0.05000, 13.04734, 6.54612, true
-16.17216, -7.12869, 9.46043, -5.79399, 1.62240, 0.05000, 13.06829, 6.19030, true
-16.50554, -6.66749, 9.22394, -4.72977, 1.61041, 0.05000, 13.08344, 5.85727, true
-16.81634, -6.21605, 9.02886, -3.90148, 1.60072, 0.05000, 13.09421, 5.54666, true
-17.10498, -5.77275, 8.86599, -3.25743, 1.59297, 0.05000, 13.10170, 5.25812, true
-17.37179, -5.33634, 8.72825, -2.75487, 1.58686, 0.05000, 13.10678, 4.99135, true
-17.61708, -4.90582, 8.61027, -2.35967, 1.58211, 0.05000, 13.11012, 4.74608, true
-17.84111, -4.48042, 8.50802, -2.04494, 1.57850, 0.05000, 13.11224, 4.52207, true
-18.04408, -4.05950, 8.41854, -1.78952, 1.57584, 0.05000, 13.11352, 4.31910, true
-18.22621, -3.64251, 8.33970, -1.57674, 1.57393, 0.05000, 13.11426, 4.13698, true
-18.38766, -3.22901, 8.27003, -1.39344, 1.57263, 0.05000, 13.11465, 3.97553, true
-18.52858, -2.81858, 8.20857, -1.22926, 1.57180, 0.05000, 13.11485, 3.83460, true
-18.64913, -2.41084, 8.15476, -1.07615, 1.57131, 0.05000, 13.11494, 3.71405, true
-18.74940, -2.00542, 8.10836, -0.92806, 1.57107, 0.05000, 13.11498, 3.61378, true
-18.82950, -1.60196, 8.06933, -0.78064, 1.57098, 0.05000, 13.11499, 3.53369, true
-18.86299, -0.66981, 18.64290, 211.47148, 1.57097, 0.05000, 13.11500, 3.50019, true
-18.86299, -0.00000, 13.39626, -104.93282, 1.57097, 0.05000, 13.11500, 3.50019, true
-18.86299, -0.00000, 0.00000, -267.92521, 1.57097, 0.05000, 13.11500, 3.50019, true
-18.86299, 0.00000, 0.00000, 0.00000, 1.57097, 0.05000, 13.11500, 3.50019, true
