position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -2.356, 0.020, 24.000, 24.000
0.003, 0.160, 8.000, 0.000, -2.356, 0.020, 23.998, 23.998
0.010, 0.320, 8.000, 0.000, -2.356, 0.020, 23.993, 23.993
0.019, 0.480, 8.000, 0.000, -2.356, 0.020, 23.986, 23.986
0.032, 0.640, 8.000, 0.000, -2.356, 0.020, 23.977, 23.977
0.048, 0.800, 8.000, 0.000, -2.356, 0.020, 23.966, 23.966
0.067, 0.960, 8.000, 0.000, -2.356, 0.020, 23.952, 23.952
0.090, 1.120, 8.000, 0.000, -2.356, 0.020, 23.937, 23.937
0.115, 1.280, 8.000, 0.000, -2.356, 0.020, 23.919, 23.919
0.144, 1.440, 8.000, 0.000, -2.356, 0.020, 23.898, 23.898
0.176, 1.600, 8.000, 0.000, -2.356, 0.020, 23.876, 23.876
0.211, 1.760, 8.000, 0.000, -2.356, 0.020, 23.851, 23.851
0.250, 1.920, 8.000, 0.000, -2.356, 0.020, 23.824, 23.824
0.291, 2.080, 8.000, 0.000, -2.356, 0.020, 23.794, 23.794
0.336, 2.240, 8.000, 0.000, -2.356, 0.020, 23.762, 23.762
0.384, 2.400, 8.000, 0.000, -2.356, 0.020, 23.728, 23.728
0.435, 2.560, 8.000, 0.000, -2.356, 0.020, 23.692, 23.692
0.490, 2.720, 8.000, 0.000, -2.356, 0.020, 23.654, 23.654
0.547, 2.880, 8.000, 0.000, -2.356, 0.020, 23.613, 23.613
0.608, 3.040, 8.000, 0.000, -2.356, 0.020, 23.570, 23.570
0.672, 3.200, 8.000, 0.000, -2.356, 0.020, 23.525, 23.525
0.739, 3.360, 8.000, 0.000, -2.356, 0.020, 23.477, 23.477
0.810, 3.520, 8.000, 0.000, -2.356, 0.020, 23.428, 23.428
0.883, 3.680, 8.000, 0.000, -2.356, 0.020, 23.375, 23.375
0.960, 3.840, 8.000, 0.000, -2.356, 0.020, 23.321, 23.321
1.040, 4.000, 8.000, 0.000, -2.356, 0.020, 23.265, 23.265
1.123, 4.160, 8.000, 0.000, -2.356, 0.020, 23.206, 23.206
1.210, 4.320, 8.000, 0.000, -2.356, 0.020, 23.145, 23.145
1.299, 4.480, 8.000, 0.000, -2.356, 0.020, 23.081, 23.081
1.392, 4.640, 8.000, 0.000, -2.356, 0.020, 23.016, 23.016
1.488, 4.800, 8.000, 0.000, -2.356, 0.020, 22.948, 22.948
1.587, 4.960, 8.000, 0.000, -2.356, 0.020, 22.878, 22.878
1.690, 5.120, 8.000, 0.000, -2.356, 0.020, 22.805, 22.805
1.795, 5.280, 8.000, 0.000, -2.356, 0.020, 22.731, 22.731
1.904, 5.440, 8.000, 0.000, -2.356, 0.020, 22.654, 22.654
2.016, 5.600, 8.000, 0.000, -2.356, 0.020, 22.574, 22.574
2.131, 5.760, 8.000, 0.000, -2.356, 0.020, 22.493, 22.493
2.250, 5.920, 8.000, 0.000, -2.356, 0.020, 22.409, 22.409
2.371, 6.080, 8.000, 0.000, -2.356, 0.020, 22.323, 22.323
2.496, 6.240, 8.000, 0.000, -2.356, 0.020, 22.235, 22.235
2.624, 6.400, 8.000, 0.000, -2.356, 0.020, 22.145, 22.145
2.755, 6.560, 8.000, 0.000, -2.356, 0.020, 22.052, 22.052
2.890, 6.720, 8.000, 0.000, -2.356, 0.020, 21.957, 21.957
3.027, 6.880, 8.000, 0.000, -2.356, 0.020, 21.859, 21.859
3.168, 7.040, 8.000, 0.000, -2.356, 0.020, 21.760, 21.760
3.312, 7.200, 8.000, 0.000, -2.356, 0.020, 21.658, 21.658
3.459, 7.360, 8.000, 0.000, -2.356, 0.020, 21.554, 21.554
3.610, 7.520, 8.000, 0.000, -2.356, 0.020, 21.448, 21.448
3.763, 7.680, 8.000, 0.000, -2.356, 0.020, 21.339, 21.339
3.920, 7.840, 8.000, 0.000, -2.356, 0.020, 21.228, 21.228
4.080, 8.000, 8.000, 0.000, -2.356, 0.020, 21.115, 21.115
4.243, 8.160, 8.000, 0.000, -2.356, 0.020, 21.000, 21.000
4.410, 8.320, 8.000, 0.000, -2.356, 0.020, 20.882, 20.882
4.579, 8.480, 8.000, 0.000, -2.356, 0.020, 20.762, 20.762
4.752, 8.640, 8.000, 0.000, -2.356, 0.020, 20.640, 20.640
4.928, 8.800, 8.000, 0.000, -2.356, 0.020, 20.515, 20.515
5.107, 8.960, 8.000, 0.000, -2.356, 0.020, 20.389, 20.389
5.290, 9.120, 8.000, 0.000, -2.356, 0.020, 20.260, 20.260
5.475, 9.280, 8.000, 0.000, -2.356, 0.020, 20.128, 20.128
5.664, 9.440, 8.000, 0.000, -2.356, 0.020, 19.995, 19.995
5.856, 9.600, 8.000, 0.000, -2.356, 0.020, 19.859, 19.859
6.051, 9.760, 8.000, 0.000, -2.356, 0.020, 19.721, 19.721
6.250, 9.920, 8.000, 0.000, -2.356, 0.020, 19.581, 19.581
6.451, 10.080, 8.000, 0.000, -2.356, 0.020, 19.438, 19.438
6.653, 10.091, 0.000, 0.000, -2.356, 0.020, 19.296, 19.296
6.852, 9.931, -8.000, 0.000, -2.356, 0.020, 19.155, 19.155
7.047, 9.771, -8.000, 0.000, -2.356, 0.020, 19.017, 19.017
7.239, 9.611, -8.000, 0.000, -2.356, 0.020, 18.881, 18.881
7.428, 9.451, -8.000, 0.000, -2.356, 0.020, 18.747, 18.747
7.614, 9.291, -8.000, 0.000, -2.356, 0.020, 18.616, 18.616
7.797, 9.131, -8.000, 0.000, -2.356, 0.020, 18.487, 18.487
7.976, 8.971, -8.000, 0.000, -2.356, 0.020, 18.360, 18.360
8.152, 8.811, -8.000, 0.000, -2.356, 0.020, 18.235, 18.235
8.325, 8.651, -8.000, 0.000, -2.356, 0.020, 18.113, 18.113
8.495, 8.491, -8.000, 0.000, -2.356, 0.020, 17.993, 17.993
8.662, 8.331, -8.000, 0.000, -2.356, 0.020, 17.875, 17.875
8.825, 8.171, -8.000, 0.000, -2.356, 0.020, 17.760, 17.760
8.985, 8.011, -8.000, 0.000, -2.356, 0.020, 17.646, 17.646
9.142, 7.851, -8.000, 0.000, -2.356, 0.020, 17.535, 17.535
9.296, 7.691, -8.000, 0.000, -2.356, 0.020, 17.427, 17.427
9.447, 7.531, -8.000, 0.000, -2.356, 0.020, 17.320, 17.320
9.594, 7.371, -8.000, 0.000, -2.356, 0.020, 17.216, 17.216
9.738, 7.211, -8.000, 0.000, -2.356, 0.020, 17.114, 17.114
9.880, 7.051, -8.000, 0.000, -2.356, 0.020, 17.014, 17.014
10.017, 6.891, -8.000, 0.000, -2.356, 0.020, 16.917, 16.917
10.152, 6.731, -8.000, 0.000, -2.356, 0.020, 16.821, 16.821
10.283, 6.571, -8.000, 0.000, -2.356, 0.020, 16.729, 16.729
10.412, 6.411, -8.000, 0.000, -2.356, 0.020, 16.638, 16.638
10.537, 6.251, -8.000, 0.000, -2.356, 0.020, 16.550, 16.550
10.658, 6.091, -8.000, 0.000, -2.356, 0.020, 16.463, 16.463
10.777, 5.931, -8.000, 0.000, -2.356, 0.020, 16.380, 16.380
10.892, 5.771, -8.000, 0.000, -2.356, 0.020, 16.298, 16.298
11.005, 5.611, -8.000, 0.000, -2.356, 0.020, 16.219, 16.219
11.114, 5.451, -8.000, 0.000, -2.356, 0.020, 16.141, 16.141
11.219, 5.291, -8.000, 0.000, -2.356, 0.020, 16.067, 16.067
11.322, 5.131, -8.000, 0.000, -2.356, 0.020, 15.994, 15.994
11.421, 4.971, -8.000, 0.000, -2.356, 0.020, 15.924, 15.924
11.518, 4.811, -8.000, 0.000, -2.356, 0.020, 15.856, 15.856
11.611, 4.651, -8.000, 0.000, -2.356, 0.020, 15.790, 15.790
11.701, 4.491, -8.000, 0.000, -2.356, 0.020, 15.726, 15.726
11.787, 4.331, -8.000, 0.000, -2.356, 0.020, 15.665, 15.665
11.871, 4.171, -8.000, 0.000, -2.356, 0.020, 15.606, 15.606
11.951, 4.011, -8.000, 0.000, -2.356, 0.020, 15.550, 15.550
12.028, 3.851, -8.000, 0.000, -2.356, 0.020, 15.495, 15.495
12.102, 3.691, -8.000, 0.000, -2.356, 0.020, 15.443, 15.443
12.172, 3.531, -8.000, 0.000, -2.356, 0.020, 15.393, 15.393
12.240, 3.371, -8.000, 0.000, -2.356, 0.020, 15.345, 15.345
12.304, 3.211, -8.000, 0.000, -2.356, 0.020, 15.300, 15.300
12.365, 3.051, -8.000, 0.000, -2.356, 0.020, 15.257, 15.257
12.423, 2.891, -8.000, 0.000, -2.356, 0.020, 15.216, 15.216
12.477, 2.731, -8.000, 0.000, -2.356, 0.020, 15.177, 15.177
