position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -5.498, 0.020, 24.771, 23.229
0.003, 0.160, 8.000, 400.000, -5.498, 0.020, 24.769, 23.227
0.010, 0.320, 8.000, -0.000, -5.498, 0.020, 24.764, 23.222
0.019, 0.480, 8.000, 0.000, -5.498, 0.020, 24.757, 23.216
0.032, 0.640, 8.000, 0.000, -5.498, 0.020, 24.748, 23.206
0.048, 0.800, 8.000, -0.000, -5.498, 0.020, 24.737, 23.195
0.067, 0.960, 8.000, 0.000, -5.498, 0.020, 24.723, 23.182
0.090, 1.120, 8.000, 0.000, -5.498, 0.020, 24.708, 23.166
0.115, 1.280, 8.000, 0.000, -5.498, 0.020, 24.689, 23.148
0.144, 1.440, 8.000, -0.000, -5.498, 0.020, 24.669, 23.127
0.176, 1.600, 8.000, -0.000, -5.498, 0.020, 24.646, 23.105
0.211, 1.760, 8.000, 0.000, -5.498, 0.020, 24.622, 23.080
0.250, 1.920, 8.000, 0.000, -5.498, 0.020, 24.594, 23.053
0.291, 2.080, 8.000, -0.000, -5.498, 0.020, 24.565, 23.023
0.336, 2.240, 8.000, 0.000, -5.498, 0.020, 24.533, 22.992
0.384, 2.400, 8.000, -0.000, -5.498, 0.020, 24.499, 22.958
0.435, 2.560, 8.000, -0.000, -5.498, 0.020, 24.463, 22.921
0.490, 2.720, 8.000, 0.000, -5.498, 0.020, 24.425, 22.883
0.547, 2.880, 8.000, 0.000, -5.498, 0.020, 24.384, 22.842
0.608, 3.040, 8.000, 0.000, -5.498, 0.020, 24.341, 22.799
0.672, 3.200, 8.000, -0.000, -5.498, 0.020, 24.296, 22.754
0.739, 3.360, 8.000, 0.000, -5.498, 0.020, 24.248, 22.706
0.810, 3.520, 8.000, 0.000, -5.498, 0.020, 24.198, 22.657
0.883, 3.680, 8.000, 0.000, -5.498, 0.020, 24.146, 22.605
0.960, 3.840, 8.000, -0.000, -5.498, 0.020, 24.092, 22.550
1.040, 4.000, 8.000, 0.000, -5.498, 0.020, 24.035, 22.494
1.123, 4.160, 8.000, -0.000, -5.498, 0.020, 23.977, 22.435
1.210, 4.320, 8.000, 0.000, -5.498, 0.020, 23.916, 22.374
1.299, 4.480, 8.000, -0.000, -5.498, 0.020, 23.852, 22.310
1.392, 4.640, 8.000, 0.000, -5.498, 0.020, 23.787, 22.245
1.488, 4.800, 8.000, -0.000, -5.498, 0.020, 23.719, 22.177
1.587, 4.960, 8.000, 0.000, -5.498, 0.020, 23.649, 22.107
1.690, 5.120, 8.000, -0.000, -5.498, 0.020, 23.576, 22.034
1.795, 5.280, 8.000, 0.000, -5.498, 0.020, 23.501, 21.960
1.904, 5.440, 8.000, 0.000, -5.498, 0.020, 23.425, 21.883
2.016, 5.600, 8.000, -0.000, -5.498, 0.020, 23.345, 21.804
2.131, 5.760, 8.000, 0.000, -5.498, 0.020, 23.264, 21.722
2.250, 5.920, 8.000, 0.000, -5.498, 0.020, 23.180, 21.638
2.371, 6.080, 8.000, -0.000, -5.498, 0.020, 23.094, 21.552
2.496, 6.240, 8.000, 0.000, -5.498, 0.020, 23.006, 21.464
2.624, 6.400, 8.000, 0.000, -5.498, 0.020, 22.915, 21.374
2.755, 6.560, 8.000, -0.000, -5.498, 0.020, 22.823, 21.281
2.890, 6.720, 8.000, 0.000, -5.498, 0.020, 22.728, 21.186
3.027, 6.880, 8.000, -0.000, -5.498, 0.020, 22.630, 21.089
3.168, 7.040, 8.000, 0.000, -5.498, 0.020, 22.531, 20.989
3.312, 7.200, 8.000, -0.000, -5.498, 0.020, 22.429, 20.887
3.459, 7.360, 8.000, 0.000, -5.498, 0.020, 22.325, 20.783
3.610, 7.520, 8.000, 0.000, -5.498, 0.020, 22.219, 20.677
3.763, 7.680, 8.000, -0.000, -5.498, 0.020, 22.110, 20.568
3.920, 7.840, 8.000, 0.000, -5.498, 0.020, 21.999, 20.457
4.080, 8.000, 8.000, 0.000, -5.498, 0.020, 21.886, 20.344
4.243, 8.160, 8.000, -0.000, -5.498, 0.020, 21.770, 20.229
4.410, 8.320, 8.000, 0.000, -5.498, 0.020, 21.653, 20.111
4.579, 8.480, 8.000, -0.000, -5.498, 0.020, 21.533, 19.991
4.752, 8.640, 8.000, -0.000, -5.498, 0.020, 21.411, 19.869
4.928, 8.800, 8.000, 0.000, -5.498, 0.020, 21.286, 19.744
5.107, 8.960, 8.000, 0.000, -5.498, 0.020, 21.160, 19.618
5.290, 9.120, 8.000, -0.000, -5.498, 0.020, 21.031, 19.489
5.475, 9.280, 8.000, 0.000, -5.498, 0.020, 20.899, 19.358
5.664, 9.440, 8.000, -0.000, -5.498, 0.020, 20.766, 19.224
5.856, 9.600, 8.000, -0.000, -5.498, 0.020, 20.630, 19.088
6.051, 9.760, 8.000, 0.000, -5.498, 0.020, 20.492, 18.950
6.250, 9.920, 8.000, 0.000, -5.498, 0.020, 20.352, 18.810
6.451, 10.080, 8.000, 0.000, -5.498, 0.020, 20.209, 18.667
6.653, 10.091, 0.538, -373.108, -5.498, 0.020, 20.066, 18.525
6.852, 9.931, -8.000, -426.892, -5.498, 0.020, 19.926, 18.384
7.047, 9.771, -8.000, 0.000, -5.498, 0.020, 19.788, 18.246
7.239, 9.611, -8.000, 0.000, -5.498, 0.020, 19.652, 18.110
7.428, 9.451, -8.000, -0.000, -5.498, 0.020, 19.518, 17.977
7.614, 9.291, -8.000, 0.000, -5.498, 0.020, 19.387, 17.845
7.797, 9.131, -8.000, -0.000, -5.498, 0.020, 19.258, 17.716
7.976, 8.971, -8.000, -0.000, -5.498, 0.020, 19.131, 17.589
8.152, 8.811, -8.000, 0.000, -5.498, 0.020, 19.006, 17.465
8.325, 8.651, -8.000, -0.000, -5.498, 0.020, 18.884, 17.342
8.495, 8.491, -8.000, 0.000, -5.498, 0.020, 18.764, 17.222
8.662, 8.331, -8.000, 0.000, -5.498, 0.020, 18.646, 17.104
8.825, 8.171, -8.000, -0.000, -5.498, 0.020, 18.531, 16.989
8.985, 8.011, -8.000, 0.000, -5.498, 0.020, 18.417, 16.875
9.142, 7.851, -8.000, -0.000, -5.498, 0.020, 18.306, 16.764
9.296, 7.691, -8.000, 0.000, -5.498, 0.020, 18.197, 16.656
9.447, 7.531, -8.000, -0.000, -5.498, 0.020, 18.091, 16.549
9.594, 7.371, -8.000, 0.000, -5.498, 0.020, 17.987, 16.445
9.738, 7.211, -8.000, 0.000, -5.498, 0.020, 17.885, 16.343
