position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, -5.498, 0.020, 23.229, 24.771
0.003, 0.160, 8.000, 400.000, -5.498, 0.020, 23.227, 24.769
0.010, 0.320, 8.000, -0.000, -5.498, 0.020, 23.222, 24.764
0.019, 0.480, 8.000, 0.000, -5.498, 0.020, 23.216, 24.757
0.032, 0.640, 8.000, 0.000, -5.498, 0.020, 23.206, 24.748
0.048, 0.800, 8.000, -0.000, -5.498, 0.020, 23.195, 24.737
0.067, 0.960, 8.000, 0.000, -5.498, 0.020, 23.182, 24.723
0.090, 1.120, 8.000, 0.000, -5.498, 0.020, 23.166, 24.708
0.115, 1.280, 8.000, 0.000, -5.498, 0.020, 23.148, 24.689
0.144, 1.440, 8.000, -0.000, -5.498, 0.020, 23.127, 24.669
0.176, 1.600, 8.000, -0.000, -5.498, 0.020, 23.105, 24.646
0.211, 1.760, 8.000, 0.000, -5.498, 0.020, 23.080, 24.622
0.250, 1.920, 8.000, 0.000, -5.498, 0.020, 23.053, 24.594
0.291, 2.080, 8.000, -0.000, -5.498, 0.020, 23.023, 24.565
0.336, 2.240, 8.000, 0.000, -5.498, 0.020, 22.992, 24.533
0.384, 2.400, 8.000, -0.000, -5.498, 0.020, 22.958, 24.499
0.435, 2.560, 8.000, -0.000, -5.498, 0.020, 22.921, 24.463
0.490, 2.720, 8.000, 0.000, -5.498, 0.020, 22.883, 24.425
0.547, 2.880, 8.000, 0.000, -5.498, 0.020, 22.842, 24.384
0.608, 3.040, 8.000, 0.000, -5.498, 0.020, 22.799, 24.341
0.672, 3.200, 8.000, -0.000, -5.498, 0.020, 22.754, 24.296
0.739, 3.360, 8.000, 0.000, -5.498, 0.020, 22.706, 24.248
0.810, 3.520, 8.000, 0.000, -5.498, 0.020, 22.657, 24.198
0.883, 3.680, 8.000, 0.000, -5.498, 0.020, 22.605, 24.146
0.960, 3.840, 8.000, -0.000, -5.498, 0.020, 22.550, 24.092
1.040, 4.000, 8.000, 0.000, -5.498, 0.020, 22.494, 24.035
1.123, 4.160, 8.000, -0.000, -5.498, 0.020, 22.435, 23.977
1.210, 4.320, 8.000, 0.000, -5.498, 0.020, 22.374, 23.916
1.299, 4.480, 8.000, -0.000, -5.498, 0.020, 22.310, 23.852
1.392, 4.640, 8.000, 0.000, -5.498, 0.020, 22.245, 23.787
1.488, 4.800, 8.000, -0.000, -5.498, 0.020, 22.177, 23.719
1.587, 4.960, 8.000, 0.000, -5.498, 0.020, 22.107, 23.649
1.690, 5.120, 8.000, -0.000, -5.498, 0.020, 22.034, 23.576
1.795, 5.280, 8.000, 0.000, -5.498, 0.020, 21.960, 23.501
1.904, 5.440, 8.000, 0.000, -5.498, 0.020, 21.883, 23.425
2.016, 5.600, 8.000, -0.000, -5.498, 0.020, 21.804, 23.345
2.131, 5.760, 8.000, 0.000, -5.498, 0.020, 21.722, 23.264
2.250, 5.920, 8.000, 0.000, -5.498, 0.020, 21.638, 23.180
2.371, 6.080, 8.000, -0.000, -5.498, 0.020, 21.552, 23.094
2.496, 6.240, 8.000, 0.000, -5.498, 0.020, 21.464, 23.006
