position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 3.142, 0.020, 24.000, 20.000
0.003, 0.160, 8.000, 0.000, 3.142, 0.020, 23.997, 20.000
0.010, 0.320, 8.000, 0.000, 3.142, 0.020, 23.990, 20.000
0.019, 0.480, 8.000, 0.000, 3.142, 0.020, 23.981, 20.000
0.032, 0.640, 8.000, 0.000, 3.142, 0.020, 23.968, 20.000
0.048, 0.800, 8.000, 0.000, 3.142, 0.020, 23.952, 20.000
0.067, 0.960, 8.000, 0.000, 3.142, 0.020, 23.933, 20.000
0.090, 1.120, 8.000, 0.000, 3.142, 0.020, 23.910, 20.000
0.115, 1.280, 8.000, 0.000, 3.142, 0.020, 23.885, 20.000
0.144, 1.440, 8.000, 0.000, 3.142, 0.020, 23.856, 20.000
0.176, 1.600, 8.000, 0.000, 3.142, 0.020, 23.824, 20.000
0.211, 1.760, 8.000, 0.000, 3.142, 0.020, 23.789, 20.000
0.250, 1.920, 8.000, 0.000, 3.142, 0.020, 23.750, 20.000
0.291, 2.080, 8.000, 0.000, 3.142, 0.020, 23.709, 20.000
0.336, 2.240, 8.000, 0.000, 3.142, 0.020, 23.664, 20.000
0.384, 2.400, 8.000, 0.000, 3.142, 0.020, 23.616, 20.000
0.435, 2.560, 8.000, 0.000, 3.142, 0.020, 23.565, 20.000
0.490, 2.720, 8.000, 0.000, 3.142, 0.020, 23.510, 20.000
0.547, 2.880, 8.000, 0.000, 3.142, 0.020, 23.453, 20.000
0.608, 3.040, 8.000, 0.000, 3.142, 0.020, 23.392, 20.000
0.672, 3.200, 8.000, 0.000, 3.142, 0.020, 23.328, 20.000
0.739, 3.360, 8.000, 0.000, 3.142, 0.020, 23.261, 20.000
0.810, 3.520, 8.000, 0.000, 3.142, 0.020, 23.190, 20.000
0.883, 3.680, 8.000, 0.000, 3.142, 0.020, 23.117, 20.000
0.960, 3.840, 8.000, 0.000, 3.142, 0.020, 23.040, 20.000
1.040, 4.000, 8.000, 0.000, 3.142, 0.020, 22.960, 20.000
1.123, 4.160, 8.000, 0.000, 3.142, 0.020, 22.877, 20.000
1.210, 4.320, 8.000, 0.000, 3.142, 0.020, 22.790, 20.000
1.299, 4.480, 8.000, 0.000, 3.142, 0.020, 22.701, 20.000
1.392, 4.640, 8.000, 0.000, 3.142, 0.020, 22.608, 20.000
1.488, 4.800, 8.000, 0.000, 3.142, 0.020, 22.512, 20.000
1.587, 4.960, 8.000, 0.000, 3.142, 0.020, 22.413, 20.000
1.690, 5.120, 8.000, 0.000, 3.142, 0.020, 22.310, 20.000
1.795, 5.280, 8.000, 0.000, 3.142, 0.020, 22.205, 20.000
1.904, 5.440, 8.000, 0.000, 3.142, 0.020, 22.096, 20.000
2.016, 5.600, 8.000, 0.000, 3.142, 0.020, 21.984, 20.000
2.131, 5.760, 8.000, 0.000, 3.142, 0.020, 21.869, 20.000
2.250, 5.920, 8.000, 0.000, 3.142, 0.020, 21.750, 20.000
2.371, 6.080, 8.000, 0.000, 3.142, 0.020, 21.629, 20.000
2.496, 6.240, 8.000, 0.000, 3.142, 0.020, 21.504, 20.000
2.624, 6.400, 8.000, 0.000, 3.142, 0.020, 21.376, 20.000
2.755, 6.560, 8.000, 0.000, 3.142, 0.020, 21.245, 20.000
2.890, 6.720, 8.000, 0.000, 3.142, 0.020, 21.110, 20.000
3.027, 6.880, 8.000, 0.000, 3.142, 0.020, 20.973, 20.000
3.168, 7.040, 8.000, 0.000, 3.142, 0.020, 20.832, 20.000
3.312, 7.200, 8.000, 0.000, 3.142, 0.020, 20.688, 20.000
3.459, 7.360, 8.000, 0.000, 3.142, 0.020, 20.541, 20.000
3.610, 7.520, 8.000, 0.000, 3.142, 0.020, 20.390, 20.000
3.763, 7.680, 8.000, 0.000, 3.142, 0.020, 20.237, 20.000
3.920, 7.840, 8.000, 0.000, 3.142, 0.020, 20.080, 20.000
4.080, 8.000, 8.000, 0.000, 3.142, 0.020, 19.920, 20.000
4.243, 8.160, 8.000, 0.000, 3.142, 0.020, 19.757, 20.000
4.410, 8.320, 8.000, 0.000, 3.142, 0.020, 19.590, 20.000
4.579, 8.480, 8.000, 0.000, 3.142, 0.020, 19.421, 20.000
4.752, 8.640, 8.000, 0.000, 3.142, 0.020, 19.248, 20.000
4.928, 8.800, 8.000, 0.000, 3.142, 0.020, 19.072, 20.000
5.107, 8.960, 8.000, 0.000, 3.142, 0.020, 18.893, 20.000
5.290, 9.120, 8.000, 0.000, 3.142, 0.020, 18.710, 20.000
5.475, 9.280, 8.000, 0.000, 3.142, 0.020, 18.525, 20.000
5.664, 9.440, 8.000, 0.000, 3.142, 0.020, 18.336, 20.000
5.856, 9.600, 8.000, 0.000, 3.142, 0.020, 18.144, 20.000
6.051, 9.760, 8.000, 0.000, 3.142, 0.020, 17.949, 20.000
6.250, 9.920, 8.000, 0.000, 3.142, 0.020, 17.750, 20.000
6.451, 10.080, 8.000, 0.000, 3.142, 0.020, 17.549, 20.000
6.656, 10.240, 8.000, 0.000, 3.142, 0.020, 17.344, 20.000
6.864, 10.400, 8.000, 0.000, 3.142, 0.020, 17.136, 20.000
7.075, 10.560, 8.000, 0.000, 3.142, 0.020, 16.925, 20.000
7.287, 10.583, 0.000, 0.000, 3.142, 0.020, 16.713, 20.000
7.495, 10.423, -8.000, 0.000, 3.142, 0.020, 16.505, 20.000
7.701, 10.263, -8.000, 0.000, 3.142, 0.020, 16.299, 20.000
7.903, 10.103, -8.000, 0.000, 3.142, 0.020, 16.097, 20.000
8.102, 9.943, -8.000, 0.000, 3.142, 0.020, 15.898, 20.000
