position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 24.000, 21.090
0.003, 0.160, 8.000, 400.000, 0.000, 0.020, 23.997, 21.090
0.010, 0.320, 8.000, 0.000, 0.000, 0.020, 23.990, 21.090
0.019, 0.480, 8.000, 0.000, 0.000, 0.020, 23.981, 21.090
0.032, 0.640, 8.000, -0.000, 0.000, 0.020, 23.968, 21.090
0.048, 0.800, 8.000, 0.000, 0.000, 0.020, 23.952, 21.090
0.067, 0.960, 8.000, 0.000, 0.000, 0.020, 23.933, 21.090
0.090, 1.120, 8.000, -0.000, 0.000, 0.020, 23.910, 21.090
0.115, 1.280, 8.000, 0.000, 0.000, 0.020, 23.885, 21.090
0.144, 1.440, 8.000, 0.000, 0.000, 0.020, 23.856, 21.090
0.176, 1.600, 8.000, 0.000, 0.000, 0.020, 23.824, 21.090
0.211, 1.760, 8.000, -0.000, 0.000, 0.020, 23.789, 21.090
0.250, 1.920, 8.000, 0.000, 0.000, 0.020, 23.750, 21.090
0.291, 2.080, 8.000, -0.000, 0.000, 0.020, 23.709, 21.090
0.336, 2.240, 8.000, 0.000, 0.000, 0.020, 23.664, 21.090
0.384, 2.400, 8.000, 0.000, 0.000, 0.020, 23.616, 21.090
0.435, 2.560, 8.000, 0.000, 0.000, 0.020, 23.565, 21.090
0.490, 2.720, 8.000, -0.000, 0.000, 0.020, 23.510, 21.090
0.547, 2.880, 8.000, 0.000, 0.000, 0.020, 23.453, 21.090
0.608, 3.040, 8.000, -0.000, 0.000, 0.020, 23.392, 21.090
0.672, 3.200, 8.000, 0.000, 0.000, 0.020, 23.328, 21.090
0.739, 3.360, 8.000, -0.000, 0.000, 0.020, 23.261, 21.090
0.810, 3.520, 8.000, 0.000, 0.000, 0.020, 23.190, 21.090
0.883, 3.680, 8.000, 0.000, 0.000, 0.020, 23.117, 21.090
0.960, 3.840, 8.000, 0.000, 0.000, 0.020, 23.040, 21.090
