position,velocity,acceleration,jerk,heading,dt,x,y
0.000, 0.000, 0.000, 0.000, 0.000, 0.020, 10.000, 21.090
0.003, 0.160, 8.000, 400.000, 0.000, 0.020, 10.003, 21.090
0.010, 0.320, 8.000, 0.000, 0.000, 0.020, 10.010, 21.090
0.019, 0.480, 8.000, -0.000, 0.000, 0.020, 10.019, 21.090
0.032, 0.640, 8.000, 0.000, 0.000, 0.020, 10.032, 21.090
0.048, 0.800, 8.000, -0.000, 0.000, 0.020, 10.048, 21.090
0.067, 0.960, 8.000, 0.000, 0.000, 0.020, 10.067, 21.090
0.090, 1.120, 8.000, 0.000, 0.000, 0.020, 10.090, 21.090
0.115, 1.280, 8.000, -0.000, 0.000, 0.020, 10.115, 21.090
0.144, 1.440, 8.000, 0.000, 0.000, 0.020, 10.144, 21.090
0.176, 1.600, 8.000, -0.000, 0.000, 0.020, 10.176, 21.090
0.211, 1.760, 8.000, 0.000, 0.000, 0.020, 10.211, 21.090
0.250, 1.920, 8.000, 0.000, 0.000, 0.020, 10.250, 21.090
0.291, 2.080, 8.000, 0.000, 0.000, 0.020, 10.291, 21.090
0.336, 2.240, 8.000, 0.000, 0.000, 0.020, 10.336, 21.090
0.384, 2.400, 8.000, -0.000, 0.000, 0.020, 10.384, 21.090
0.435, 2.560, 8.000, 0.000, 0.000, 0.020, 10.435, 21.090
0.490, 2.720, 8.000, -0.000, 0.000, 0.020, 10.490, 21.090
0.547, 2.880, 8.000, 0.000, 0.000, 0.020, 10.547, 21.090
0.608, 3.040, 8.000, -0.000, 0.000, 0.020, 10.608, 21.090
0.672, 3.200, 8.000, 0.000, 0.000, 0.020, 10.672, 21.090
0.739, 3.360, 8.000, 0.000, 0.000, 0.020, 10.739, 21.090
0.810, 3.520, 8.000, -0.000, 0.000, 0.020, 10.810, 21.090
0.883, 3.680, 8.000, 0.000, 0.000, 0.020, 10.883, 21.090
0.960, 3.840, 8.000, 0.000, 0.000, 0.020, 10.960, 21.090
1.040, 4.000, 8.000, -0.000, 0.000, 0.020, 11.040, 21.090
1.123, 4.160, 8.000, -0.000, 0.000, 0.020, 11.123, 21.090
1.210, 4.320, 8.000, 0.000, 0.000, 0.020, 11.210, 21.090
1.299, 4.480, 8.000, 0.000, 0.000, 0.020, 11.299, 21.090
1.392, 4.640, 8.000, 0.000, 0.000, 0.020, 11.392, 21.090
1.488, 4.800, 8.000, 0.000, 0.000, 0.020, 11.488, 21.090
1.587, 4.960, 8.000, -0.000, 0.000, 0.020, 11.587, 21.090
1.690, 5.120, 8.000, 0.000, 0.000, 0.020, 11.690, 21.090
1.795, 5.280, 8.000, -0.000, 0.000, 0.020, 11.795, 21.090
1.904, 5.440, 8.000, -0.000, 0.000, 0.020, 11.904, 21.090
2.016, 5.600, 8.000, 0.000, 0.000, 0.020, 12.016, 21.090
2.131, 5.760, 8.000, 0.000, 0.000, 0.020, 12.131, 21.090
2.250, 5.920, 8.000, 0.000, 0.000, 0.020, 12.250, 21.090
2.371, 6.080, 8.000, -0.000, 0.000, 0.020, 12.371, 21.090
2.496, 6.240, 8.000, 0.000, 0.000, 0.020, 12.496, 21.090
2.624, 6.400, 8.000, -0.000, 0.000, 0.020, 12.624, 21.090
2.755, 6.560, 8.000, 0.000, 0.000, 0.020, 12.755, 21.090
2.890, 6.720, 8.000, 0.000, 0.000, 0.020, 12.890, 21.090
3.027, 6.880, 8.000, -0.000, 0.000, 0.020, 13.027, 21.090
3.168, 7.040, 8.000, 0.000, 0.000, 0.020, 13.168, 21.090
3.312, 7.200, 8.000, 0.000, 0.000, 0.020, 13.312, 21.090
3.459, 7.360, 8.000, 0.000, 0.000, 0.020, 13.459, 21.090
3.610, 7.520, 8.000, -0.000, 0.000, 0.020, 13.610, 21.090
3.763, 7.680, 8.000, 0.000, 0.000, 0.020, 13.763, 21.090
3.920, 7.840, 8.000, 0.000, 0.000, 0.020, 13.920, 21.090
4.080, 8.000, 8.000, -0.000, 0.000, 0.020, 14.080, 21.090
4.243, 8.160, 8.000, 0.000, 0.000, 0.020, 14.243, 21.090
4.410, 8.320, 8.000, -0.000, 0.000, 0.020, 14.410, 21.090
4.579, 8.480, 8.000, -0.000, 0.000, 0.020, 14.579, 21.090
4.752, 8.640, 8.000, 0.000, 0.000, 0.020, 14.752, 21.090
4.928, 8.800, 8.000, -0.000, 0.000, 0.020, 14.928, 21.090
5.107, 8.960, 8.000, 0.000, 0.000, 0.020, 15.107, 21.090
5.290, 9.120, 8.000, 0.000, 0.000, 0.020, 15.290, 21.090
5.475, 9.280, 8.000, -0.000, 0.000, 0.020, 15.475, 21.090
5.664, 9.440, 8.000, 0.000, 0.000, 0.020, 15.664, 21.090
5.856, 9.600, 8.000, -0.000, 0.000, 0.020, 15.856, 21.090
6.051, 9.760, 8.000, 0.000, 0.000, 0.020, 16.051, 21.090
6.250, 9.920, 8.000, 0.000, 0.000, 0.020, 16.250, 21.090
6.451, 10.080, 8.000, 0.000, 0.000, 0.020, 16.451, 21.090
6.656, 10.240, 8.000, -0.000, 0.000, 0.020, 16.656, 21.090
6.864, 10.400, 8.000, 0.000, 0.000, 0.020, 16.864, 21.090
7.075, 10.560, 8.000, 0.000, 0.000, 0.020, 17.075, 21.090
7.287, 10.583, 1.150, -342.487, 0.000, 0.020, 17.287, 21.090
7.495, 10.423, -8.000, -457.513, 0.000, 0.020, 17.495, 21.090
7.701, 10.263, -8.000, 0.000, 0.000, 0.020, 17.701, 21.090
7.903, 10.103, -8.000, -0.000, 0.000, 0.020, 17.903, 21.090
8.102, 9.943, -8.000, 0.000, 0.000, 0.020, 18.102, 21.090
8.297, 9.783, -8.000, -0.000, 0.000, 0.020, 18.297, 21.090
8.490, 9.623, -8.000, 0.000, 0.000, 0.020, 18.490, 21.090
8.679, 9.463, -8.000, -0.000, 0.000, 0.020, 18.679, 21.090
8.865, 9.303, -8.000, 0.000, 0.000, 0.020, 18.865, 21.090
9.048, 9.143, -8.000, 0.000, 0.000, 0.020, 19.048, 21.090
9.227, 8.983, -8.000, -0.000, 0.000, 0.020, 19.227, 21.090
9.404, 8.823, -8.000, 0.000, 0.000, 0.020, 19.404, 21.090
9.577, 8.663, -8.000, -0.000, 0.000, 0.020, 19.577, 21.090
9.747, 8.503, -8.000, 0.000, 0.000, 0.020, 19.747, 21.090
9.914, 8.343, -8.000, 0.000, 0.000, 0.020, 19.914, 21.090
10.078, 8.183, -8.000, -0.000, 0.000, 0.020, 20.078, 21.090
10.238, 8.023, -8.000, 0.000, 0.000, 0.020, 20.238, 21.090
10.395, 7.863, -8.000, 0.000, 0.000, 0.020, 20.395, 21.090
10.550, 7.703, -8.000, 0.000, 0.000, 0.020, 20.550, 21.090
10.700, 7.543, -8.000, 0.000, 0.000, 0.020, 20.700, 21.090
10.848, 7.383, -8.000, 0.000, 0.000, 0.020, 20.848, 21.090
10.993, 7.223, -8.000, 0.000, 0.000, 0.020, 20.993, 21.090
11.134, 7.063, -8.000, -0.000, 0.000, 0.020, 21.134, 21.090
11.272, 6.903, -8.000, 0.000, 0.000, 0.020, 21.272, 21.090
11.407, 6.743, -8.000, -0.000, 0.000, 0.020, 21.407, 21.090
11.538, 6.583, -8.000, -0.000, 0.000, 0.020, 21.538, 21.090
11.667, 6.423, -8.000, 0.000, 0.000, 0.020, 21.667, 21.090
11.792, 6.263, -8.000, -0.000, 0.000, 0.020, 21.792, 21.090
11.914, 6.103, -8.000, 0.000, 0.000, 0.020, 21.914, 21.090
12.033, 5.943, -8.000, -0.000, 0.000, 0.020, 22.033, 21.090
12.149, 5.783, -8.000, 0.000, 0.000, 0.020, 22.149, 21.090
