dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.556684,8.617001,0.001000,0.100000,5.000000,250.000000,6.281869
0.020000,5.557141,8.617000,0.001457,0.022850,-3.857495,-442.874731,6.282326
0.020000,5.559647,8.617000,0.003963,0.125279,5.121422,448.945823,0.000169
0.020000,5.577472,8.617019,0.021788,0.891265,38.299326,1658.895221,0.001994
0.020000,5.605319,8.617115,0.049635,1.392357,25.054602,-662.236230,0.004841
0.020000,5.645408,8.617391,0.089725,2.004511,30.607696,277.654709,0.008931
0.020000,5.699953,8.618029,0.144274,2.727425,36.145713,276.900848,0.014480
0.020000,5.771155,8.619317,0.215487,3.560661,41.661787,275.803720,0.021693
0.020000,5.860083,8.621646,0.304446,4.447951,44.364487,135.134992,0.030653
0.020000,5.966676,8.625484,0.411108,5.333090,44.256963,-5.376197,0.041315
0.020000,6.090843,8.631384,0.535415,6.215349,44.112969,-7.199719,0.053623
0.020000,6.232461,8.639973,0.677293,7.093931,43.929088,-9.194051,0.067503
0.020000,6.391369,8.651946,0.836652,7.967940,43.700455,-11.431654,0.082863
0.020000,6.567359,8.668051,1.013377,8.836240,43.414981,-14.273665,0.099590
0.020000,6.760170,8.689074,1.207331,9.697699,43.072958,-17.101154,0.117547
0.020000,6.969490,8.715824,1.418353,10.551094,42.669728,-20.161487,0.136572
0.020000,7.194947,8.749110,1.646254,11.395060,42.198310,-23.570904,0.156477
0.020000,7.436118,8.789723,1.890821,12.228336,41.663830,-26.724028,0.177048
0.020000,7.692531,8.838407,2.151814,13.049672,41.066788,-29.852069,0.198046
0.020000,7.963673,8.895838,2.428972,13.857905,40.411638,-32.757506,0.219209
0.020000,8.247964,8.962346,2.720939,14.598317,37.020592,-169.552323,0.240181
0.020000,8.542822,9.037790,3.025295,15.217833,30.975797,-302.239749,0.260543
0.020000,8.845770,9.121755,3.339664,15.718438,25.030279,-297.275888,0.279917
0.020000,9.154456,9.213567,3.661715,16.102557,19.205914,-291.218264,0.297972
0.020000,9.466667,9.312327,3.989173,16.372914,13.517887,-284.401358,0.314434
0.020000,9.780329,9.416942,4.319822,16.532401,7.974348,-277.176945,0.329085
0.020000,10.093504,9.526174,4.651500,16.583920,2.575945,-269.920159,0.341766
0.020000,10.404379,9.638680,4.982106,16.530314,-2.680323,-262.813367,0.352374
0.020000,10.712198,9.753421,5.310615,16.425453,-5.243025,-128.135137,0.360884
0.020000,11.017208,9.869716,5.637044,16.321448,-5.200284,2.137050,0.367313
0.020000,11.319661,9.986909,5.961407,16.218164,-5.164192,1.804606,0.371677
0.020000,11.619806,10.104362,6.283716,16.115403,-5.138024,1.308424,0.373985
0.020000,11.917893,10.221451,6.603974,16.012929,-5.123723,0.715030,0.374244
0.020000,12.214162,10.337564,6.922184,15.910481,-5.122365,0.067901,0.372453
0.020000,12.508842,10.452099,7.238340,15.807801,-5.134008,-0.582139,0.368609
0.020000,12.802150,10.564458,7.552433,15.704643,-5.157906,-1.194888,0.362703
0.020000,13.094287,10.674049,7.864449,15.600796,-5.192334,-1.721419,0.354719
0.020000,13.385434,10.780280,8.174371,15.496110,-5.234332,-2.099883,0.344643
0.020000,13.675040,10.882317,8.481427,15.352807,-7.165146,-96.540719,0.332488
0.020000,13.961635,10.979074,8.783914,15.124371,-11.421787,-212.832062,0.318338
0.020000,14.243541,11.069537,9.079979,14.803249,-16.056100,-231.715612,0.302339
0.020000,14.519063,11.152865,9.367826,14.392337,-20.545632,-224.476605,0.284696
0.020000,14.786486,11.228419,9.645717,13.894537,-24.889968,-217.216805,0.265671
0.020000,15.044076,11.295781,9.911969,13.312623,-29.095722,-210.287684,0.245582
0.020000,15.290085,11.354766,10.164951,12.649098,-33.176243,-204.026093,0.224795
0.020000,15.522755,11.405424,10.403072,11.906055,-37.152123,-198.794003,0.203721
0.020000,15.741030,11.448157,10.625490,11.120893,-39.258122,-105.299929,0.182730
0.020000,15.944745,11.483652,10.832275,10.339231,-39.083075,8.752340,0.162105
0.020000,16.133929,11.512664,11.023670,9.569782,-38.472458,30.530847,0.142091
0.020000,16.308609,11.535956,11.199897,8.811315,-37.923365,27.454652,0.122907
0.020000,16.468816,11.554278,11.361148,8.062539,-37.438777,24.229397,0.104747
0.020000,16.614580,11.568359,11.507591,7.322152,-37.019392,20.969276,0.087778
0.020000,16.745937,11.578889,11.639368,6.588888,-36.663171,17.811047,0.072144
0.020000,16.862920,11.586512,11.756600,5.861562,-36.366333,14.841887,0.057963
0.020000,16.965564,11.591820,11.859381,5.139069,-36.124633,12.085012,0.045332
0.020000,17.053903,11.595341,11.947790,4.420469,-35.929997,9.731778,0.034329
0.020000,17.127969,11.597540,12.021888,3.704908,-35.778028,7.598486,0.025014
0.020000,17.187789,11.598810,12.081722,2.991667,-35.662086,5.797061,0.017435
0.020000,17.234085,11.599481,12.128023,2.315040,-33.831335,91.537575,0.011536
0.020000,17.268458,11.599802,12.162398,1.718766,-29.813690,200.882222,0.007138
0.020000,17.292694,11.599937,12.186634,1.211818,-25.347424,223.313338,0.004028
0.020000,17.308573,11.599985,12.202513,0.793916,-20.895099,222.616229,0.001986
0.020000,17.317869,11.599998,12.211809,0.464830,-16.454287,222.040590,0.000790
0.020000,17.322358,11.600000,12.216298,0.224437,-12.019662,221.731262,0.000212
0.020000,17.323811,11.600000,12.217751,0.072651,-7.589301,221.518068,0.000024
0.020000,17.324000,11.600000,12.217940,0.009450,-3.160015,221.464268,6.283185
0.020000,17.324000,11.600000,12.217940,0.000000,-0.472518,134.374862,6.283185
